name,logMs,xi_kpc,Vflat,N_pts,X_med,chi2_nfw,chi2_burk,chi2_sol,chi2_comp,chi2_con,aic_nfw,aic_burk,aic_sol,aic_comp,aic_con,daic_burk_nfw,daic_comp_nfw,daic_sol_nfw,daic_con_nfw,winner,fitted_rc_kpc,r_transition_kpc,comp_log_rc
CamB,7.57,0.209,0.0,9,4.312,3.8,2.84,3.11,2.91,3.8,7.8,6.84,7.11,10.91,9.8,0.96,-3.11,0.69,-2.0,Burkert,5.84,95.265,0.766
D631-7,7.99,0.337,57.7,16,11.307,14.15,2.87,56.85,1.89,14.15,18.15,6.87,60.85,9.89,20.15,11.28,8.26,-42.7,-2.0,Burkert,4.556,78.962,0.659
DDO064,7.89,0.302,46.1,14,4.587,5.8,3.58,3.1,2.32,5.8,9.8,7.58,7.1,10.32,11.8,2.22,-0.51,2.71,-2.0,Soliton,1.549,9.048,0.19
DDO154,7.42,0.175,47.0,12,18.296,2.83,0.37,2.72,0.11,2.83,6.83,4.37,6.72,8.11,8.83,2.46,-1.28,0.11,-2.0,Burkert,2.533,8.501,0.404
DDO161,8.44,0.564,66.3,31,11.132,6.34,2.02,126.66,0.7,6.34,10.34,6.02,130.66,8.7,12.34,4.32,1.64,-120.32,-2.0,Burkert,7.091,39.937,0.851
DDO168,7.98,0.333,53.4,10,6.801,7.72,3.4,3.16,2.38,7.72,11.72,7.4,7.16,10.38,13.72,4.32,1.35,4.56,-2.0,Soliton,2.343,37.448,0.37
DDO170,8.43,0.562,60.0,8,12.643,1.67,0.52,16.54,0.42,1.67,5.67,4.52,20.54,8.42,7.67,1.15,-2.75,-14.87,-2.0,Burkert,3.468,5.403,0.54
ESO079-G014,10.41,5.481,175.0,15,1.157,28.3,9.21,5.87,5.33,21.28,32.3,13.21,9.87,13.33,27.28,19.1,18.97,22.43,5.02,Soliton,7.576,53.842,0.879
ESO116-G012,9.33,1.579,109.1,15,2.616,10.92,4.16,7.72,2.24,10.91,14.92,8.16,11.72,10.24,16.91,6.77,4.68,3.2,-1.98,Burkert,3.507,6.243,0.545
ESO563-G021,11.19,13.444,314.6,30,1.316,228.04,117.99,133.66,130.16,147.87,232.04,121.99,137.66,138.16,153.87,110.04,93.88,94.37,78.17,Burkert,10.722,28.094,1.03
F568-3,9.62,2.202,0.0,18,2.212,28.38,9.6,11.22,10.56,26.89,32.38,13.6,15.22,18.56,32.89,18.78,13.82,17.16,-0.51,Burkert,5.143,13.132,0.711
F568-V1,9.28,1.49,112.3,15,3.938,2.82,0.7,5.63,0.42,2.82,6.82,4.7,9.63,8.42,8.82,2.13,-1.6,-2.81,-2.0,Burkert,2.868,6.031,0.458
F571-8,9.71,2.43,139.7,13,1.963,136.62,77.77,70.68,70.68,136.63,140.62,81.77,74.68,78.68,142.63,58.86,61.94,65.94,-2.01,Soliton,7.8,,0.892
F574-1,9.51,1.948,97.8,14,3.377,15.7,0.91,7.53,1.44,11.53,19.7,4.91,11.53,9.44,17.53,14.79,10.26,8.17,2.16,Burkert,3.277,6.484,0.515
F583-1,8.69,0.757,85.8,25,5.101,23.41,2.88,14.9,3.07,23.41,27.41,6.88,18.9,11.07,29.41,20.53,16.34,8.51,-2.0,Burkert,4.151,9.234,0.618
F583-4,8.93,0.998,0.0,12,4.684,1.28,4.23,9.7,0.75,0.77,5.28,8.23,13.7,8.75,6.77,-2.96,-3.47,-8.42,-1.5,NFW,1.126,,0.052
IC2574,8.71,0.768,66.4,34,7.218,19.03,3.93,40.02,3.66,19.04,23.03,7.93,44.02,11.66,25.04,15.1,11.37,-20.99,-2.01,Burkert,10.82,25.947,1.034
KK98-251,7.63,0.222,33.7,15,6.301,3.82,0.63,0.57,0.49,3.82,7.82,4.63,4.57,8.49,9.82,3.19,-0.67,3.25,-2.0,Soliton,2.253,33.413,0.353
NGC0024,9.29,1.503,106.3,29,1.131,20.51,10.47,52.69,4.59,9.9,24.51,14.47,56.69,12.59,15.9,10.03,11.91,-32.18,8.61,Composite,1.11,2.39,0.045
NGC0055,9.36,1.639,85.6,21,4.495,10.34,1.81,0.74,0.7,10.34,14.34,5.81,4.74,8.7,16.34,8.53,5.64,9.6,-2.0,Soliton,5.789,17.935,0.763
NGC0247,9.56,2.064,104.9,26,3.78,5.73,21.64,51.76,2.3,3.58,9.73,25.64,55.76,10.3,9.58,-15.92,-0.57,-46.03,0.14,Constrained,1.586,,0.2
NGC0289,10.56,6.47,163.0,28,4.677,19.4,26.83,58.25,18.19,19.3,23.4,30.83,62.25,26.19,25.3,-7.44,-2.79,-38.85,-1.9,NFW,0.29,0.868,-0.538
NGC0300,9.16,1.303,93.3,25,4.882,10.43,6.68,18.67,5.21,10.43,14.43,10.68,22.67,13.21,16.43,3.75,1.22,-8.24,-2.0,Burkert,2.605,3.436,0.416
NGC0801,11.19,13.474,220.1,13,1.31,31.31,37.03,47.41,23.47,31.32,35.31,41.03,51.41,31.47,37.32,-5.71,3.85,-16.1,-2.01,Composite,3.467,8.304,0.54
NGC1003,9.53,1.99,109.8,36,7.911,17.42,33.34,93.16,10.93,17.42,21.42,37.34,97.16,18.93,23.42,-15.92,2.49,-75.74,-2.0,Composite,4.242,5.705,0.628
NGC1090,10.56,6.469,164.4,24,2.428,34.19,15.59,34.16,15.02,18.0,38.19,19.59,38.16,23.02,24.0,18.6,15.17,0.03,14.19,Burkert,5.148,10.446,0.712
NGC2403,9.7,2.415,131.2,73,1.569,29.96,123.88,277.01,23.89,29.96,33.96,127.88,281.01,31.89,35.96,-93.92,2.07,-247.05,-2.01,Composite,0.492,,-0.308
NGC2683,10.6,6.834,154.0,11,2.533,6.13,5.79,15.4,5.36,5.85,10.13,9.79,19.4,13.36,11.85,0.34,-3.24,-9.28,-1.72,Burkert,4.114,6.975,0.614
NGC2841,10.97,10.453,284.8,50,1.275,19.69,49.61,258.76,4.94,19.71,23.69,53.61,262.76,12.94,25.71,-29.92,10.75,-239.07,-2.02,Composite,100.0,,2.0
NGC2903,10.61,6.895,184.6,34,1.323,297.27,265.75,266.9,266.9,269.06,301.27,269.75,270.9,274.9,275.06,31.52,26.37,30.37,26.21,Burkert,8.619,,0.935
NGC2915,8.51,0.61,83.5,30,8.498,26.79,15.76,26.61,12.05,26.79,30.79,19.76,30.61,20.05,32.79,11.03,10.74,0.18,-2.0,Burkert,1.914,4.082,0.282
NGC2955,11.2,13.62,0.0,24,0.663,31.13,29.26,24.63,15.2,15.33,35.13,33.26,28.63,23.2,21.33,1.87,11.92,6.5,13.79,Constrained,13.155,69.65,1.119
NGC2976,9.23,1.399,85.4,27,0.722,22.64,3.51,3.49,3.49,5.83,26.64,7.51,7.49,11.49,11.83,19.12,15.15,19.15,14.8,Soliton,1.964,32.953,0.293
NGC2998,10.88,9.362,209.9,13,1.335,13.76,37.75,69.36,1.44,13.77,17.76,41.75,73.36,9.44,19.77,-24.0,8.32,-55.61,-2.01,Composite,19.686,68.338,1.294
NGC3109,7.99,0.336,66.2,25,9.98,14.07,0.77,60.46,1.07,14.07,18.07,4.77,64.46,9.07,20.07,13.3,8.99,-46.4,-2.0,Burkert,3.689,9.625,0.567
NGC3198,10.28,4.715,150.1,43,1.497,17.62,13.92,108.99,8.24,9.43,21.62,17.92,112.99,16.24,15.43,3.7,5.39,-91.37,6.19,Constrained,5.431,6.2,0.735
NGC3521,10.63,7.019,213.7,41,0.563,8.26,19.51,26.69,3.57,8.26,12.26,23.51,30.69,11.57,14.26,-11.26,0.69,-18.43,-2.0,Composite,0.619,1.077,-0.208
NGC3726,10.55,6.387,168.0,12,2.046,8.96,9.9,13.07,8.66,8.96,12.96,13.9,17.07,16.66,14.96,-0.95,-3.7,-4.11,-2.0,NFW,71.244,,1.853
NGC3741,7.15,0.128,50.1,21,20.153,1.35,4.64,22.96,1.03,1.35,5.35,8.64,26.96,9.03,7.35,-3.29,-3.68,-21.61,-2.0,NFW,4.052,12.112,0.608
NGC3769,9.97,3.294,118.6,12,3.458,9.3,5.19,15.94,3.92,9.09,13.3,9.19,19.94,11.92,15.09,4.11,1.39,-6.64,-1.78,Burkert,5.537,11.394,0.743
NGC3877,10.56,6.491,168.4,13,0.941,52.91,38.84,30.41,30.41,52.91,56.91,42.84,34.41,38.41,58.91,14.06,18.49,22.49,-2.0,Soliton,2.9,50.996,0.462
NGC3893,10.47,5.83,174.0,10,1.69,6.92,2.11,2.46,1.95,2.05,10.92,6.11,6.46,9.95,8.05,4.81,0.98,4.47,2.87,Burkert,5.41,12.563,0.733
NGC3917,10.04,3.572,135.9,17,2.198,36.76,10.47,14.64,12.59,16.47,40.76,14.47,18.64,20.59,22.47,26.29,20.17,22.12,18.29,Burkert,4.57,10.322,0.66
NGC3953,10.85,9.059,220.8,8,1.059,0.58,0.34,2.15,0.15,0.58,4.58,4.34,6.15,8.15,6.58,0.24,-3.57,-1.57,-2.0,Burkert,3.344,6.833,0.524
NGC3972,9.86,2.887,132.7,10,1.664,8.33,4.61,9.52,5.56,5.56,12.33,8.61,13.52,13.56,11.56,3.72,-1.23,-1.19,0.77,Burkert,2.9,,0.462
NGC3992,11.05,11.48,241.0,9,2.397,0.96,1.68,12.41,0.84,0.96,4.96,5.68,16.41,8.84,6.96,-0.72,-3.88,-11.45,-2.0,NFW,0.548,1.533,-0.261
NGC4088,10.73,7.894,171.7,12,1.435,18.87,7.27,7.74,7.41,18.88,22.87,11.27,11.74,15.41,24.88,11.6,7.46,11.12,-2.01,Burkert,69.76,,1.844
NGC4100,10.47,5.873,158.2,24,2.155,10.15,6.32,19.95,6.08,6.21,14.15,10.32,23.95,14.08,12.21,3.83,0.07,-9.8,1.94,Burkert,6.525,13.617,0.815
NGC4157,10.72,7.832,184.7,17,2.002,5.39,4.28,5.31,4.62,5.35,9.39,8.28,9.31,12.62,11.35,1.11,-3.23,0.08,-1.97,Burkert,15.117,21.347,1.179
NGC4183,9.73,2.509,110.6,23,4.173,3.32,7.66,44.94,1.85,1.87,7.32,11.66,48.94,9.85,7.87,-4.34,-2.53,-41.62,-0.55,NFW,2.598,,0.415
NGC4559,9.99,3.355,121.2,32,3.221,7.55,5.84,10.06,2.09,7.55,11.55,9.84,14.06,10.09,13.55,1.71,1.46,-2.51,-2.0,Burkert,8.939,30.932,0.951
NGC5005,10.95,10.188,262.2,18,0.458,10.45,6.61,6.5,6.5,6.52,14.45,10.61,10.5,14.5,12.52,3.84,-0.05,3.95,1.93,Soliton,9.8,,0.991
NGC5033,10.74,8.011,194.2,22,2.561,32.73,18.28,24.32,16.8,17.61,36.73,22.28,28.32,24.8,23.61,14.45,11.93,8.41,13.12,Burkert,8.933,21.451,0.951
NGC5055,10.88,9.424,179.0,28,1.671,22.43,8.14,10.34,8.22,15.14,26.43,12.14,14.34,16.22,21.14,14.29,10.21,12.09,5.29,Burkert,14.98,32.411,1.176
NGC5371,11.23,14.06,209.5,19,1.437,26.84,40.9,84.95,1.4,19.82,30.84,44.9,88.95,9.4,25.82,-14.06,21.44,-58.11,5.02,Composite,99.086,,1.996
NGC5585,9.17,1.307,90.3,24,2.356,23.7,7.93,6.48,4.47,23.7,27.7,11.93,10.48,12.47,29.7,15.77,15.23,17.21,-2.0,Soliton,4.46,27.821,0.649
