sparc_galaxy,analog_rank,eagle_galaxy_id,match_distance,eagle_log_Mstar,eagle_log_Rhalf,eagle_Vflat
D631-7,1,7562584,0.2440,7.726,0.058,49.1
D631-7,2,1584695,0.2665,7.872,0.153,44.6
D631-7,3,60966972,0.3056,7.877,0.168,41.9
D631-7,4,7817188,0.3420,7.833,0.176,54.4
D631-7,5,61578044,0.3566,7.605,0.089,36.2
DDO064,1,7562584,0.1546,7.726,0.058,49.1
DDO064,2,1584695,0.2626,7.872,0.153,44.6
DDO064,3,61578044,0.2745,7.605,0.089,36.2
DDO064,4,63534879,0.2894,7.611,0.019,35.1
DDO064,5,1442373,0.2910,7.620,0.114,39.6
DDO154,1,62596858,0.2745,7.415,-0.301,35.9
DDO154,2,1694043,0.2746,7.411,-0.301,39.0
DDO154,3,62078693,0.2750,7.403,-0.301,34.0
DDO154,4,61282360,0.2752,7.446,-0.301,39.6
DDO154,5,1644352,0.2754,7.398,-0.301,38.7
DDO161,1,3719986,0.0092,8.448,0.312,73.0
DDO161,2,3713547,0.0155,8.429,0.307,68.0
DDO161,3,5208688,0.0229,8.459,0.315,65.2
DDO161,4,4789840,0.0301,8.449,0.321,58.1
DDO161,5,3843223,0.0382,8.404,0.303,67.4
DDO168,1,1505466,0.0174,7.990,0.238,50.2
DDO168,2,7877693,0.0285,7.970,0.243,48.4
DDO168,3,61109073,0.0504,8.016,0.247,41.7
DDO168,4,62293561,0.0668,7.923,0.248,48.1
DDO168,5,5488133,0.0739,8.003,0.258,53.4
ESO079-G014,1,8845658,0.0142,10.426,0.933,181.9
ESO079-G014,2,9418214,0.0146,10.421,0.935,184.4
ESO079-G014,3,9693099,0.0366,10.374,0.934,171.3
ESO079-G014,4,9675844,0.0429,10.395,0.944,179.8
ESO079-G014,5,8758647,0.0438,10.460,0.929,184.8
ESO116-G012,1,12981584,0.0224,9.326,0.411,105.3
ESO116-G012,2,11592022,0.0306,9.365,0.405,96.4
ESO116-G012,3,3364912,0.0321,9.335,0.415,90.3
ESO116-G012,4,12848312,0.0340,9.369,0.405,105.6
ESO116-G012,5,13446110,0.0341,9.329,0.392,99.2
ESO563-G021,1,20398653,0.0045,11.191,0.963,389.8
ESO563-G021,2,20440704,0.0446,11.167,0.974,347.1
ESO563-G021,3,20742138,0.0513,11.226,0.975,356.7
ESO563-G021,4,16056371,0.0526,11.137,0.967,282.0
ESO563-G021,5,17891603,0.0604,11.222,0.943,366.6
F568-3,1,11912223,0.0339,9.657,0.924,117.2
F568-3,2,11079799,0.0612,9.602,0.903,123.8
F568-3,3,12220223,0.0672,9.690,0.916,96.3
F568-3,4,12865652,0.0752,9.659,0.946,106.5
F568-3,5,11051101,0.0770,9.667,0.901,116.0
F568-V1,1,13070200,0.0168,9.285,0.674,90.9
F568-V1,2,12493062,0.0175,9.284,0.686,101.4
F568-V1,3,12516271,0.0205,9.269,0.674,88.2
F568-V1,4,13311387,0.0224,9.284,0.687,104.7
F568-V1,5,12484290,0.0232,9.274,0.687,85.9
F571-8,1,10998007,0.0093,9.712,0.774,123.1
F571-8,2,11093237,0.0115,9.718,0.775,116.7
F571-8,3,11197680,0.0213,9.729,0.775,124.2
F571-8,4,11745205,0.0244,9.699,0.784,119.9
F571-8,5,11905189,0.0249,9.701,0.785,123.1
F574-1,1,11657468,0.0245,9.539,0.871,119.4
F574-1,2,10963087,0.0293,9.513,0.864,96.2
F574-1,3,12796996,0.0338,9.543,0.867,95.8
F574-1,4,12398310,0.0545,9.537,0.891,106.3
F574-1,5,11686295,0.0610,9.579,0.868,96.9
F583-1,1,13537671,0.0031,8.689,0.598,87.0
F583-1,2,4238346,0.0091,8.701,0.596,88.2
F583-1,3,12354426,0.0150,8.698,0.593,91.1
F583-1,4,4287403,0.0164,8.682,0.593,76.1
F583-1,5,3755377,0.0169,8.692,0.592,77.1
F583-4,1,12083761,0.0053,8.928,0.510,83.6
F583-4,2,4617036,0.0061,8.929,0.512,82.3
F583-4,3,3909636,0.0086,8.936,0.508,83.8
F583-4,4,4371776,0.0101,8.922,0.511,85.7
F583-4,5,3971257,0.0104,8.933,0.514,86.0
IC2574,1,4139505,0.0133,8.711,0.673,79.8
IC2574,2,13586532,0.0182,8.721,0.673,77.2
IC2574,3,3998365,0.0203,8.691,0.664,84.7
IC2574,4,13756609,0.0224,8.682,0.670,83.4
IC2574,5,4915805,0.0279,8.734,0.673,71.3
KK98-251,1,2151824,0.0062,7.633,0.350,42.7
KK98-251,2,341053,0.0069,7.621,0.353,45.1
KK98-251,3,7944769,0.0077,7.624,0.350,50.3
