galaxy,D_use,D_sparc,D_ratio,dist_source,sigma_D_dex,sigma_D_frac,fD,Q,Inc,Vflat,T,Y_disk,n_points,scatter,mean_res,env_type,env_group,env_binary,logMh
D631-7,7.72,7.72,1.0,TRGB,0.0212,0.05,2,1,59.0,57.7,10,0.1,16,0.2244,-0.1461,field,field,field,10.0
DDO064,12.9,6.8,1.8971,CF4,0.1084,0.2835,1,1,60.0,46.1,10,0.1,14,0.1659,-0.1279,field,field,field,10.0
DDO154,4.04,4.04,1.0,TRGB,0.0212,0.05,2,2,64.0,47.0,10,0.1,12,0.0259,-0.0486,group,M81,field,12.0
DDO161,7.22,7.5,0.9627,CF4,0.1503,0.4135,1,1,70.0,66.3,10,0.1,31,0.0399,-0.2169,field,field,field,10.0
DDO168,4.25,4.25,1.0,TRGB,0.0212,0.05,2,2,63.0,53.4,10,0.1,10,0.1412,-0.1164,group,M81,field,12.0
ESO079-G014,70.14,28.7,2.4439,CF4,0.0509,0.1244,1,1,79.0,175.0,4,0.102,15,0.0946,-0.0222,field,field,field,11.0
ESO116-G012,22.1,13.0,1.7,CF4,0.0824,0.209,1,1,74.0,109.1,7,0.195,15,0.0415,-0.0065,field,field,field,11.0
ESO563-G021,54.49,60.8,0.8962,CF4,0.0559,0.1373,1,1,83.0,314.6,4,0.91,30,0.2537,-0.0626,field,field,field,11.0
F568-3,68.52,82.4,0.8316,CF4,0.0513,0.1255,1,1,40.0,0.0,7,0.714,18,0.1772,-0.0354,field,field,field,11.0
F568-V1,66.25,80.6,0.822,CF4,0.052,0.1271,1,1,40.0,112.3,7,1.2,15,0.1182,0.1334,field,field,field,11.0
F571-8,66.9,53.3,1.2552,CF4,0.0518,0.1266,1,1,85.0,139.7,5,0.358,13,0.3413,-0.1298,field,Yang_449062,field,0.0
F574-1,98.86,96.8,1.0213,CF4,0.0454,0.1102,1,1,65.0,97.8,7,0.677,14,0.1117,-0.033,field,field,field,11.0
F583-1,33.54,35.4,0.9475,CF4,0.0681,0.1698,1,1,63.0,85.8,9,1.085,25,0.2273,-0.1007,field,field,field,11.0
F583-4,46.8,53.3,0.878,CF4,0.0593,0.1463,1,1,55.0,0.0,5,0.453,12,0.0312,0.0047,field,field,field,11.0
IC2574,3.91,3.91,1.0,TRGB,0.0212,0.05,2,2,75.0,66.4,9,0.1,34,0.0568,-0.0901,group,M81,field,12.0
KK98-251,2.23,6.8,0.3279,CF4,0.3168,1.0737,1,2,59.0,33.7,10,1.2,15,0.1412,0.0147,field,field,field,9.5
NGC0024,7.3,7.3,1.0,TRGB,0.0212,0.05,2,1,64.0,106.3,5,1.2,29,0.0989,-0.0105,field,field,field,11.0
NGC0055,2.11,2.11,1.0,TRGB,0.0212,0.05,2,2,77.0,85.6,9,0.1,21,0.032,-0.0916,poor_group,Sculptor,field,11.5
NGC0247,3.7,3.7,1.0,TRGB,0.0212,0.05,2,2,74.0,104.9,7,0.512,26,0.054,-0.0212,poor_group,Sculptor,field,11.5
NGC0289,27.77,20.8,1.3351,CF4,0.0741,0.186,1,2,46.0,163.0,4,0.176,28,0.1691,-0.0389,field,field,field,11.0
NGC0300,2.08,2.08,1.0,TRGB,0.0212,0.05,2,2,42.0,93.3,7,0.598,25,0.0576,0.0019,poor_group,Sculptor,field,11.5
NGC0801,78.79,80.7,0.9763,CF4,0.0489,0.1192,1,1,80.0,220.1,5,0.421,13,0.1149,-0.0237,field,field,field,11.0
NGC1003,7.89,11.4,0.6921,CF4,0.1427,0.3889,1,1,67.0,109.8,6,0.908,36,0.0867,0.0089,field,field,field,11.0
NGC1090,34.74,37.0,0.9389,CF4,0.0671,0.167,1,1,64.0,164.4,4,0.41,24,0.128,-0.036,field,field,field,11.0
NGC2403,3.16,3.16,1.0,TRGB,0.0212,0.05,2,1,63.0,131.2,6,0.563,73,0.0414,0.0092,group,M81,field,12.0
NGC2683,9.81,9.81,1.0,TRGB,0.0212,0.05,2,2,80.0,154.0,3,0.398,11,0.0609,-0.0204,field,field,field,11.0
NGC2841,14.1,14.1,1.0,Cepheid,0.0212,0.05,3,1,76.0,284.8,3,1.104,50,0.0232,0.0025,field,field,field,11.0
NGC2903,13.85,6.6,2.0985,CF4,0.1044,0.2717,1,1,66.0,184.6,4,0.143,34,0.1768,-0.0456,field,field,field,11.0
NGC2915,4.06,4.06,1.0,TRGB,0.0212,0.05,2,2,56.0,83.5,11,1.2,30,0.3104,0.0128,group,CenA,dense,12.5
NGC2955,78.19,97.9,0.7987,CF4,0.049,0.1195,1,1,56.0,0.0,3,0.479,24,0.0465,0.0006,field,field,field,11.0
NGC2976,3.58,3.58,1.0,TRGB,0.0212,0.05,2,2,61.0,85.4,5,0.378,27,0.1617,-0.0687,group,M81,field,12.0
NGC2998,65.81,68.1,0.9664,CF4,0.0521,0.1274,1,1,58.0,209.9,5,0.568,13,0.2139,0.0898,group,Yang_586,dense,12.6
NGC3109,1.33,1.33,1.0,TRGB,0.0212,0.05,2,1,70.0,66.2,9,0.534,25,0.1213,-0.0008,field,Antlia,field,10.5
NGC3198,13.8,13.8,1.0,Cepheid,0.0212,0.05,3,1,73.0,150.1,5,0.454,43,0.1249,-0.0474,field,field,field,11.0
NGC3521,12.52,7.7,1.626,CF4,0.1101,0.2887,1,1,75.0,213.7,4,0.284,41,0.0357,-0.0091,field,field,field,11.0
NGC3726,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,53.0,168.0,5,0.279,12,0.0502,0.0025,rich_group,UMa,dense,13.2
NGC3741,3.21,3.21,1.0,TRGB,0.0212,0.05,2,1,70.0,50.1,10,0.336,21,0.0657,0.0144,poor_group,CVnI,field,11.0
NGC3769,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,70.0,118.6,3,0.313,12,0.0435,-0.0184,rich_group,UMa,dense,13.2
NGC3877,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,76.0,168.4,5,0.42,13,0.1957,-0.0533,rich_group,UMa,dense,13.2
NGC3893,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,49.0,174.0,5,0.51,10,0.0341,0.0015,rich_group,UMa,dense,13.2
NGC3917,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,79.0,135.9,6,0.523,17,0.1247,-0.0323,rich_group,UMa,dense,13.2
NGC3972,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,77.0,132.7,4,0.583,10,0.0838,-0.0175,rich_group,UMa,dense,13.2
NGC4088,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,69.0,171.7,4,0.235,12,0.0441,-0.0018,rich_group,UMa,dense,13.2
NGC4100,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,73.0,158.2,4,0.563,24,0.0481,-0.0055,rich_group,UMa,dense,13.2
NGC4157,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,82.0,184.7,3,0.35,17,0.0279,-0.002,rich_group,UMa,dense,13.2
NGC4183,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,82.0,110.6,6,0.407,23,0.0811,-0.0034,rich_group,UMa,dense,13.2
NGC4559,9.92,9.0,1.1022,CF4,0.1252,0.3341,1,1,67.0,121.2,6,0.205,32,0.0672,-0.0168,field,field,field,11.0
NGC5005,16.9,16.9,1.0,SNe,0.0294,0.07,5,1,68.0,262.2,4,0.54,18,0.0271,0.0052,field,field,field,11.0
NGC5033,11.71,15.7,0.7459,CF4,0.1142,0.3008,1,1,66.0,194.2,5,1.065,22,0.0451,0.0061,field,field,field,11.0
NGC5055,9.9,9.9,1.0,TRGB,0.0212,0.05,2,1,55.0,179.0,4,0.33,28,0.043,-0.0096,group,M101,field,12.0
NGC5371,38.88,39.7,0.9793,CF4,0.0639,0.1586,1,1,53.0,209.5,4,0.388,19,0.1342,-0.0205,field,field,field,11.0
NGC5585,4.24,7.06,0.6006,CF4,0.2081,0.6146,1,1,51.0,90.3,7,0.796,24,0.1317,0.0086,group,M101,field,12.0
NGC5985,37.42,39.7,0.9426,CF4,0.065,0.1614,1,1,60.0,293.6,3,1.2,33,0.0752,0.0206,field,field,field,11.0
NGC6015,11.75,17.0,0.6912,CF4,0.114,0.3002,1,2,60.0,154.1,6,1.172,44,0.061,0.001,field,field,field,11.0
NGC6195,132.25,127.8,1.0348,CF4,0.0416,0.1005,1,1,62.0,251.7,3,0.175,23,0.033,-0.0028,group,Yang_3981,dense,12.8
NGC6503,6.26,6.26,1.0,TRGB,0.0212,0.05,2,1,74.0,116.3,6,0.478,31,0.0376,0.0056,poor_group,field,field,11.0
NGC6674,43.45,51.2,0.8486,CF4,0.0611,0.151,1,1,54.0,241.3,3,0.865,15,0.0499,-0.0097,field,field,field,11.0
NGC6946,5.52,5.52,1.0,TRGB,0.0212,0.05,2,1,38.0,158.9,6,0.385,58,0.031,-0.0069,poor_group,NGC6946,field,11.5
NGC7331,14.7,14.7,1.0,Cepheid,0.0212,0.05,3,1,75.0,239.0,3,0.398,36,0.0181,0.0015,field,field,field,11.0
NGC7793,3.61,3.61,1.0,TRGB,0.0212,0.05,2,1,47.0,0.0,7,0.471,46,0.1568,-0.0273,poor_group,Sculptor,field,11.5
UGC00128,47.03,64.5,0.7291,CF4,0.0592,0.146,1,1,57.0,129.3,8,1.2,22,0.068,-0.0005,field,field,field,11.0
UGC00731,8.02,12.5,0.6416,CF4,0.1413,0.3846,1,1,57.0,73.3,10,1.2,12,0.1444,0.1978,field,field,field,11.0
UGC02487,49.49,69.1,0.7162,CF4,0.058,0.1428,1,1,36.0,332.0,0,1.2,17,0.0182,0.0737,field,field,field,11.0
UGC02885,75.36,80.6,0.935,CF4,0.0497,0.1211,1,1,64.0,289.5,5,0.559,19,0.0266,0.0012,field,field,field,11.0
UGC02916,71.4,65.4,1.0917,CF4,0.0506,0.1236,1,2,50.0,182.7,2,0.246,43,0.1156,0.0122,field,field,field,11.0
UGC02953,23.38,16.5,1.417,CF4,0.0803,0.203,1,2,50.0,264.9,2,0.403,115,0.1141,0.0102,field,field,field,11.0
UGC03205,61.65,50.0,1.233,CF4,0.0533,0.1307,1,1,67.0,219.6,2,0.409,48,0.0684,-0.0104,field,field,field,11.0
UGC03546,68.69,28.7,2.3934,CF4,0.0513,0.1254,1,1,55.0,196.9,1,0.1,30,0.0484,-0.0145,field,field,field,11.0
UGC03580,14.88,20.7,0.7188,CF4,0.1005,0.2604,1,2,63.0,126.2,1,0.701,47,0.1922,0.0695,field,field,field,11.0
UGC05005,38.99,53.7,0.7261,CF4,0.0639,0.1584,1,1,41.0,98.9,10,0.383,11,0.1074,-0.0328,field,field,field,11.0
UGC05253,26.96,22.9,1.1773,CF4,0.0751,0.1887,1,2,37.0,213.7,2,0.333,73,0.071,0.007,field,field,field,11.0
UGC05716,12.27,21.3,0.5761,CF4,0.1114,0.2923,1,2,54.0,73.1,9,1.2,12,0.0275,0.1364,field,field,field,11.0
UGC05721,11.54,6.18,1.8673,CF4,0.1151,0.3035,1,1,61.0,79.7,7,0.389,23,0.0861,-0.0329,field,field,field,11.0
UGC05750,60.26,58.7,1.0266,CF4,0.0538,0.1319,1,1,64.0,0.0,8,0.128,11,0.2492,-0.1519,field,Yang_437051,field,0.0
UGC05764,5.04,7.47,0.6747,CF4,0.1868,0.5373,1,2,60.0,0.0,10,1.2,10,0.1027,0.2685,group,M81,field,12.0
UGC05829,12.77,8.64,1.478,CF4,0.109,0.2852,1,2,34.0,0.0,10,0.177,11,0.1997,-0.1093,field,field,field,11.0
UGC06446,9.73,12.0,0.8108,CF4,0.1266,0.3383,1,1,51.0,82.2,7,1.2,17,0.0561,0.0521,rich_group,UMa,dense,13.2
UGC06614,94.9,88.7,1.0699,CF4,0.046,0.1117,1,1,36.0,199.8,1,0.324,13,0.0431,0.0051,group,Yang_23431,field,12.1
UGC06786,9.88,29.3,0.3372,CF4,0.1255,0.335,1,1,64.0,219.4,0,1.2,45,0.0882,0.3408,rich_group,UMa,dense,13.2
UGC06787,11.34,21.3,0.5324,CF4,0.1162,0.3069,1,2,66.0,248.1,2,1.2,71,0.1389,0.0735,rich_group,UMa,dense,13.2
UGC06917,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,56.0,108.7,9,0.568,11,0.0412,-0.0037,rich_group,UMa,dense,13.2
UGC06930,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,32.0,107.2,7,0.403,10,0.0793,-0.0142,rich_group,UMa,dense,13.2
UGC06983,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,49.0,109.0,6,0.756,17,0.0675,-0.0292,rich_group,UMa,dense,13.2
UGC07089,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,80.0,0.0,8,0.135,12,0.0289,-0.0078,rich_group,UMa,dense,13.2
UGC07323,7.75,8.0,0.9688,CF4,0.1442,0.3937,1,1,47.0,0.0,8,0.301,10,0.0356,-0.013,field,field,field,11.0
UGC07399,7.02,8.43,0.8327,CF4,0.1528,0.4217,1,1,55.0,103.0,8,1.2,10,0.0617,0.2269,field,field,field,11.0
UGC07524,4.74,4.74,1.0,TRGB,0.0212,0.05,2,1,46.0,79.5,9,0.378,31,0.0821,-0.0153,poor_group,CVnI,field,11.0
UGC07603,7.86,4.7,1.6723,CF4,0.143,0.3899,1,1,78.0,61.6,7,0.185,12,0.0705,-0.0212,field,field,field,11.0
UGC08490,4.65,4.65,1.0,TRGB,0.0212,0.05,2,1,50.0,78.6,9,1.012,30,0.0227,-0.0023,poor_group,CVnI,field,11.0
UGC08699,77.73,39.3,1.9779,CF4,0.0491,0.1198,1,2,73.0,182.4,2,0.143,41,0.0538,-0.0098,field,field,field,11.0
UGC09037,75.26,83.6,0.9002,CF4,0.0497,0.1212,1,2,65.0,152.3,6,0.211,22,0.0724,-0.0139,poor_group,Yang_15517,field,11.9
UGC09133,83.03,57.1,1.4541,CF4,0.048,0.117,1,1,53.0,226.8,2,0.13,68,0.0936,-0.0093,group,Yang_324215,field,12.4
UGC11557,14.47,24.2,0.5979,CF4,0.102,0.2647,1,2,30.0,0.0,8,0.281,12,0.3693,-0.1743,field,field,field,11.0
UGC11820,86.8,18.1,4.7956,CF4,0.0473,0.1152,1,1,45.0,0.0,9,0.1,10,0.2604,-0.5018,field,field,field,11.0
UGC11914,10.1,16.9,0.5976,CF4,0.1239,0.3302,1,1,31.0,288.1,2,1.2,65,0.0394,0.0184,field,field,field,11.0
UGC12632,5.56,9.77,0.5691,CF4,0.1758,0.499,1,1,46.0,71.7,9,1.2,15,0.0486,0.0733,field,field,field,10.0
UGC12732,8.44,13.2,0.6394,CF4,0.1372,0.3716,1,1,39.0,0.0,9,1.2,16,0.0185,0.075,field,field,field,11.0
UGCA444,0.98,0.98,1.0,TRGB,0.0212,0.05,2,2,78.0,37.0,10,0.238,36,0.1309,-0.0884,group,CenA,dense,12.5
