galaxy,D_use,D_sparc,D_ratio,dist_source,sigma_D_dex,sigma_D_frac,fD,Q,Inc,Vflat,T,Y_disk,n_points,scatter,mean_res,env_type,env_group,env_binary,logMh
D631-7,7.72,7.72,1.0,TRGB,0.0212,0.05,2,1,59.0,57.7,10,0.1,16,0.2244,-0.1461,field,field,field,10.0
DDO064,6.8,6.8,1.0,Hubble,0.1894,0.5467,1,1,60.0,46.1,10,0.42,14,0.1739,0.0136,field,field,field,10.0
DDO154,4.04,4.04,1.0,TRGB,0.0212,0.05,2,2,64.0,47.0,10,0.1,12,0.0259,-0.0486,group,M81,field,12.0
DDO161,7.5,7.5,1.0,Hubble,0.1756,0.4982,1,1,70.0,66.3,10,0.1,31,0.0399,-0.2334,field,field,field,10.0
DDO168,4.25,4.25,1.0,TRGB,0.0212,0.05,2,2,63.0,53.4,10,0.1,10,0.1412,-0.1164,group,M81,field,12.0
ESO079-G014,28.7,28.7,1.0,Hubble,0.0716,0.1791,1,1,79.0,175.0,4,0.587,15,0.099,-0.0291,field,field,field,11.0
ESO116-G012,13.0,13.0,1.0,Hubble,0.1172,0.3099,1,1,74.0,109.1,7,0.66,15,0.073,-0.002,field,field,field,11.0
ESO563-G021,60.8,60.8,1.0,Hubble,0.0506,0.1236,1,1,83.0,314.6,4,0.774,30,0.2512,-0.0625,field,field,field,11.0
F568-3,82.4,82.4,1.0,Hubble,0.0456,0.1106,1,1,40.0,0.0,7,0.49,18,0.1749,-0.0387,field,field,field,11.0
F568-V1,80.6,80.6,1.0,Hubble,0.0459,0.1114,1,1,40.0,112.3,7,1.2,15,0.1182,0.0482,field,field,field,11.0
F571-8,53.3,53.3,1.0,Hubble,0.0533,0.1305,1,1,85.0,139.7,5,0.528,13,0.3526,-0.1334,field,Yang_449062,field,0.0
F574-1,96.8,96.8,1.0,Hubble,0.0434,0.1052,1,1,65.0,97.8,7,0.707,14,0.1116,-0.0329,field,field,field,11.0
F583-1,35.4,35.4,1.0,Hubble,0.0641,0.1591,1,1,63.0,85.8,9,0.974,25,0.2264,-0.1022,field,field,field,11.0
F583-4,53.3,53.3,1.0,Hubble,0.0533,0.1305,1,1,55.0,0.0,5,0.339,12,0.0332,0.0073,field,field,field,11.0
IC2574,3.91,3.91,1.0,TRGB,0.0212,0.05,2,2,75.0,66.4,9,0.1,34,0.0568,-0.0901,group,M81,field,12.0
KK98-251,6.8,6.8,1.0,Hubble,0.1894,0.5467,1,2,59.0,33.7,10,0.1,15,0.0982,-0.3368,field,field,field,9.5
NGC0024,7.3,7.3,1.0,TRGB,0.0212,0.05,2,1,64.0,106.3,5,1.2,29,0.0989,-0.0105,field,field,field,11.0
NGC0055,2.11,2.11,1.0,TRGB,0.0212,0.05,2,2,77.0,85.6,9,0.1,21,0.032,-0.0916,poor_group,Sculptor,field,11.5
NGC0247,3.7,3.7,1.0,TRGB,0.0212,0.05,2,2,74.0,104.9,7,0.512,26,0.054,-0.0212,poor_group,Sculptor,field,11.5
NGC0289,20.8,20.8,1.0,Hubble,0.0862,0.2196,1,2,46.0,163.0,4,0.339,28,0.1095,-0.0125,field,field,field,11.0
NGC0300,2.08,2.08,1.0,TRGB,0.0212,0.05,2,2,42.0,93.3,7,0.598,25,0.0576,0.0019,poor_group,Sculptor,field,11.5
NGC0801,80.7,80.7,1.0,Hubble,0.0459,0.1114,1,1,80.0,220.1,5,0.406,13,0.1169,-0.0244,field,field,field,11.0
NGC1003,11.4,11.4,1.0,Hubble,0.1286,0.3447,1,1,67.0,109.8,6,0.328,36,0.0458,0.0007,field,field,field,11.0
NGC1090,37.0,37.0,1.0,Hubble,0.0628,0.1554,1,1,64.0,164.4,4,0.365,24,0.1278,-0.0368,field,field,field,11.0
NGC2403,3.16,3.16,1.0,TRGB,0.0212,0.05,2,1,63.0,131.2,6,0.563,73,0.0414,0.0092,group,M81,field,12.0
NGC2683,9.81,9.81,1.0,TRGB,0.0212,0.05,2,2,80.0,154.0,3,0.398,11,0.0609,-0.0204,field,field,field,11.0
NGC2841,14.1,14.1,1.0,Cepheid,0.0212,0.05,3,1,76.0,284.8,3,1.104,50,0.0232,0.0025,field,field,field,11.0
NGC2903,6.6,6.6,1.0,Hubble,0.1939,0.5627,1,1,66.0,184.6,4,0.464,34,0.2067,-0.0394,field,field,field,11.0
NGC2915,4.06,4.06,1.0,TRGB,0.0212,0.05,2,2,56.0,83.5,11,1.2,30,0.3104,0.0128,group,CenA,dense,12.5
NGC2955,97.9,97.9,1.0,Hubble,0.0433,0.1048,1,1,56.0,0.0,3,0.3,24,0.0473,-0.0009,field,field,field,11.0
NGC2976,3.58,3.58,1.0,TRGB,0.0212,0.05,2,2,61.0,85.4,5,0.378,27,0.1617,-0.0687,group,M81,field,12.0
NGC2998,68.1,68.1,1.0,Hubble,0.0485,0.1183,1,1,58.0,209.9,5,0.536,13,0.2161,0.0902,group,Yang_586,dense,12.6
NGC3109,1.33,1.33,1.0,TRGB,0.0212,0.05,2,1,70.0,66.2,9,0.534,25,0.1213,-0.0008,field,Antlia,field,10.5
NGC3198,13.8,13.8,1.0,Cepheid,0.0212,0.05,3,1,73.0,150.1,5,0.454,43,0.1249,-0.0474,field,field,field,11.0
NGC3521,7.7,7.7,1.0,Hubble,0.1721,0.4861,1,1,75.0,213.7,4,0.53,41,0.028,-0.0038,field,field,field,11.0
NGC3726,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,53.0,168.0,5,0.279,12,0.0502,0.0025,rich_group,UMa,dense,13.2
NGC3741,3.21,3.21,1.0,TRGB,0.0212,0.05,2,1,70.0,50.1,10,0.336,21,0.0657,0.0144,poor_group,CVnI,field,11.0
NGC3769,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,70.0,118.6,3,0.313,12,0.0435,-0.0184,rich_group,UMa,dense,13.2
NGC3877,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,76.0,168.4,5,0.42,13,0.1957,-0.0533,rich_group,UMa,dense,13.2
NGC3893,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,49.0,174.0,5,0.51,10,0.0341,0.0015,rich_group,UMa,dense,13.2
NGC3917,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,79.0,135.9,6,0.523,17,0.1247,-0.0323,rich_group,UMa,dense,13.2
NGC3972,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,77.0,132.7,4,0.583,10,0.0838,-0.0175,rich_group,UMa,dense,13.2
NGC4088,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,69.0,171.7,4,0.235,12,0.0441,-0.0018,rich_group,UMa,dense,13.2
NGC4100,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,73.0,158.2,4,0.563,24,0.0481,-0.0055,rich_group,UMa,dense,13.2
NGC4157,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,82.0,184.7,3,0.35,17,0.0279,-0.002,rich_group,UMa,dense,13.2
NGC4183,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,82.0,110.6,6,0.407,23,0.0811,-0.0034,rich_group,UMa,dense,13.2
NGC4559,9.0,9.0,1.0,Hubble,0.1529,0.422,1,1,67.0,121.2,6,0.258,32,0.0528,-0.0117,field,field,field,11.0
NGC5005,16.9,16.9,1.0,SNe,0.0294,0.07,5,1,68.0,262.2,4,0.54,18,0.0271,0.0052,field,field,field,11.0
NGC5033,15.7,15.7,1.0,Hubble,0.1031,0.2681,1,1,66.0,194.2,5,0.617,22,0.0395,0.0004,field,field,field,11.0
NGC5055,9.9,9.9,1.0,TRGB,0.0212,0.05,2,1,55.0,179.0,4,0.33,28,0.043,-0.0096,group,M101,field,12.0
NGC5371,39.7,39.7,1.0,Hubble,0.0607,0.1499,1,1,53.0,209.5,4,0.376,19,0.1355,-0.0208,field,field,field,11.0
NGC5585,7.06,7.06,1.0,Hubble,0.184,0.5274,1,1,51.0,90.3,7,0.28,24,0.0831,0.0007,group,M101,field,12.0
NGC5985,39.7,39.7,1.0,Hubble,0.0607,0.1499,1,1,60.0,293.6,3,1.16,33,0.0748,0.0039,field,field,field,11.0
NGC6015,17.0,17.0,1.0,Hubble,0.0979,0.2528,1,2,60.0,154.1,6,0.638,44,0.0641,-0.0081,field,field,field,11.0
NGC6195,127.8,127.8,1.0,Hubble,0.0405,0.0976,1,1,62.0,251.7,3,0.194,23,0.033,-0.0028,group,Yang_3981,dense,12.8
NGC6503,6.26,6.26,1.0,TRGB,0.0212,0.05,2,1,74.0,116.3,6,0.478,31,0.0376,0.0056,poor_group,field,field,11.0
NGC6674,51.2,51.2,1.0,Hubble,0.0542,0.1329,1,1,54.0,241.3,3,0.615,15,0.0605,-0.0138,field,field,field,11.0
NGC6946,5.52,5.52,1.0,TRGB,0.0212,0.05,2,1,38.0,158.9,6,0.385,58,0.031,-0.0069,poor_group,NGC6946,field,11.5
NGC7331,14.7,14.7,1.0,Cepheid,0.0212,0.05,3,1,75.0,239.0,3,0.398,36,0.0181,0.0015,field,field,field,11.0
NGC7793,3.61,3.61,1.0,TRGB,0.0212,0.05,2,1,47.0,0.0,7,0.471,46,0.1568,-0.0273,poor_group,Sculptor,field,11.5
UGC00128,64.5,64.5,1.0,Hubble,0.0495,0.1207,1,1,57.0,129.3,8,0.63,22,0.0851,-0.0396,field,field,field,11.0
UGC00731,12.5,12.5,1.0,Hubble,0.1205,0.3198,1,1,57.0,73.3,10,1.2,12,0.1444,0.0051,field,field,field,11.0
UGC02487,69.1,69.1,1.0,Hubble,0.0483,0.1176,1,1,36.0,332.0,0,0.874,17,0.0179,-0.0002,field,field,field,11.0
UGC02885,80.6,80.6,1.0,Hubble,0.0459,0.1114,1,1,64.0,289.5,5,0.483,19,0.0257,0.0005,field,field,field,11.0
UGC02916,65.4,65.4,1.0,Hubble,0.0493,0.1201,1,2,50.0,182.7,2,0.364,43,0.114,0.0132,field,field,field,11.0
UGC02953,16.5,16.5,1.0,Hubble,0.0998,0.2584,1,2,50.0,264.9,2,0.685,115,0.1166,0.0133,field,field,field,11.0
UGC03205,50.0,50.0,1.0,Hubble,0.0547,0.1343,1,1,67.0,219.6,2,0.6,48,0.0649,-0.0082,field,field,field,11.0
UGC03546,28.7,28.7,1.0,Hubble,0.0716,0.1791,1,1,55.0,196.9,1,0.49,30,0.0203,-0.0018,field,field,field,11.0
UGC03580,20.7,20.7,1.0,Hubble,0.0865,0.2203,1,2,63.0,126.2,1,0.344,47,0.1661,0.0572,field,field,field,11.0
UGC05005,53.7,53.7,1.0,Hubble,0.0531,0.1301,1,1,41.0,98.9,10,0.113,11,0.0799,-0.044,field,field,field,11.0
UGC05253,22.9,22.9,1.0,Hubble,0.0814,0.206,1,2,37.0,213.7,2,0.496,73,0.0703,0.0077,field,field,field,11.0
UGC05716,21.3,21.3,1.0,Hubble,0.085,0.2161,1,2,54.0,73.1,9,0.626,12,0.0617,-0.0247,field,field,field,11.0
UGC05721,6.18,6.18,1.0,Hubble,0.2042,0.6001,1,1,61.0,79.7,7,1.2,23,0.1139,0.039,field,field,field,11.0
UGC05750,58.7,58.7,1.0,Hubble,0.0513,0.1253,1,1,64.0,0.0,8,0.146,11,0.2517,-0.153,field,Yang_437051,field,0.0
UGC05764,7.47,7.47,1.0,Hubble,0.1761,0.5,1,2,60.0,0.0,10,1.2,10,0.1027,0.0976,group,M81,field,12.0
UGC05829,8.64,8.64,1.0,Hubble,0.1576,0.4376,1,2,34.0,0.0,10,0.351,11,0.1189,-0.0303,field,field,field,11.0
UGC06446,12.0,12.0,1.0,Hubble,0.124,0.3305,1,1,51.0,82.2,7,1.097,17,0.0596,-0.0242,rich_group,UMa,dense,13.2
UGC06614,88.7,88.7,1.0,Hubble,0.0445,0.108,1,1,36.0,199.8,1,0.391,13,0.0439,0.006,group,Yang_23431,field,12.1
UGC06786,29.3,29.3,1.0,Hubble,0.0708,0.1769,1,1,64.0,219.4,0,0.99,45,0.0725,0.0155,rich_group,UMa,dense,13.2
UGC06787,21.3,21.3,1.0,Hubble,0.085,0.2161,1,2,66.0,248.1,2,1.2,71,0.0578,0.0071,rich_group,UMa,dense,13.2
UGC06917,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,56.0,108.7,9,0.568,11,0.0412,-0.0037,rich_group,UMa,dense,13.2
UGC06930,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,32.0,107.2,7,0.403,10,0.0793,-0.0142,rich_group,UMa,dense,13.2
UGC06983,18.0,18.0,1.0,UMa,0.0414,0.1,4,1,49.0,109.0,6,0.756,17,0.0675,-0.0292,rich_group,UMa,dense,13.2
UGC07089,18.0,18.0,1.0,UMa,0.0414,0.1,4,2,80.0,0.0,8,0.135,12,0.0289,-0.0078,rich_group,UMa,dense,13.2
UGC07323,8.0,8.0,1.0,Hubble,0.1671,0.4693,1,1,47.0,0.0,8,0.28,10,0.0337,-0.0119,field,field,field,11.0
UGC07399,8.43,8.43,1.0,Hubble,0.1606,0.4474,1,1,55.0,103.0,8,1.2,10,0.0617,0.1474,field,field,field,11.0
UGC07524,4.74,4.74,1.0,TRGB,0.0212,0.05,2,1,46.0,79.5,9,0.378,31,0.0821,-0.0153,poor_group,CVnI,field,11.0
UGC07603,4.7,4.7,1.0,Hubble,0.2542,0.7957,1,1,78.0,61.6,7,0.859,12,0.1237,-0.0333,field,field,field,11.0
UGC08490,4.65,4.65,1.0,TRGB,0.0212,0.05,2,1,50.0,78.6,9,1.012,30,0.0227,-0.0023,poor_group,CVnI,field,11.0
UGC08699,39.3,39.3,1.0,Hubble,0.061,0.1507,1,2,73.0,182.4,2,0.713,41,0.0432,-0.0036,field,field,field,11.0
UGC09037,83.6,83.6,1.0,Hubble,0.0454,0.1101,1,2,65.0,152.3,6,0.163,22,0.0703,-0.0202,poor_group,Yang_15517,field,11.9
UGC09133,57.1,57.1,1.0,Hubble,0.0518,0.1268,1,1,53.0,226.8,2,0.409,68,0.0752,-0.0009,group,Yang_324215,field,12.4
UGC11557,24.2,24.2,1.0,Hubble,0.0788,0.1989,1,2,30.0,0.0,8,0.1,12,0.3578,-0.1765,field,field,field,11.0
UGC11820,18.1,18.1,1.0,Hubble,0.094,0.2417,1,1,45.0,0.0,9,0.389,10,0.1391,0.0073,field,field,field,11.0
UGC11914,16.9,16.9,1.0,Hubble,0.0983,0.2539,1,1,31.0,288.1,2,0.668,65,0.0386,-0.0073,field,field,field,11.0
UGC12632,9.77,9.77,1.0,Hubble,0.1439,0.3927,1,1,46.0,71.7,9,0.466,15,0.0862,-0.0202,field,field,field,10.0
UGC12732,13.2,13.2,1.0,Hubble,0.116,0.3062,1,1,39.0,0.0,9,0.629,16,0.0587,-0.019,field,field,field,11.0
UGCA444,0.98,0.98,1.0,TRGB,0.0212,0.05,2,2,78.0,37.0,10,0.238,36,0.1309,-0.0884,group,CenA,dense,12.5
