galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
004-005,004-005,Catinella2005,5,0.14707,0.129793,0.178758,-10.878718,field,11.0
005-019,005-019,Catinella2005,7,0.081092,0.318805,0.335278,-11.00382,field,11.0
006-026,006-026,Catinella2005,5,0.120236,0.278306,0.342624,-10.727021,field,11.0
006-036,006-036,Catinella2005,5,0.222825,0.234404,0.307733,-11.221789,field,11.0
008-082,008-082,Catinella2005,5,0.083611,0.399835,0.438967,-12.353962,field,11.0
009-016,009-016,Catinella2005,5,0.0946,0.371489,0.416249,-11.874654,field,11.0
009-018,009-018,Catinella2005,8,0.057371,-0.054752,-0.032118,-10.162259,field,11.0
009-091,009-091,Catinella2005,13,0.060694,0.377611,0.393834,-11.104139,field,11.0
011-059,011-059,Catinella2005,11,0.047674,0.409952,0.397822,-10.894352,field,11.0
012-002,012-002,Catinella2005,8,0.093731,0.319562,0.367849,-10.889337,field,11.0
012-046,012-046,Catinella2005,6,0.061681,0.388666,0.382942,-10.873585,field,11.0
012-079,012-079,Catinella2005,5,0.130979,0.247529,0.306026,-11.456277,field,11.0
012-097,012-097,Catinella2005,9,0.101188,0.269707,0.321363,-10.582746,field,11.0
012-100,012-100,Catinella2005,9,0.123199,0.247555,0.252823,-10.530385,field,11.0
013-121,013-121,Catinella2005,8,0.080541,0.336905,0.341089,-11.138219,field,11.0
015-002,015-002,Catinella2005,5,0.122636,0.284723,0.34455,-11.081018,field,11.0
015-003,015-003,Catinella2005,5,0.083491,0.382937,0.424574,-11.229253,field,11.0
015-022,015-022,Catinella2005,8,0.10847,0.346564,0.381249,-11.275382,field,11.0
015-044,015-044,Catinella2005,5,0.097858,0.350233,0.399232,-11.120625,field,11.0
016-013,016-013,Catinella2005,9,0.046072,0.416023,0.410779,-11.146472,field,11.0
018-004,018-004,Catinella2005,10,0.062131,0.435405,0.417094,-11.386926,field,11.0
018-042,018-042,Catinella2005,6,0.068475,0.422216,0.4426,-11.258905,field,11.0
019-007,019-007,Catinella2005,6,0.083295,0.338656,0.368393,-10.514605,field,11.0
022-042,022-042,Catinella2005,14,0.082323,0.480693,0.460947,-11.160162,field,11.0
023-031,023-031,Catinella2005,15,0.060059,0.446419,0.440901,-10.780625,field,11.0
045-042,045-042,Catinella2005,5,0.162897,0.129687,0.188764,-10.64773,field,11.0
088-049,088-049,Catinella2005,8,0.060827,0.388013,0.39687,-10.529932,field,11.0
092-049,092-049,Catinella2005,5,0.132408,0.245908,0.308294,-10.786074,field,11.0
098-095,098-095,Catinella2005,6,0.073602,-0.242716,-0.220288,-9.459391,field,11.0
100917,100917,Catinella2005,5,0.141463,0.193364,0.242934,-11.462016,field,11.0
10121/108-036,10121/108-036,Vogt2004,1,0.0,0.300697,0.300697,-10.817074,dense,14.5
1013/N536,1013/N536,Vogt2004,1,0.0,-0.125331,-0.125331,-9.742939,dense,13.5
10131/F1975,10131/F1975,Vogt2004,1,0.0,-0.075034,-0.075034,-10.133716,dense,14.5
10165/N6040B,10165/N6040B,Vogt2004,1,0.0,0.394385,0.394385,-10.58568,dense,14.5
10166/223-033,10166/223-033,Vogt2004,1,0.0,-0.173774,-0.173774,-10.061351,dense,14.8
10177/N6045,10177/N6045,Vogt2004,1,0.0,0.321801,0.321801,-10.341178,dense,14.5
10180/I1173,10180/I1173,Vogt2004,1,0.0,0.30854,0.30854,-10.79819,dense,14.5
10190,10190,Vogt2004,1,0.0,-0.140263,-0.140263,-10.390328,dense,14.5
10192/260184,10192/260184,Vogt2004,1,0.0,0.334093,0.334093,-10.736101,dense,14.5
10193/108-132N,10193/108-132N,Vogt2004,1,0.0,0.40916,0.40916,-10.547848,dense,14.2
10195/I1190,10195/I1190,Vogt2004,1,0.0,0.004851,0.004851,-9.892536,dense,14.5
10287/079-083,10287/079-083,Vogt2004,1,0.0,-0.172559,-0.172559,-10.235221,dense,14.2
1033/502-086,1033/502-086,Vogt2004,1,0.0,-0.160972,-0.160972,-10.100139,dense,13.5
10362/224-008,10362/224-008,Vogt2004,1,0.0,-0.099637,-0.099637,-9.969453,dense,14.8
10389,10389,Vogt2004,1,0.0,-0.050989,-0.050989,-10.254211,dense,14.8
10415/224-046,10415/224-046,Vogt2004,1,0.0,-0.628585,-0.628585,-11.112562,dense,14.3
10417,10417,Vogt2004,1,0.0,0.024157,0.024157,-10.218518,dense,14.3
10420/224-048,10420/224-048,Vogt2004,1,0.0,-0.028063,-0.028063,-10.472945,dense,14.8
10423/M+734088,10423/M+734088,Vogt2004,1,0.0,-0.209272,-0.209272,-10.037919,dense,14.3
10427/224-054,10427/224-054,Vogt2004,1,0.0,-0.092242,-0.092242,-11.697568,dense,14.3
10432,10432,Vogt2004,1,0.0,-0.195612,-0.195612,-10.172868,dense,14.3
1045/502-087,1045/502-087,Vogt2004,1,0.0,0.246367,0.246367,-10.945886,dense,13.5
10450,10450,Vogt2004,1,0.0,-0.135457,-0.135457,-10.244194,dense,14.8
10459/F2048,10459/F2048,Vogt2004,1,0.0,-0.114912,-0.114912,-9.890469,dense,14.3
10469/N6195,10469/N6195,Vogt2004,1,0.0,-0.140004,-0.140004,-9.799279,dense,14.8
10485,10485,Vogt2004,1,0.0,0.015432,0.015432,-10.099174,dense,14.8
10488/224-080,10488/224-080,Vogt2004,1,0.0,-0.141664,-0.141664,-9.741472,dense,14.8
10504/197-003,10504/197-003,Vogt2004,1,0.0,-0.116455,-0.116455,-9.78595,field,11.0
1054/F170,1054/F170,Vogt2004,1,0.0,0.038987,0.038987,-11.413984,dense,13.5
10550,10550,Vogt2004,1,0.0,-0.066728,-0.066728,-10.257122,dense,14.8
10661,10661,Vogt2004,1,0.0,-0.083033,-0.083033,-10.020521,field,11.0
10716/F2111,10716/F2111,Vogt2004,1,0.0,-0.074599,-0.074599,-10.123844,field,11.0
10752/N6314,10752/N6314,Vogt2004,1,0.0,-0.11179,-0.11179,-9.853201,field,11.0
10826/I1255,10826/I1255,Vogt2004,1,0.0,-0.062177,-0.062177,-9.826968,field,11.0
1094/N582,1094/N582,Vogt2004,1,0.0,-0.136248,-0.136248,-9.844759,dense,13.5
10981/083-021,10981/083-021,Vogt2004,1,0.0,-0.136769,-0.136769,-9.787077,field,11.0
110158/520-032,110158/520-032,Vogt2004,1,0.0,0.071935,0.071935,-11.341527,dense,13.5
110177/N451,110177/N451,Vogt2004,1,0.0,0.079591,0.079591,-11.324606,dense,13.5
110334/521-028,110334/521-028,Vogt2004,1,0.0,-0.189831,-0.189831,-10.568586,dense,13.5
110363/502-093,110363/502-093,Vogt2004,1,0.0,-0.138348,-0.138348,-10.486635,dense,13.5
110579/522-025,110579/522-025,Vogt2004,1,0.0,-0.392371,-0.392371,-11.021029,dense,14.0
110618/522-062,110618/522-062,Vogt2004,1,0.0,0.03982,0.03982,-11.151428,dense,14.0
