name,ra,dec,Vsys,D_use,dist_source,sigma_D_dex,Inc,n_pts,n_gas_dom,rms_all,rms_gas,env_class,env_dense,logMh,team_release
WALLABY J101655-485238,154.229775,-48.877345,2738.2,46.74,CF4,0.0593,58.6,14,14,0.3029,0.3029,field,field,11.0,Vela TR1
WALLABY J101457-433710,153.737791,-43.619657,3032.5,50.64,CF4,0.0575,83.6,16,16,0.2691,0.2691,field,field,11.0,Vela TR1
WALLABY J101219-471739,153.081658,-47.294326,2523.0,43.31,CF4,0.0612,81.4,10,10,0.1357,0.1357,rich_group,dense,13.5,Vela TR1
WALLABY J100656-450242,151.734782,-45.045075,3904.0,58.70,CF4,0.0543,71.7,6,6,0.1385,0.1385,rich_group,dense,13.5,Vela TR1
WALLABY J100916-431959,152.318358,-43.333100,4585.4,70.28,CF4,0.0509,56.3,8,8,0.1399,0.1399,field,field,11.0,Vela TR1
WALLABY J094524-480828,146.352598,-48.141160,874.9,14.75,CF4,0.1010,75.9,8,8,0.0349,0.0349,field,field,11.0,Vela TR1
WALLABY J101330-434301,153.375345,-43.717001,4564.0,69.69,CF4,0.0510,82.1,6,6,0.1537,0.1537,field,field,11.0,Vela TR1
WALLABY J100239-452950,150.662785,-45.497484,3507.6,54.44,CF4,0.0559,57.2,6,6,0.1860,0.1860,rich_group,dense,13.5,Vela TR1
WALLABY J101331-434904,153.379532,-43.817927,4216.0,62.92,CF4,0.0529,50.2,6,6,0.3177,0.3177,field,field,11.0,Vela TR1
WALLABY J094944-471059,147.433527,-47.183062,5360.5,79.80,CF4,0.0487,39.7,6,6,0.2550,0.2550,field,field,11.0,Vela TR1
WALLABY J100123-434533,150.348521,-43.759392,3548.7,55.10,CF4,0.0556,31.8,6,6,0.2115,0.2115,rich_group,dense,13.5,Vela TR1
WALLABY J100437-490338,151.155000,-49.060543,3401.4,53.33,CF4,0.0563,84.9,4,4,0.0960,0.0960,field,field,11.0,Vela TR1
WALLABY J100542-480241,151.427393,-48.044885,4007.7,59.63,CF4,0.0540,82.2,6,6,0.2404,0.2404,rich_group,dense,13.5,Vela TR1
WALLABY J100801-473847,152.005766,-47.646555,3344.6,52.93,CF4,0.0565,81.0,4,4,0.0268,0.0268,rich_group,dense,13.5,Vela TR1
WALLABY J100036-465940,150.152727,-46.994553,3692.9,56.20,CF4,0.0552,44.9,4,4,0.1321,0.1321,rich_group,dense,13.5,Vela TR1
WALLABY J125548+041805,193.952317,4.301584,756.3,8.59,CF4,0.1358,66.0,20,20,0.2179,0.2179,group,dense,12.7,NGC 4808 TR1
WALLABY J125549+040049,193.956351,4.013833,703.4,8.18,CF4,0.1397,56.9,8,8,0.0799,0.0799,group,dense,12.7,NGC 4808 TR1
WALLABY J125451+023900,193.714221,2.650154,936.6,10.18,CF4,0.1234,60.2,5,5,0.1017,0.1017,field,field,11.0,NGC 4808 TR1
WALLABY J130315+074816,195.813065,7.804480,2919.8,43.76,CF4,0.0609,32.2,7,7,0.2250,0.2250,field,field,11.0,NGC 4808 TR1
WALLABY J125604+034843,194.019327,3.812094,613.8,7.34,CF4,0.1488,39.0,6,6,0.0794,0.0794,group,dense,12.7,NGC 4808 TR1
WALLABY J130305+035925,195.774859,3.990380,2857.6,42.71,CF4,0.0615,36.9,5,5,0.1401,0.1401,field,field,11.0,NGC 4808 TR1
WALLABY J131122+032431,197.843777,3.408681,3043.3,44.98,CF4,0.0602,67.4,6,6,0.0564,0.0564,field,field,11.0,NGC 4808 TR1
WALLABY J131232+071059,198.137402,7.183158,897.5,9.80,CF4,0.1260,81.1,6,6,0.0125,0.0125,field,field,11.0,NGC 4808 TR1
WALLABY J124950+025100,192.459588,2.850217,1148.9,23.35,CF4,0.0803,74.9,6,6,0.0578,0.0578,field,field,11.0,NGC 4808 TR1
WALLABY J130739+062006,196.913104,6.335179,7149.5,116.50,CF4,0.0432,44.2,5,5,0.1438,0.1438,field,field,11.0,NGC 4808 TR1
WALLABY J130558+035723,196.495525,3.956555,7010.5,113.30,CF4,0.0435,78.7,6,6,0.2387,0.2387,field,field,11.0,NGC 4808 TR1
WALLABY J130906+051433,197.277407,5.242738,3598.4,51.44,CF4,0.0571,50.2,5,5,0.2014,0.2014,field,field,11.0,NGC 4808 TR1
WALLABY J131208+025916,198.035133,2.988027,3031.5,44.76,CF4,0.0603,81.9,4,4,0.0492,0.0492,field,field,11.0,NGC 4808 TR1
WALLABY J134019-235122,205.082737,-23.856174,6505.2,91.74,CF4,0.0465,34.3,4,4,0.1745,0.1745,field,field,11.0,NGC 5044 TR1
WALLABY J133801-225524,204.506192,-22.923507,6964.3,100.27,CF4,0.0452,70.6,5,5,0.2894,0.2894,field,field,11.0,NGC 5044 TR1
WALLABY J133541-240428,203.922097,-24.074488,2579.0,34.99,CF4,0.0669,77.7,6,6,0.1429,0.1429,field,field,11.0,NGC 5044 TR1
WALLABY J133440-234722,203.667147,-23.789527,7807.7,109.36,CF4,0.0440,33.3,4,4,0.3928,0.3928,field,field,11.0,NGC 5044 TR1
WALLABY J133209-245132,203.038146,-24.858912,7784.6,109.02,CF4,0.0440,81.6,4,4,0.1730,0.1730,field,field,11.0,NGC 5044 TR1
WALLABY J133058-215044,202.742842,-21.845812,7356.2,105.60,CF4,0.0445,67.9,5,5,0.1431,0.1431,field,field,11.0,NGC 5044 TR1
WALLABY J133041-233009,202.674017,-23.502665,12877.1,180.07,CF4,0.0383,69.5,4,4,0.1560,0.1560,field,field,11.0,NGC 5044 TR1
WALLABY J132635-221419,201.649244,-22.238773,1414.5,21.00,CF4,0.0845,59.7,6,6,0.0668,0.0668,field,field,11.0,NGC 5044 TR1
WALLABY J132519-210812,201.332560,-21.136919,1761.3,25.15,CF4,0.0775,51.2,4,4,0.0343,0.0343,field,field,11.0,NGC 5044 TR1
WALLABY J132441-194214,201.174457,-19.704041,1955.3,28.52,CF4,0.0732,53.3,8,8,0.2275,0.2275,field,field,11.0,NGC 5044 TR1
WALLABY J132433-210813,201.138445,-21.137191,2655.7,36.63,CF4,0.0656,51.5,8,8,0.2630,0.2630,field,field,11.0,NGC 5044 TR1
WALLABY J132402-243938,201.011453,-24.660711,2053.2,28.59,CF4,0.0731,53.4,6,6,0.0518,0.0518,field,field,11.0,NGC 5044 TR1
WALLABY J130943-163617,197.431718,-16.604940,2564.3,36.04,CF4,0.0660,65.4,10,10,0.1289,0.1289,rich_group,dense,13.5,NGC 5044 TR2
WALLABY J131658-163757,199.244780,-16.632747,1736.0,26.39,CF4,0.0758,60.5,12,12,0.1288,0.1288,group,dense,12.5,NGC 5044 TR2
WALLABY J131234-173225,198.145213,-17.540429,2750.8,38.51,CF4,0.0642,60.7,6,6,0.2838,0.2838,rich_group,dense,13.5,NGC 5044 TR2
WALLABY J130618-173039,196.576841,-17.510961,1469.0,22.65,CF4,0.0815,49.5,7,7,0.1143,0.1143,field,field,11.0,NGC 5044 TR2
WALLABY J131830-143635,199.628009,-14.609983,2900.3,41.43,CF4,0.0623,57.4,4,4,0.1107,0.1107,field,field,11.0,NGC 5044 TR2
WALLABY J131706-161516,199.275886,-16.254521,2635.8,36.89,CF4,0.0654,77.0,6,6,0.1703,0.1703,rich_group,dense,13.5,NGC 5044 TR2
WALLABY J130515-165316,196.314425,-16.887961,2836.2,40.42,CF4,0.0629,61.0,5,5,0.0940,0.0940,field,field,11.0,NGC 5044 TR2
WALLABY J130806-144640,197.025210,-14.777920,2589.1,36.68,CF4,0.0655,35.3,5,5,0.0278,0.0278,field,field,11.0,NGC 5044 TR2
WALLABY J130854-163609,197.228340,-16.602640,2578.9,36.26,CF4,0.0659,79.1,6,6,0.0292,0.0292,field,field,11.0,NGC 5044 TR2
WALLABY J133010-240841,202.542962,-24.144630,4940.9,69.53,CF4,0.0511,35.5,5,5,0.1190,0.1190,field,field,11.0,NGC 5044 TR2
WALLABY J131712-171511,199.301031,-17.253285,2518.6,35.26,CF4,0.0667,52.3,5,5,0.1413,0.1413,rich_group,dense,13.5,NGC 5044 TR2
WALLABY J130818-143213,197.075536,-14.537099,2669.9,38.00,CF4,0.0646,52.0,4,4,0.1079,0.1079,field,field,11.0,NGC 5044 TR2
WALLABY J131400-164707,198.502263,-16.785316,3078.4,44.23,CF4,0.0606,63.2,4,4,0.0781,0.0781,rich_group,dense,13.5,NGC 5044 TR2
WALLABY J131237-142630,198.156667,-14.441895,6221.0,88.62,CF4,0.0470,79.1,7,7,0.1825,0.1825,field,field,11.0,NGC 5044 TR2
WALLABY J130516-172641,196.317314,-17.444843,10739.2,145.48,CF4,0.0405,75.0,4,4,0.0974,0.0974,field,field,11.0,NGC 5044 TR2
WALLABY J131430-173154,198.626623,-17.531811,2477.6,34.77,CF4,0.0671,59.6,4,4,0.1032,0.1032,rich_group,dense,13.5,NGC 5044 TR2
WALLABY J131840-150339,199.666738,-15.061068,3182.2,45.75,CF4,0.0598,78.6,4,4,0.1087,0.1087,field,field,11.0,NGC 5044 TR2
WALLABY J130314-172514,195.811884,-17.420712,740.5,9.50,CF4,0.1283,78.2,24,24,0.0601,0.0601,field,field,11.0,NGC5044 TR3
WALLABY J132947-175747,202.448549,-17.963106,1506.8,22.84,CF4,0.0811,84.4,22,22,0.1514,0.1514,field,field,11.0,NGC5044 TR3
WALLABY J130415-102023,196.062561,-10.339842,3108.3,45.20,CF4,0.0601,66.6,14,14,0.2286,0.2286,field,field,11.0,NGC5044 TR3
WALLABY J130053-132655,195.223030,-13.448608,2554.3,36.73,CF4,0.0655,37.8,12,12,0.2451,0.2451,field,field,11.0,NGC5044 TR3
WALLABY J130059-143042,195.247702,-14.511922,2630.3,37.67,CF4,0.0648,34.2,8,8,0.3383,0.3383,field,field,11.0,NGC5044 TR3
WALLABY J130017-122041,195.071759,-12.344942,1573.2,26.06,CF4,0.0763,50.5,6,6,0.0648,0.0648,field,field,11.0,NGC5044 TR3
WALLABY J131920-145037,199.835725,-14.843867,2749.3,39.03,CF4,0.0638,80.4,10,10,0.1595,0.1595,field,field,11.0,NGC5044 TR3
WALLABY J125907-121329,194.779284,-12.224818,1316.4,20.91,CF4,0.0847,41.4,4,4,0.1725,0.1725,field,field,11.0,NGC5044 TR3
WALLABY J132148-131222,200.453571,-13.206150,2897.3,41.48,CF4,0.0622,50.0,5,5,0.1654,0.1654,field,field,11.0,NGC5044 TR3
WALLABY J130221-154600,195.590276,-15.766894,4821.2,67.82,CF4,0.0515,81.1,8,8,0.2247,0.2247,field,field,11.0,NGC5044 TR3
