galaxy,source,logMh,env_dense,c_s2_median,c_s2_scatter_dex,xi_eff_median_kpc,L_rho_median_kpc,n_valid,neg_gDM_frac,n_total_pts,log_c_s2_median
005-019,Catinella2005,11.0,field,15348712433.463467,0.23435385644657203,6.587327217509708,7.794418688931243,8,0.0,8,10.186071949422619
009-018,Catinella2005,11.0,field,9263620347.897995,0.03946385629072271,8.314030061319414,5.948232273090383,8,0.0,8,9.966780748003442
009-091,Catinella2005,11.0,field,16091755894.721493,0.06331059019937964,11.782551073205054,7.0537565356119805,14,0.0,14,10.206603435881604
011-059,Catinella2005,11.0,field,21697838401.599403,0.12755731371880513,11.592448556835466,7.966920056098287,13,0.0,13,10.336416470391509
012-002,Catinella2005,11.0,field,14525500335.913645,0.03762013153349465,9.008053781503898,5.407576809335958,9,0.0,9,10.16213110074457
012-046,Catinella2005,11.0,field,8638952386.083836,0.09339685211470126,6.333281352824624,3.101318523234217,6,0.0,6,9.936461080380711
012-097,Catinella2005,11.0,field,18199692086.645603,0.018281827157463827,11.56636924614292,5.451016262096434,11,0.0,11,10.260064040391562
012-100,Catinella2005,11.0,field,7311505740.647617,0.3961687857379524,9.195063411596177,1.5137415719430476,7,0.0,10,9.864006825318151
013-121,Catinella2005,11.0,field,4688882017.853987,0.14934928875331793,7.169980492011738,2.9954789612620702,9,0.0,9,9.671069305112573
015-002,Catinella2005,11.0,field,8398717032.268648,0.1322758290230208,5.269724325420018,4.31472937637686,6,0.0,6,9.924212949352215
015-022,Catinella2005,11.0,field,10095148058.213333,0.18816190528005025,7.13627089381426,6.378513881513826,10,0.0,10,10.004112692808487
016-013,Catinella2005,11.0,field,13236565923.062244,0.1534346152468886,8.170952040002089,6.939794336792126,11,0.0,11,10.121775326938177
018-004,Catinella2005,11.0,field,9762823729.934574,0.02266880196666742,8.865263012966562,5.863389788817875,12,0.0,12,9.989575448093364
018-042,Catinella2005,11.0,field,7303153881.196239,0.07839902625612521,5.907774953948515,3.9628845348318498,7,0.0,7,9.863510451545233
019-007,Catinella2005,11.0,field,14603905621.557804,0.08642051927218665,8.32160564726023,3.4563474042423303,6,0.0,6,10.16446901763779
022-042,Catinella2005,11.0,field,18626336965.12891,0.04788269751713776,12.380922057502454,7.142321017544768,14,0.0,14,10.270127455419738
023-031,Catinella2005,11.0,field,29667941762.645256,0.018448103951441305,18.04640000709051,7.302487676534961,16,0.0,16,10.472287417832455
088-049,Catinella2005,11.0,field,23064399668.814236,0.06577181963847742,11.665524335448113,4.791695587491091,9,0.0,9,10.36294215506766
11102,Catinella2005,11.0,field,11297657345.954287,0.009647858601165538,10.797541110206168,8.275691286829122,15,0.0,15,10.052988398598401
111140,Catinella2005,11.0,field,5268878318.34703,0.020867445867259256,4.404492739527764,4.673478687433255,7,0.0,7,9.721718168912387
118-069,Catinella2005,11.0,field,6013815127.131626,0.18472055942561685,4.726953808611087,6.1970669277359,8,0.0,8,9.779150073165782
119-029,Catinella2005,11.0,field,5858036232.837069,0.1469210429938075,4.020662682582249,5.200118691320532,7,0.0,7,9.767752053530717
