galaxy,cs2_median,cs2_mean,cs2_std,cs2_median_err,n_points,logMh,env_dense,source,T,log_cs2,log_cs2_err
004-005,6069026540.821657,7785301603.43045,5887786711.854314,1510915843.9915636,5,11.0,field,Catinella2005,,9.783119036733702,0.10811987874037095
005-019,15350314118.864002,13413046778.784554,8081283661.219911,2466148393.6048155,8,11.0,field,Catinella2005,,10.186117267024507,0.06977281576153191
006-026,7227009926.618377,10800891608.105225,9336779124.92203,1538797140.208379,5,11.0,field,Catinella2005,,9.858958651241132,0.09247131435361217
006-036,4604835799.569686,20022022270.067833,33693441622.506416,1104179400.3512905,5,11.0,field,Catinella2005,,9.663214148623592,0.10413813683619708
008-082,1225193873.8726954,1825321678.7849107,1442228383.4306612,234557155.13954595,5,11.0,field,Catinella2005,,9.08820481661157,0.08314347658794635
009-016,1729719712.0715191,3094694663.4993687,3053068919.9059043,361845342.23237765,5,11.0,field,Catinella2005,,9.237975734711073,0.09085138727228523
009-018,9264587035.203722,8568150619.952127,2434428825.5575056,1798771796.239914,8,11.0,field,Catinella2005,,9.966826065605336,0.08432072172691474
009-091,16093435118.994997,14998647717.798334,4288892982.6002207,1510850335.2475026,14,11.0,field,Catinella2005,,10.206648753483492,0.04077152942973705
011-059,21700102637.843586,19734645142.53823,7091973397.519479,2433689575.9600706,13,11.0,field,Catinella2005,,10.3364617879934,0.048706587758792046
012-002,14527016116.597446,12502511910.798346,4227429883.5066195,1805545261.6990821,9,11.0,field,Catinella2005,,10.162176418346467,0.053977935846479724
012-046,8639853887.364288,7998148967.146954,2269815251.2507787,1114839935.5096946,6,11.0,field,Catinella2005,,9.936506397982598,0.05603900696808428
012-079,4057783436.396131,5482370802.645754,4151173052.147828,886890136.2991823,5,11.0,field,Catinella2005,,9.608288865051225,0.09492164830542137
012-097,18201591280.55136,16093173405.048225,4911444585.14398,1914422833.7425823,11,11.0,field,Catinella2005,,10.260109357993459,0.04567860358519184
012-100,7312268718.783535,8541379816.545617,4752731537.6761875,1555394045.2194731,7,11.0,field,Catinella2005,,9.864052142920043,0.09237886037869375
