galaxy,source,R_m,R_kpc,g_dm,sigma_gdm,rho_dm,sigma_rho_dm,M_dm_enc,cs2,sigma_cs2,xi_eff,X_TF,g_star,log_gbar,env_dense,logMh,sigma_log_gobs,T
004-005,Catinella2005,7.527127406e+19,2.439121,2.5630536495749716e-11,1.0346648341985805e-11,2.678337909941977e-21,7.299749506397373e-22,2.1758553923314096e+39,1895872178.5358157,765875130.3360188,3.478704127547573e+19,2.163773385150319,5.4499379913415435e-11,-10.714344,field,11.0,0.1,
004-005,Catinella2005,1.3855886948000001e+20,4.489918,4.3867819131201005e-11,1.3141492414254761e-11,9.392633776723135e-22,2.465155084109259e-22,1.2619103556003235e+40,3735013705.5085635,1120417373.9242792,8.377544247011649e+19,1.6539318133643437,4.4583634480246155e-11,-10.879263,field,11.0,0.1,
004-005,Catinella2005,2.018464649e+20,6.540715,4.974667607776123e-11,1.358703482978538e-11,5.828837989648351e-22,1.45464057377848e-22,3.0368277608010975e+40,6069026540.821657,1660819493.3964915,1.2996085460497493e+20,1.5531327915126933,4.669888143832915e-11,-11.033339,field,11.0,0.1,
004-005,Catinella2005,2.6513406032e+20,8.591512,4.9851160292394884e-11,1.3012768051707904e-11,4.1912990223555283e-22,1.0128940400051543e-22,5.250735167204897e+40,10723900011.551445,2808003976.302761,1.7088838098284475e+20,1.551504314073971,6.275382767321086e-11,-11.176358,field,11.0,0.1,
004-005,Catinella2005,3.284216866e+20,10.64231,4.743696343241163e-11,1.205470782598799e-11,2.996533374050594e-22,7.154704525815898e-23,7.666450443527916e+40,16502695580.73477,4215117822.543849,2.0649029488918138e+20,1.5904945400763577,7.991995744686882e-11,-11.308391,field,11.0,0.1,
005-019,Catinella2005,2.1461432699999998e+19,0.695445,6.41084100896529e-11,1.94672985249313e-11,3.288111905342954e-20,8.83255864735701e-21,4.424316890157039e+38,2185160645.097041,663575122.390137,1.5686483280441391e+19,1.3681481257662813,1.3930213713494326e-10,-10.689583,field,11.0,0.1,
005-019,Catinella2005,9.499059803999999e+19,3.078114,1.0051573135938323e-10,2.6634017986644777e-11,2.0242967298229563e-21,5.322542348499503e-22,1.3589675245361725e+40,4149690678.8970537,1099640362.8231044,8.69374739815653e+19,1.0926312174671915,4.7731898442057065e-11,-10.819463,field,11.0,0.1,
005-019,Catinella2005,1.6851976338e+20,5.460783,8.077555080527755e-11,2.1219966243729874e-11,8.647618812191869e-22,2.221288491131341e-22,3.4371256367926844e+40,6618387765.166732,1739242026.875165,1.3826115536655735e+20,1.2188511150020493,4.78687433764031e-11,-10.943797,field,11.0,0.1,
005-019,Catinella2005,2.4204895958e+20,7.843453,6.783782047591308e-11,1.7614839430937808e-11,5.242696571001558e-22,1.3170814138687655e-22,5.955142037131413e+40,14063348960.263372,3659923500.975029,1.8199042547117474e+20,1.330009306551887,7.727521337374339e-11,-11.062359,field,11.0,0.1,
005-019,Catinella2005,3.1557812492e+20,10.226122,6.077253296938271e-11,1.55323328505607e-11,3.7702798478406107e-22,9.216413769757038e-23,9.068488745466543e+40,16637279277.46463,4267061540.4421916,2.2457941039352447e+20,1.4051961591983029,7.408194388039212e-11,-11.174994,field,11.0,0.1,
