galaxy,dist_method,dist_tier,D_Mpc,Inc,Vflat,Q,T,Y_disk,n_points,scatter,mean_res,env_class,env_binary,group_name
DDO154,TRGB,1,4.04,64.0,47.0,2,10,0.1,12,0.0259,-0.0486,group,dense,M81_group
DDO168,TRGB,1,4.25,63.0,53.4,2,10,0.1,10,0.1412,-0.1164,group,dense,M81_group
IC2574,TRGB,1,3.91,75.0,66.4,2,9,0.1,34,0.0568,-0.0901,group,dense,M81_group
NGC0055,TRGB,1,2.11,77.0,85.6,2,9,0.1,21,0.032,-0.0916,group,dense,Sculptor
NGC0247,TRGB,1,3.7,74.0,104.9,2,7,0.512,26,0.054,-0.0212,group,dense,Sculptor
NGC0300,TRGB,1,2.08,42.0,93.3,2,7,0.598,25,0.0576,0.0019,group,dense,Sculptor
NGC2403,TRGB,1,3.16,63.0,131.2,1,6,0.563,73,0.0414,0.0092,group,dense,M81_group
NGC2915,TRGB,1,4.06,56.0,83.5,2,11,1.2,30,0.3104,0.0128,group,dense,CenA_group
NGC2976,TRGB,1,3.58,61.0,85.4,2,5,0.378,27,0.1617,-0.0687,group,dense,M81_group
NGC3109,TRGB,1,1.33,70.0,66.2,1,9,0.534,25,0.1213,-0.0008,group,dense,Antlia
NGC3726,UMa_cluster,2,18.0,53.0,168.0,2,5,0.279,12,0.0502,0.0025,cluster,dense,UMa_cluster
NGC3741,TRGB,1,3.21,70.0,50.1,1,10,0.336,21,0.0657,0.0144,group,dense,CVnI
NGC3769,UMa_cluster,2,18.0,70.0,118.6,2,3,0.313,12,0.0435,-0.0184,cluster,dense,UMa_cluster
NGC3877,UMa_cluster,2,18.0,76.0,168.4,2,5,0.42,13,0.1957,-0.0533,cluster,dense,UMa_cluster
NGC3893,UMa_cluster,2,18.0,49.0,174.0,1,5,0.51,10,0.0341,0.0015,cluster,dense,UMa_cluster
NGC3917,UMa_cluster,2,18.0,79.0,135.9,1,6,0.523,17,0.1247,-0.0323,cluster,dense,UMa_cluster
NGC3972,UMa_cluster,2,18.0,77.0,132.7,1,4,0.583,10,0.0838,-0.0175,cluster,dense,UMa_cluster
NGC4088,UMa_cluster,2,18.0,69.0,171.7,1,4,0.235,12,0.0441,-0.0018,cluster,dense,UMa_cluster
NGC4100,UMa_cluster,2,18.0,73.0,158.2,1,4,0.563,24,0.0481,-0.0055,cluster,dense,UMa_cluster
NGC4157,UMa_cluster,2,18.0,82.0,184.7,1,3,0.35,17,0.0279,-0.002,cluster,dense,UMa_cluster
NGC4183,UMa_cluster,2,18.0,82.0,110.6,1,6,0.407,23,0.0811,-0.0034,cluster,dense,UMa_cluster
NGC5055,TRGB,1,9.9,55.0,179.0,1,4,0.33,28,0.043,-0.0096,group,dense,M101_group
NGC7793,TRGB,1,3.61,47.0,0.0,1,7,0.471,46,0.1568,-0.0273,group,dense,Sculptor
UGC06917,UMa_cluster,2,18.0,56.0,108.7,1,9,0.568,11,0.0412,-0.0037,cluster,dense,UMa_cluster
UGC06930,UMa_cluster,2,18.0,32.0,107.2,1,7,0.403,10,0.0793,-0.0142,cluster,dense,UMa_cluster
UGC06983,UMa_cluster,2,18.0,49.0,109.0,1,6,0.756,17,0.0675,-0.0292,cluster,dense,UMa_cluster
UGC07089,UMa_cluster,2,18.0,80.0,0.0,2,8,0.135,12,0.0289,-0.0078,cluster,dense,UMa_cluster
UGC07524,TRGB,1,4.74,46.0,79.5,1,9,0.378,31,0.0821,-0.0153,group,dense,CVnI
UGC08490,TRGB,1,4.65,50.0,78.6,1,9,1.012,30,0.0227,-0.0023,group,dense,CVnI
D631-7,TRGB,1,7.72,59.0,57.7,1,10,0.1,16,0.2244,-0.1461,field,field,field
DDO161,TRGB(NED),1,7.5,70.0,66.3,1,10,0.1,31,0.0399,-0.2334,field,field,field
NGC0024,TRGB,1,7.3,64.0,106.3,1,5,1.2,29,0.0989,-0.0105,field,field,field
NGC2683,TRGB,1,9.81,80.0,154.0,2,3,0.398,11,0.0609,-0.0204,field,field,field
NGC2841,Cepheid,1,14.1,76.0,284.8,1,3,1.104,50,0.0232,0.0025,field,field,field
NGC3198,Cepheid,1,13.8,73.0,150.1,1,5,0.454,43,0.1249,-0.0474,field,field,field
NGC4559,TRGB(NED),1,9.0,67.0,121.2,1,6,0.258,32,0.0528,-0.0117,field,field,field
NGC5005,SNe,1,16.9,68.0,262.2,1,4,0.54,18,0.0271,0.0052,field,field,field
NGC6503,TRGB,1,6.26,74.0,116.3,1,6,0.478,31,0.0376,0.0056,field,field,field
NGC6946,TRGB,1,5.52,38.0,158.9,1,6,0.385,58,0.031,-0.0069,field,field,field
NGC7331,Cepheid,1,14.7,75.0,239.0,1,3,0.398,36,0.0181,0.0015,field,field,field
UGC05721,TRGB(NED),1,6.18,61.0,79.7,1,7,1.2,23,0.1139,0.039,field,field,field
UGC07323,TRGB(NED),1,8.0,47.0,0.0,1,8,0.28,10,0.0337,-0.0119,field,field,field
UGCA444,TRGB,1,0.98,78.0,37.0,2,10,0.238,36,0.1309,-0.0884,field,field,field
