galaxy,source,log_gbar,log_gobs,log_res,sigma_log_gobs,R_kpc,env_dense,logMh
CamB,SPARC,-12.006315,-12.095768,-1.151731,0.654715,0.16,field,9.5
CamB,SPARC,-11.671648,-11.732447,-0.964822,0.269191,0.41,field,9.5
CamB,SPARC,-11.589113,-11.581489,-0.857948,0.191883,0.57,field,9.5
CamB,SPARC,-11.542063,-11.456829,-0.75854,0.146887,0.73,field,9.5
CamB,SPARC,-11.528318,-11.368743,-0.677848,0.119531,0.9,field,9.5
CamB,SPARC,-11.539415,-11.29348,-0.596615,0.100999,1.06,field,9.5
CamB,SPARC,-11.586794,-11.241079,-0.51878,0.088632,1.22,field,9.5
CamB,SPARC,-11.699699,-11.206052,-0.423503,0.077553,1.47,field,9.5
CamB,SPARC,-11.89724,-11.135815,-0.248907,0.06482,1.79,field,9.5
D564-8,SPARC,-11.99048,-11.334008,-0.398246,0.155614,0.51,field,10.0
D564-8,SPARC,-11.942757,-11.14,-0.229213,0.081107,1.02,field,10.0
D564-8,SPARC,-11.988676,-11.080715,-0.145895,0.078963,1.53,field,10.0
D564-8,SPARC,-12.060871,-11.118096,-0.145601,0.072184,2.04,field,10.0
D564-8,SPARC,-12.146489,-11.137171,-0.120156,0.068401,2.56,field,10.0
D564-8,SPARC,-12.232874,-11.180612,-0.118839,0.071224,3.07,field,10.0
D631-7,SPARC,-11.236555,-11.292974,-0.761154,0.163183,0.45,field,10.0
D631-7,SPARC,-11.128451,-10.942756,-0.471068,0.10833,0.9,field,10.0
D631-7,SPARC,-11.111848,-10.789741,-0.327354,0.078507,1.35,field,10.0
D631-7,SPARC,-11.146815,-10.764709,-0.282754,0.062403,1.8,field,10.0
D631-7,SPARC,-11.202358,-10.760877,-0.248,0.045557,2.25,field,10.0
D631-7,SPARC,-11.25638,-10.741443,-0.198671,0.040519,2.69,field,10.0
D631-7,SPARC,-11.323648,-10.729505,-0.149742,0.032087,3.14,field,10.0
D631-7,SPARC,-11.38988,-10.726518,-0.11057,0.030286,3.59,field,10.0
D631-7,SPARC,-11.453302,-10.718895,-0.068502,0.032572,4.04,field,10.0
D631-7,SPARC,-11.521458,-10.712941,-0.025739,0.032027,4.49,field,10.0
D631-7,SPARC,-11.585003,-10.70552,0.015819,0.034712,4.94,field,10.0
D631-7,SPARC,-11.650458,-10.71531,0.041022,0.041895,5.39,field,10.0
D631-7,SPARC,-11.713486,-10.722941,0.066934,0.048635,5.84,field,10.0
D631-7,SPARC,-11.775113,-10.753693,0.068846,0.058648,6.29,field,10.0
D631-7,SPARC,-11.834822,-10.795662,0.058404,0.061268,6.74,field,10.0
D631-7,SPARC,-11.893472,-10.829773,0.055155,0.059725,7.19,field,10.0
DDO064,SPARC,-12.538629,-11.170133,0.048972,0.637978,0.189706,field,10.0
DDO064,SPARC,-12.660932,-10.958526,0.32312,0.288696,0.569118,field,10.0
DDO064,SPARC,-12.22815,-11.071381,-0.012052,0.257236,0.929559,field,10.0
DDO064,SPARC,-11.920358,-11.076648,-0.177605,0.218091,1.308971,field,10.0
DDO064,SPARC,-12.015835,-11.012459,-0.063452,0.17835,1.688382,field,10.0
DDO064,SPARC,-11.813881,-10.958369,-0.115348,0.151429,2.067794,field,10.0
DDO064,SPARC,-11.534096,-10.782475,-0.08847,0.113679,2.447206,field,10.0
DDO064,SPARC,-11.318894,-10.722786,-0.145629,0.099083,2.807647,field,10.0
