galaxy,source,log_gbar,log_gobs,log_res,sigma_log_gobs,R_kpc,env_dense,logMh
LSBCF563-1,deBlok2002,-11.676624,-10.847933,-0.077658,1.278259,0.55,field,11.0
LSBCF563-1,deBlok2002,-11.453125,-10.370787,0.279511,0.177011,1.64,field,11.0
LSBCF563-1,deBlok2002,-11.499068,-10.154794,0.520339,0.125651,2.73,field,11.0
LSBCF563-1,deBlok2002,-11.452464,-10.476129,0.173811,0.234386,8.52,field,11.0
LSBCF563-1,deBlok2002,-11.438901,-10.479784,0.162806,0.098363,9.28,field,11.0
LSBCF563-1,deBlok2002,-11.432963,-10.49351,0.145859,0.069738,10.92,field,11.0
LSBCF563-1,deBlok2002,-11.583121,-10.551779,0.168551,0.040022,14.2,field,11.0
LSBCF563-1,deBlok2002,-11.621542,-10.617324,0.123569,0.058693,17.48,field,11.0
DDO185,deBlok2002,-12.680709,-11.948203,-0.656461,2.260558,0.07,field,11.0
DDO185,deBlok2002,-12.460053,-11.458504,-0.279687,0.725611,0.22,field,11.0
DDO185,deBlok2002,-11.825932,-11.239514,-0.390135,0.43483,0.37,field,11.0
DDO185,deBlok2002,-11.314055,-10.850529,-0.276026,0.135321,1.56,field,11.0
DDO185,deBlok2002,-11.272989,-10.717769,-0.16584,0.11093,1.71,field,11.0
DDO185,deBlok2002,-11.271482,-10.608953,-0.057855,0.116259,1.86,field,11.0
DDO185,deBlok2002,-11.341688,-10.53381,0.055832,0.098736,2.0,field,11.0
DDO185,deBlok2002,-11.417029,-10.430129,0.200589,0.085039,2.15,field,11.0
DDO189,deBlok2002,-12.077829,-10.534129,0.447197,0.34411,0.46,field,11.0
DDO189,deBlok2002,-11.894646,-10.488641,0.396904,0.289633,0.79,field,11.0
DDO189,deBlok2002,-11.727971,-10.446881,0.350683,0.145618,1.38,field,11.0
DDO189,deBlok2002,-11.757617,-10.437953,0.375325,0.578438,1.93,field,11.0
DDO189,deBlok2002,-11.425129,-10.445739,0.189377,0.161022,3.03,field,11.0
DDO189,deBlok2002,-11.294681,-10.481882,0.081982,0.201783,3.58,field,11.0
DDO189,deBlok2002,-11.293027,-10.554042,0.008913,0.07973,4.57,field,11.0
DDO189,deBlok2002,-11.387875,-10.596451,0.018405,0.076523,5.47,field,11.0
DDO189,deBlok2002,-11.373649,-10.6608,-0.053698,0.076185,6.4,field,11.0
DDO189,deBlok2002,-11.450662,-10.723853,-0.074889,0.076758,7.29,field,11.0
DDO189,deBlok2002,-11.51327,-10.788576,-0.105785,0.077736,8.25,field,11.0
DDO47,deBlok2002,-11.665358,-10.869287,-0.105012,0.654921,0.27,field,11.0
DDO47,deBlok2002,-11.682831,-10.519961,0.253618,0.250486,0.93,field,11.0
DDO47,deBlok2002,-11.643723,-10.478218,0.274521,0.191004,1.29,field,11.0
DDO47,deBlok2002,-11.599421,-10.509319,0.219742,0.157424,2.04,field,11.0
DDO47,deBlok2002,-11.601977,-10.485943,0.244487,0.143391,2.33,field,11.0
DDO47,deBlok2002,-11.550144,-10.428194,0.274439,0.126524,2.62,field,11.0
DDO47,deBlok2002,-11.459056,-10.381164,0.272345,0.113727,2.91,field,11.0
DDO47,deBlok2002,-11.407157,-10.342873,0.282479,0.103774,3.2,field,11.0
