galaxy,log_gbar,log_gobs,log_res,sigma_log_gobs,gas_dominated,R_kpc,env_dense
WALLABY J101655-485238,-11.938410,-11.400340,-0.491831,4.634791,1,5.092,field
WALLABY J101655-485238,-11.888017,-10.508503,0.373559,0.727841,1,8.484,field
WALLABY J101655-485238,-11.865351,-10.141256,0.728888,0.095561,1,11.876,field
WALLABY J101655-485238,-11.832207,-10.142033,0.710655,0.044773,1,15.266,field
WALLABY J101655-485238,-11.781334,-10.149955,0.675873,0.015487,1,18.658,field
WALLABY J101655-485238,-11.741141,-10.189577,0.614971,0.023610,1,22.051,field
WALLABY J101655-485238,-11.721499,-10.237345,0.556784,0.028926,1,25.443,field
WALLABY J101655-485238,-11.715206,-10.290886,0.499903,0.017909,1,28.835,field
WALLABY J101655-485238,-11.721016,-10.346136,0.447737,0.015181,1,32.227,field
WALLABY J101655-485238,-11.736214,-10.438114,0.363822,0.040349,1,35.620,field
WALLABY J101655-485238,-11.753248,-10.534547,0.276418,0.058369,1,39.012,field
WALLABY J101655-485238,-11.767589,-10.593736,0.224821,0.081341,1,42.402,field
WALLABY J101655-485238,-11.783531,-10.624785,0.202205,0.095825,1,45.794,field
WALLABY J101655-485238,-11.806579,-10.642638,0.196529,0.088307,1,49.186,field
WALLABY J101457-433710,-11.737588,-9.782995,1.019669,0.176829,1,5.517,field
WALLABY J101457-433710,-11.720325,-9.777041,1.016465,0.074610,1,9.192,field
WALLABY J101457-433710,-11.734089,-10.111272,0.689537,0.074819,1,12.867,field
WALLABY J101457-433710,-11.765802,-10.184411,0.633200,0.006656,1,16.540,field
WALLABY J101457-433710,-11.801792,-10.244871,0.591769,0.041493,1,20.215,field
WALLABY J101457-433710,-11.838347,-10.337944,0.517980,0.036349,1,23.891,field
WALLABY J101457-433710,-11.882357,-10.631902,0.247185,0.208363,1,27.566,field
WALLABY J101457-433710,-11.925650,-10.664945,0.236874,0.181056,1,31.241,field
WALLABY J101457-433710,-11.966761,-10.680200,0.243157,0.144186,1,34.916,field
WALLABY J101457-433710,-12.005366,-10.691270,0.252271,0.108783,1,38.592,field
