galaxy,log_gbar,log_gobs,log_res,sigma_log_gobs,gas_dominated,R_kpc,env_dense
WALLABY J101655-485238,-11.938410,-11.324268,-0.415759,4.634791,1,4.274,field
WALLABY J101655-485238,-11.888017,-10.432431,0.449631,0.727841,1,7.121,field
WALLABY J101655-485238,-11.865351,-10.065184,0.804960,0.095561,1,9.968,field
WALLABY J101655-485238,-11.832207,-10.065961,0.786727,0.044773,1,12.813,field
WALLABY J101655-485238,-11.781334,-10.073883,0.751945,0.015487,1,15.660,field
WALLABY J101655-485238,-11.741141,-10.113506,0.691043,0.023610,1,18.508,field
WALLABY J101655-485238,-11.721499,-10.161273,0.632856,0.028926,1,21.355,field
WALLABY J101655-485238,-11.715206,-10.214814,0.575975,0.017909,1,24.202,field
WALLABY J101655-485238,-11.721016,-10.270064,0.523809,0.015181,1,27.049,field
WALLABY J101655-485238,-11.736214,-10.362042,0.439894,0.040349,1,29.896,field
WALLABY J101655-485238,-11.753248,-10.458475,0.352489,0.058369,1,32.743,field
WALLABY J101655-485238,-11.767589,-10.517664,0.300893,0.081341,1,35.589,field
WALLABY J101655-485238,-11.783531,-10.548713,0.278277,0.095825,1,38.436,field
WALLABY J101655-485238,-11.806579,-10.566566,0.272601,0.088307,1,41.283,field
WALLABY J101457-433710,-11.737588,-9.715546,1.087119,0.176829,1,4.723,field
WALLABY J101457-433710,-11.720325,-9.709591,1.083915,0.074610,1,7.870,field
WALLABY J101457-433710,-11.734089,-10.043823,0.756986,0.074819,1,11.016,field
WALLABY J101457-433710,-11.765802,-10.116962,0.700650,0.006656,1,14.161,field
WALLABY J101457-433710,-11.801792,-10.177421,0.659218,0.041493,1,17.307,field
WALLABY J101457-433710,-11.838347,-10.270494,0.585430,0.036349,1,20.454,field
WALLABY J101457-433710,-11.882357,-10.564453,0.314635,0.208363,1,23.600,field
WALLABY J101457-433710,-11.925650,-10.597496,0.304323,0.181056,1,26.747,field
WALLABY J101457-433710,-11.966761,-10.612751,0.310606,0.144186,1,29.894,field
WALLABY J101457-433710,-12.005366,-10.623820,0.319721,0.108783,1,33.040,field
WALLABY J101457-433710,-12.042158,-10.640208,0.322534,0.084197,1,36.187,field
WALLABY J101457-433710,-12.080178,-10.661851,0.320697,0.068910,1,39.331,field
WALLABY J101457-433710,-12.115090,-10.684130,0.316577,0.057484,1,42.478,field
WALLABY J101457-433710,-12.149567,-10.702080,0.316533,0.043118,1,45.625,field
WALLABY J101457-433710,-12.185174,-10.715597,0.321480,0.026027,1,48.771,field
WALLABY J101457-433710,-12.219551,-10.728075,0.326805,0.010036,1,51.918,field
WALLABY J101219-471739,-11.686756,-9.963686,0.811981,0.317979,1,3.942,field
WALLABY J101219-471739,-11.657073,-9.979895,0.779964,0.097768,1,6.568,field
WALLABY J101219-471739,-11.660197,-10.043025,0.718499,0.022216,1,9.195,field
WALLABY J101219-471739,-11.678777,-10.135441,0.635980,0.020200,1,11.819,field
WALLABY J101219-471739,-11.706296,-10.201059,0.584996,0.010890,1,14.446,field
WALLABY J101219-471739,-11.741153,-10.262784,0.541771,0.006658,1,17.072,field
WALLABY J101219-471739,-11.783311,-10.327493,0.499380,0.009759,1,19.698,field
WALLABY J101219-471739,-11.831160,-10.384936,0.467199,0.007217,1,22.325,field
WALLABY J101219-471739,-11.883860,-10.436855,0.443022,0.001035,1,24.951,field
WALLABY J101219-471739,-11.938893,-10.500215,0.408546,0.001059,1,27.577,field
WALLABY J100656-450242,-11.516816,-9.880352,0.804350,0.004423,1,6.072,field
WALLABY J100656-450242,-11.515020,-9.976684,0.707050,0.013878,1,10.118,field
WALLABY J100656-450242,-11.556048,-10.114665,0.591140,0.016594,1,14.163,field
WALLABY J100656-450242,-11.617843,-10.234691,0.504225,0.002401,1,18.206,field
WALLABY J100656-450242,-11.693600,-10.337826,0.441481,0.003913,1,22.251,field
WALLABY J100656-450242,-11.780739,-10.399197,0.426317,0.020761,1,26.297,field
WALLABY J100916-431959,-11.826698,-10.390476,0.459307,0.000916,1,7.157,field
WALLABY J100916-431959,-11.804506,-10.550330,0.287743,0.008532,1,11.925,field
WALLABY J100916-431959,-11.815811,-10.627541,0.216499,0.038621,1,16.694,field
WALLABY J100916-431959,-11.841778,-10.677192,0.180540,0.047110,1,21.459,field
WALLABY J100916-431959,-11.875919,-10.749015,0.126688,0.003616,1,26.227,field
WALLABY J100916-431959,-11.914024,-10.821561,0.074159,0.057134,1,30.995,field
WALLABY J100916-431959,-11.955459,-10.887330,0.030111,0.069720,1,35.763,field
WALLABY J100916-431959,-12.006841,-10.935895,0.008417,0.052664,1,40.532,field
WALLABY J094524-480828,-11.785081,-10.950643,-0.122833,0.183280,1,1.375,field
WALLABY J094524-480828,-11.789595,-11.060385,-0.230189,0.073550,1,2.291,field
WALLABY J094524-480828,-11.825502,-11.076582,-0.227429,0.033175,1,3.206,field
WALLABY J094524-480828,-11.874334,-11.091409,-0.216540,0.008118,1,4.122,field
WALLABY J094524-480828,-11.934861,-11.126055,-0.219406,0.025472,1,5.037,field
WALLABY J094524-480828,-12.003618,-11.171025,-0.228397,0.059222,1,5.953,field
WALLABY J094524-480828,-12.077350,-11.213650,-0.232573,0.079621,1,6.869,field
WALLABY J094524-480828,-12.154954,-11.256025,-0.234616,0.090428,1,7.785,field
WALLABY J101330-434301,-11.914907,-9.748397,1.147786,0.128664,1,7.104,field
WALLABY J101330-434301,-11.893040,-9.938228,0.946474,0.002963,1,11.837,field
WALLABY J101330-434301,-11.912696,-10.029361,0.865663,0.014304,1,16.569,field
WALLABY J101330-434301,-11.955692,-10.133263,0.784299,0.010270,1,21.299,field
WALLABY J101330-434301,-12.017173,-10.236755,0.712951,0.004025,1,26.032,field
WALLABY J101330-434301,-12.088360,-10.281964,0.704843,0.003510,1,30.765,field
WALLABY J100239-452950,-11.590357,-9.948099,0.776108,0.022675,1,5.469,field
WALLABY J100239-452950,-11.600578,-10.095621,0.634060,0.023710,1,9.112,field
WALLABY J100239-452950,-11.655267,-10.268120,0.490776,0.000596,1,12.755,field
WALLABY J100239-452950,-11.731181,-10.430650,0.368617,0.012680,1,16.396,field
WALLABY J100239-452950,-11.824235,-10.540273,0.308211,0.007157,1,20.039,field
WALLABY J100239-452950,-11.931104,-10.658229,0.246450,0.050731,1,23.683,field
WALLABY J101331-434904,-11.704337,-9.794740,0.990275,0.085316,1,6.560,field
WALLABY J101331-434904,-11.693353,-10.053398,0.725778,0.000000,1,10.930,field
WALLABY J101331-434904,-11.719417,-10.175175,0.617849,0.008803,1,15.301,field
WALLABY J101331-434904,-11.774689,-10.306519,0.515794,0.002509,1,19.668,field
WALLABY J101331-434904,-11.861350,-10.408339,0.459700,0.014800,1,24.038,field
WALLABY J101331-434904,-11.963131,-10.977358,-0.055901,0.744763,1,28.409,field
WALLABY J094944-471059,-12.023080,-10.102998,0.849791,0.082839,1,8.354,field
WALLABY J094944-471059,-11.918944,-10.349444,0.548858,0.000627,1,13.919,field
WALLABY J094944-471059,-11.859640,-10.479379,0.387759,0.011073,1,19.485,field
WALLABY J094944-471059,-11.848207,-10.631949,0.229170,0.010995,1,25.047,field
WALLABY J094944-471059,-11.886378,-10.741366,0.139835,0.005972,1,30.612,field
WALLABY J094944-471059,-11.965030,-10.788412,0.134039,0.043172,1,36.177,field
WALLABY J100123-434533,-11.707898,-10.166276,0.620631,0.070099,1,5.523,field
WALLABY J100123-434533,-11.703054,-10.447187,0.337146,0.032777,1,9.202,field
WALLABY J100123-434533,-11.737057,-10.600193,0.202190,0.020867,1,12.882,field
