galaxy,logMh,env_dense,log_Rext,log_npoints,sigma_D_dex,Inc,mean_log_gbar,T2_scatter_transition,T2_scatter_transition_resid,T3_acf_lag1,T3_acf_lag1_resid,T5_xi_coherence_ratio,T5_xi_coherence_ratio_resid,T4_abs_scatter_raw,T4_abs_scatter_resid
004-005,11.0,field,1.027035905343123,0.6989700043360189,0.1,60.0,-11.022339,,,,,1.5904945400763577,0.08375101354383618,0.1860846,0.12239686381716988
005-019,11.0,field,1.2399030667493993,0.9030899869919435,0.1,60.0,-11.103888,,,0.15886564702802392,-0.49527253753990025,1.386300998356091,-0.18064276380556077,0.328465,0.18232506075606292
006-026,11.0,field,1.0067686593010512,0.6989700043360189,0.1,60.0,-10.828681,,,,,1.2240682016055278,-0.14241632986645847,0.2875198,0.1645700999803285
006-036,11.0,field,1.0666447631102072,0.6989700043360189,0.1,60.0,-11.394378,,,,,1.6841337268057865,-0.09172468108937859,0.305858,0.21585035146853482
008-082,11.0,field,0.9727215520603766,0.6989700043360189,0.1,60.0,-12.419513,,,,,2.6149516343892265,-0.004568483134147705,0.4008222,0.3370469261076151
009-016,11.0,field,0.9183470254789713,0.6989700043360189,0.1,60.0,-11.932306,,,,,2.0523708703761416,-0.21598700992038555,0.3730072,0.2445538208625723
009-018,11.0,field,1.2495173671240811,0.9030899869919435,0.1,60.0,-10.251549,,,0.9968683389206018,0.44637839384428146,1.5401580502732144,0.6402289433251642,0.045985125,0.07288665144175467
009-091,11.0,field,1.448905771364554,1.146128035678238,0.1,60.0,-11.170458,,,0.8627036430588395,0.11738076366507344,1.2995100687073073,-0.33775116010812556,0.3825470714285714,0.23569580004633753
011-059,11.0,field,1.4161097281863189,1.1139433523068367,0.1,60.0,-10.985994,,,0.29029454387645787,-0.42029934524686646,1.166011730285382,-0.3280513181749014,0.4188586923076923,0.2903446069555802
012-002,11.0,field,1.2794966599331838,0.9542425094393249,0.1,60.0,-10.959115,,,0.9993790822206643,0.3464856173621923,1.2350832475404352,-0.22551218579139198,0.32714744444444444,0.19413686402722666
012-046,11.0,field,1.136146856265199,0.7781512503836436,0.1,60.0,-10.979406,,,-0.30020810264755216,-0.8969811157553417,1.1168501614861082,-0.34196870728994977,0.39703666666666665,0.26957645872486674
012-079,11.0,field,1.0598607718312485,0.6989700043360189,0.1,60.0,-11.484732,,,,,1.826611726556542,-0.022854341774179998,0.2487308,0.15696915146853482
012-097,11.0,field,1.3454529355124856,1.0413926851582251,0.1,60.0,-10.67417,0.12052312006458055,0.04779609449993723,0.9982092838207802,0.3524450390295851,1.1075485457067913,-0.14286470108125116,0.2829970909090909,0.181068334610676
012-100,11.0,field,1.3080222635961243,1.0,0.1,60.0,-10.619462,0.02007314034096047,-0.05275414347982586,0.793805753389762,0.1692690903522145,1.0384642160330568,-0.16720156367631334,0.26052369999999997,0.20200514368770758
013-121,11.0,field,1.263905886349964,0.9542425094393249,0.1,60.0,-11.225751,,,0.4747059793865033,-0.20831808224926218,1.369610420968482,-0.30597484499407446,0.3450608888888889,0.19799885242864113
015-002,11.0,field,1.105602211386957,0.7781512503836436,0.1,60.0,-11.171494,,,0.9965218183963449,0.3815624972886301,1.43581248199894,-0.1876010560896193,0.29574799999999996,0.179024534950851
015-003,11.0,field,1.003319277264177,0.6989700043360189,0.1,60.0,-11.375196,,,,,1.4723351855685494,-0.3204697991213876,0.3903646,0.24300749243053282
015-022,11.0,field,1.3099668067447479,1.0,0.1,60.0,-11.42348,,,0.9335654270301106,0.20924908713111445,1.6018930210314413,-0.2274335752995098,0.3583401,0.2222657219495338
015-044,11.0,field,1.0534769275753748,0.6989700043360189,0.1,60.0,-11.218837,,,,,1.3936679381124182,-0.2524359222429924,0.35613459999999997,0.20877749243053279
016-013,11.0,field,1.3426440948165792,1.0413926851582251,0.1,60.0,-11.29424,,,-0.046249183555498674,-0.7681796078224802,1.393322215607704,-0.3402339551651594,0.42728254545454547,0.2796840160684442
018-004,11.0,field,1.4061926228448258,1.0791812460476249,0.1,60.0,-11.516502,,,0.5695765749185565,-0.1983965351276339,1.5029421736734299,-0.3905632022376795,0.44368475,0.2951473579936551
018-042,11.0,field,1.1580998153082633,0.8450980400142568,0.1,60.0,-11.382516,,,-0.07013461888221947,-0.7331141695726396,1.3525920142413204,-0.4424390211561333,0.43259057142857144,0.2851070048122959
019-007,11.0,field,1.1352324162903171,0.7781512503836436,0.1,60.0,-10.586231,,,0.3032292451899164,-0.24475688707246895,0.9850432684573156,-0.16877921019924824,0.3468603333333333,0.2578661046553807
022-042,11.0,field,1.4523069545786245,1.146128035678238,0.1,60.0,-11.160995,,,0.8134131144411592,0.06864049907447756,1.187905966034177,-0.44029289502653257,0.48074314285714287,0.33420801909192976
023-031,11.0,field,1.5140631843172325,1.2041199826559248,0.1,60.0,-10.815342,,,0.7500206420013322,0.026031714347928725,0.9602406381248276,-0.3978819351272398,0.450048,0.33275754520394835
045-042,11.0,field,1.046436630136641,0.6989700043360189,0.1,60.0,-10.828216,,,,,1.4372532154830777,0.09108060434545928,0.2017036,0.11137088292269066
088-049,11.0,field,1.2873022952354904,0.9542425094393249,0.1,60.0,-10.618255,0.08458195194688214,0.011593316922295566,0.07773128701946835,-0.5344340060704724,0.8899076202219608,-0.3019490792671998,0.40020866666666666,0.30492638774024755
092-049,11.0,field,0.763879724322537,0.6989700043360189,0.1,60.0,-10.93462,,,,,1.3167870475773142,-0.2541600199259759,0.2581794,0.1435568105570304
098-095,11.0,field,1.1990850409147136,0.8450980400142568,0.1,60.0,-9.580266,,,0.9987842563025102,0.5512013954352821,,,0.205764,0.08313420416310192
100917,11.0,field,1.0610463822773373,0.6989700043360189,0.1,60.0,-11.462016,,,,,1.9107461693211352,0.07952437548611213,0.21682360000000003,0.1268159514685348
10121/108-036,14.5,dense,0.9647094413159756,0.0,0.1,60.0,-10.817074,,,,,,,0.300697,0.15511031908584932
1013/N536,13.5,dense,1.0565536927959753,0.0,0.1,60.0,-9.742939,,,,,,,0.125331,0.0027012041631019335
10131/F1975,14.5,dense,0.9813030350867202,0.0,0.1,60.0,-10.133716,,,,,,,0.075034,0.10743577644175467
10165/N6040B,14.5,dense,1.0418408825991332,0.0,0.1,60.0,-10.58568,,,,,,,0.394385,0.3619832235582453
10166/223-033,14.8,dense,0.9647094413159756,0.0,0.1,60.0,-10.061351,,,,,,,0.173774,0.20617577644175467
10177/N6045,14.5,dense,1.0683602868908875,0.0,0.1,60.0,-10.341178,,,,,,,0.321801,0.2893992235582453
10180/I1173,14.5,dense,0.9710040048322893,0.0,0.1,60.0,-10.79819,,,,,,,0.30854,0.1629533190858493
10190,14.5,dense,0.9039365784123488,0.0,0.1,60.0,-10.390328,,,,,,,0.140263,0.17266477644175465
10192/260184,14.5,dense,0.9917003498262374,0.0,0.1,60.0,-10.736101,,,,,,,0.334093,0.1885063190858493
10193/108-132N,14.2,dense,1.0544515619657782,0.0,0.1,60.0,-10.547848,,,,,,,0.40916,0.37675822355824534
10195/I1190,14.5,dense,1.063552402829455,0.0,0.1,60.0,-9.892536,,,,,,,0.004851,0.027550776441754667
10287/079-083,14.2,dense,0.9263924596506014,0.0,0.1,60.0,-10.235221,,,,,,,0.172559,0.20496077644175464
1033/502-086,13.5,dense,0.9601921308255548,0.0,0.1,60.0,-10.100139,,,,,,,0.160972,0.19337377644175469
10362/224-008,14.8,dense,1.0105946594542567,0.0,0.1,60.0,-9.969453,,,,,,,0.099637,0.13203877644175466
10389,14.8,dense,0.9627849606698452,0.0,0.1,60.0,-10.254211,,,,,,,0.050989,0.08339077644175466
10415/224-046,14.3,dense,0.5986402827181767,0.0,0.1,60.0,-11.112562,,,,,,,0.628585,0.7741716809141506
10417,14.3,dense,0.995613040627117,0.0,0.1,60.0,-10.218518,,,,,,,0.024157,0.008244776441754666
10420/224-048,14.8,dense,0.9240945682263103,0.0,0.1,60.0,-10.472945,,,,,,,0.028063,0.06046477644175467
10423/M+734088,14.3,dense,0.9582269712964946,0.0,0.1,60.0,-10.037919,,,,,,,0.209272,0.2416737764417547
10427/224-054,14.3,dense,0.6712113626495062,0.0,0.1,60.0,-11.697568,,,,,,,0.092242,0.24225474755244197
10432,14.3,dense,0.9324037950117415,0.0,0.1,60.0,-10.172868,,,,,,,0.195612,0.2280137764417547
1045/502-087,13.5,dense,0.9217721296725588,0.0,0.1,60.0,-10.945886,,,,,,,0.246367,0.10078031908584933
10450,14.8,dense,0.9368055867994846,0.0,0.1,60.0,-10.244194,,,,,,,0.135457,0.16785877644175468
10459/F2048,14.3,dense,1.0241237553875309,0.0,0.1,60.0,-9.890469,,,,,,,0.114912,0.14731377644175467
10469/N6195,14.8,dense,1.0377734761324215,0.0,0.1,60.0,-9.799279,,,,,,,0.140004,0.017374204163101925
10485,14.8,dense,1.01921070286949,0.0,0.1,60.0,-10.099174,,,,,,,0.015432,0.016969776441754666
10488/224-080,14.8,dense,1.051473974389788,0.0,0.1,60.0,-9.741472,,,,,,,0.141664,0.019034204163101948
10504/197-003,11.0,field,1.0488888811310468,0.0,0.1,60.0,-9.78595,,,,,,,0.116455,0.0061747958368980616
1054/F170,13.5,dense,0.765739466353143,0.0,0.1,60.0,-11.413984,,,,,,,0.038987,0.11102574755244199
