SubhaloID,dataset,selected_by
0,dev_clean_3000,quality_cut_bins8_dm10_OR_base
17185,dev_clean_3000,quality_cut_bins8_dm10_OR_base
31342,dev_clean_3000,quality_cut_bins8_dm10_OR_base
41582,dev_clean_3000,quality_cut_bins8_dm10_OR_base
52618,dev_clean_3000,quality_cut_bins8_dm10_OR_base
60731,dev_clean_3000,quality_cut_bins8_dm10_OR_base
69507,dev_clean_3000,quality_cut_bins8_dm10_OR_base
76086,dev_clean_3000,quality_cut_bins8_dm10_OR_base
83280,dev_clean_3000,quality_cut_bins8_dm10_OR_base
88663,dev_clean_3000,quality_cut_bins8_dm10_OR_base
96500,dev_clean_3000,quality_cut_bins8_dm10_OR_base
102683,dev_clean_3000,quality_cut_bins8_dm10_OR_base
108012,dev_clean_3000,quality_cut_bins8_dm10_OR_base
114388,dev_clean_3000,quality_cut_bins8_dm10_OR_base
118679,dev_clean_3000,quality_cut_bins8_dm10_OR_base
121863,dev_clean_3000,quality_cut_bins8_dm10_OR_base
125027,dev_clean_3000,quality_cut_bins8_dm10_OR_base
128393,dev_clean_3000,quality_cut_bins8_dm10_OR_base
131047,dev_clean_3000,quality_cut_bins8_dm10_OR_base
134847,dev_clean_3000,quality_cut_bins8_dm10_OR_base
137885,dev_clean_3000,quality_cut_bins8_dm10_OR_base
140721,dev_clean_3000,quality_cut_bins8_dm10_OR_base
143884,dev_clean_3000,quality_cut_bins8_dm10_OR_base
146176,dev_clean_3000,quality_cut_bins8_dm10_OR_base
149169,dev_clean_3000,quality_cut_bins8_dm10_OR_base
152031,dev_clean_3000,quality_cut_bins8_dm10_OR_base
154493,dev_clean_3000,quality_cut_bins8_dm10_OR_base
156809,dev_clean_3000,quality_cut_bins8_dm10_OR_base
158847,dev_clean_3000,quality_cut_bins8_dm10_OR_base
161162,dev_clean_3000,quality_cut_bins8_dm10_OR_base
163675,dev_clean_3000,quality_cut_bins8_dm10_OR_base
165727,dev_clean_3000,quality_cut_bins8_dm10_OR_base
168390,dev_clean_3000,quality_cut_bins8_dm10_OR_base
170540,dev_clean_3000,quality_cut_bins8_dm10_OR_base
172649,dev_clean_3000,quality_cut_bins8_dm10_OR_base
175238,dev_clean_3000,quality_cut_bins8_dm10_OR_base
177719,dev_clean_3000,quality_cut_bins8_dm10_OR_base
179886,dev_clean_3000,quality_cut_bins8_dm10_OR_base
181983,dev_clean_3000,quality_cut_bins8_dm10_OR_base
184828,dev_clean_3000,quality_cut_bins8_dm10_OR_base
186927,dev_clean_3000,quality_cut_bins8_dm10_OR_base
