sparc_galaxy,analog_rank,tng_subfind_id,match_distance,tng_log_Mstar,tng_log_Rhalf
D631-7,1,294090,0.9574,8.000,0.398
D631-7,2,641276,0.9574,8.000,0.398
D631-7,3,1023054,0.9574,8.000,0.398
D631-7,4,431756,0.9574,8.000,0.398
D631-7,5,700923,0.9574,8.000,0.398
DDO064,1,294090,0.9803,8.000,0.398
DDO064,2,641276,0.9803,8.000,0.398
DDO064,3,1023054,0.9803,8.000,0.398
DDO064,4,431756,0.9803,8.000,0.398
DDO064,5,700923,0.9803,8.000,0.398
DDO154,1,294090,1.8419,8.000,0.398
DDO154,2,641276,1.8419,8.000,0.398
DDO154,3,1023054,1.8420,8.000,0.398
DDO154,4,431756,1.8420,8.000,0.398
DDO154,5,700923,1.8420,8.000,0.398
DDO161,1,732903,0.2533,8.438,0.398
DDO161,2,698028,0.2533,8.438,0.398
DDO161,3,644682,0.2533,8.438,0.398
DDO161,4,714822,0.2533,8.438,0.398
DDO161,5,177796,0.2533,8.438,0.398
DDO168,1,294090,0.4805,8.000,0.398
DDO168,2,641276,0.4805,8.000,0.398
DDO168,3,1023054,0.4805,8.000,0.398
DDO168,4,431756,0.4805,8.000,0.398
DDO168,5,700923,0.4805,8.000,0.398
ESO079-G014,1,531225,0.0291,10.382,0.933
ESO079-G014,2,329106,0.0386,10.427,0.918
ESO079-G014,3,510778,0.0547,10.395,0.949
ESO079-G014,4,444834,0.0565,10.404,0.950
ESO079-G014,5,474321,0.0659,10.462,0.914
ESO116-G012,1,400091,0.0170,9.332,0.398
ESO116-G012,2,242229,0.0170,9.332,0.398
ESO116-G012,3,644886,0.0170,9.332,0.398
ESO116-G012,4,593271,0.0170,9.332,0.398
ESO116-G012,5,254132,0.0170,9.332,0.398
ESO563-G021,1,381608,0.0105,11.182,0.959
ESO563-G021,2,152035,0.0161,11.175,0.959
ESO563-G021,3,96501,0.0228,11.168,0.959
ESO563-G021,4,393731,0.0252,11.216,0.965
ESO563-G021,5,3,0.0291,11.223,0.959
F568-3,1,417720,0.0124,9.632,0.925
F568-3,2,60776,0.0370,9.581,0.926
F568-3,3,583981,0.0375,9.662,0.922
F568-3,4,574982,0.0421,9.628,0.909
F568-3,5,602148,0.0566,9.602,0.904
F568-V1,1,640639,0.0580,9.269,0.699
F568-V1,2,635912,0.0645,9.293,0.701
F568-V1,3,622013,0.0679,9.257,0.702
F568-V1,4,635643,0.0712,9.244,0.701
F568-V1,5,619188,0.0726,9.292,0.704
F571-8,1,523198,0.0074,9.713,0.775
F571-8,2,558183,0.0104,9.717,0.777
F571-8,3,621300,0.0125,9.716,0.779
F571-8,4,556845,0.0176,9.693,0.772
F571-8,5,583208,0.0177,9.692,0.772
F574-1,1,573438,0.0121,9.527,0.873
F574-1,2,587808,0.0351,9.550,0.879
F574-1,3,589000,0.0470,9.471,0.883
F574-1,4,579427,0.0470,9.537,0.860
F574-1,5,596734,0.0525,9.561,0.885
F583-1,1,706637,0.3038,8.703,0.702
F583-1,2,795767,0.3064,8.645,0.702
F583-1,3,31669,0.3070,8.649,0.702
F583-1,4,69623,0.3093,8.624,0.701
F583-1,5,182037,0.3113,8.636,0.703
F583-4,1,664701,0.3280,8.933,0.398
F583-4,2,651787,0.3280,8.933,0.398
F583-4,3,510568,0.3280,8.933,0.398
F583-4,4,631326,0.3280,8.933,0.398
F583-4,5,154550,0.3280,8.933,0.398
IC2574,1,706637,0.0962,8.703,0.702
IC2574,2,102941,0.1058,8.721,0.705
IC2574,3,862851,0.1089,8.745,0.704
IC2574,4,505682,0.1093,8.725,0.706
IC2574,5,31669,0.1099,8.649,0.702
KK98-251,1,294090,0.3643,8.000,0.398
KK98-251,2,641276,0.3643,8.000,0.398
KK98-251,3,1023054,0.3643,8.000,0.398
KK98-251,4,431756,0.3643,8.000,0.398
KK98-251,5,700923,0.3644,8.000,0.398
NGC0024,1,647271,0.1344,9.289,0.398
NGC0024,2,421572,0.1344,9.289,0.398
NGC0024,3,204260,0.1344,9.289,0.398
NGC0024,4,634368,0.1344,9.289,0.398
NGC0024,5,399522,0.1344,9.289,0.398
NGC0055,1,637203,0.0678,9.423,1.025
NGC0055,2,597479,0.0905,9.426,0.986
NGC0055,3,610933,0.1153,9.292,0.978
