dataset_id,dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,10,0.0,2665,75,53,0.0329730089276895,2665,75,1.0998816675298546e-14,-0.5224415259537211,0.0209319187350102,0.0496459145249872,-0.0287139957899769,0.4216241947658161,53,53,0.0071081186413367,-0.3036667853328586,0.0196322777897558,0.0392390663811577,-0.0196067885914019,0.5003247936394092,0.6523507540788996
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,10,1.0,2665,68,51,0.0256862713935743,2665,68,5.384631898893e-10,-0.440205275355921,0.0209319187350102,0.0431086433748838,-0.0221767246398735,0.485561991663271,51,51,0.0099750695491015,-0.2964244521337946,0.0196322777897558,0.0355988413902917,-0.0159665636005359,0.5514864254854597,0.5931702484127503
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,10,0.5,2665,71,52,0.0300745927061579,2665,71,4.869649281199856e-12,-0.4797769732843591,0.0209319187350102,0.0479755767089405,-0.0270436579739303,0.4363036397040217,52,52,0.0131307721371542,-0.2825443786982249,0.0204143204528338,0.0409434032542655,-0.0205290828014316,0.4985985245549194,0.5316665079842547
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,10,2.0,2665,59,47,0.0144286208103422,2665,59,2.288758437043586e-07,-0.3932775781473591,0.0209319187350102,0.0370410791718402,-0.01610916043683,0.5651001321506669,47,47,0.0219486192167455,-0.2747849705749208,0.0196322777897558,0.0329341683922816,-0.0133018906025257,0.5961066803301105,0.4557563726286118
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,10,1.0,2402,63,46,0.0259986124128914,2402,63,1.0586857430650236e-08,-0.4216591993444616,0.0209826554580364,0.0432317690296198,-0.0222491135715833,0.4853526915278529,46,46,0.0346594803761055,-0.2561436672967864,0.0207024208521786,0.0366512417954037,-0.0159488209432251,0.564849097548853,0.3740153356921765
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,10,0.0,2402,69,47,0.0307309504144363,2402,69,3.4720345700671786e-12,-0.490557385753418,0.0209826554580364,0.0478125623822717,-0.0268299069242352,0.4388523520299046,47,47,0.0567022593926446,-0.2286102308736984,0.0217221913118037,0.0392390663811577,-0.017516875069354,0.5535858346067726,0.2849397084555871
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,15,0.0,2242,41,30,0.0203529379231555,2242,41,1.3003194214805686e-08,-0.5174822131807402,0.024835182665222,0.0496459145249872,-0.0248107318597651,0.5002462519392666,30,30,0.0992576082398257,-0.2488888888888889,0.0240941085042172,0.0451198755720976,-0.0210257670678804,0.5340021043656676,0.2496943416143361
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,10,0.5,2402,66,47,0.0307309504144363,2402,66,7.433612241345017e-10,-0.4435949839779981,0.0209826554580364,0.0455666115049044,-0.0245839560468679,0.4604831205361421,47,47,0.0731056690739845,-0.2150294250792214,0.0217221913118037,0.0340634172096497,-0.0123412258978459,0.6376985367648361,0.2442839512486862
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,10,2.0,2402,55,43,0.0153050795435348,2402,55,1.0661782053739255e-06,-0.3842404057225039,0.0209826554580364,0.0384778678881442,-0.0174952124301077,0.5453175191264076,43,43,0.0955264261096155,-0.2093023255813954,0.0217221913118037,0.0340634172096497,-0.0123412258978459,0.6376985367648361,0.2134625169827804
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,20,1.0,1405,21,14,0.0055849564652487,1405,21,0.0625111989333815,-0.2365361803084222,0.0328572046482281,0.0452739423792032,-0.0124167377309751,0.7257420697544812,14,14,0.2063875666745832,-0.2857142857142857,0.0205485592763046,0.0404090405993226,-0.0198604813230179,0.5085139110342828,0.1958047055112345
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,20,0.0,1405,22,14,0.0055849564652487,1405,22,0.0161037837388868,-0.2986735684244581,0.0328572046482281,0.0478940695456061,-0.015036864897378,0.6860391058842997,14,14,0.2063875666745832,-0.2857142857142857,0.0205485592763046,0.0410995567370422,-0.0205509974607375,0.4999703380689909,0.1958047055112345
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,20,0.5,1405,21,14,0.0055849564652487,1405,21,0.022504946734046,-0.289747500423657,0.0328572046482281,0.0479755767089405,-0.0151183720607124,0.6848735732259565,14,14,0.2063875666745832,-0.2857142857142857,0.0205485592763046,0.0410995567370422,-0.0205509974607375,0.4999703380689909,0.1958047055112345
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,15,0.0,1932,37,26,0.022889972718177,1932,37,4.612422801755202e-07,-0.4832410049801354,0.0263925746173586,0.0492328174138532,-0.0228402427964945,0.53607686912373,26,26,0.1560908645456417,-0.2307692307692307,0.0265124940169087,0.0446132623235973,-0.0181007683066885,0.5942738243306063,0.1861436570622478
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,15,0.5,2242,38,27,0.0217871958530652,2242,38,2.2395093560569234e-07,-0.4892013709563829,0.024835182665222,0.0490722614736609,-0.0242370788084389,0.5060941134443556,27,27,0.1717199391043555,-0.2181069958847736,0.0244437483654371,0.0433671523549384,-0.0189234039895012,0.5636466089674812,0.1668909528096836
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,10,0.0,1363,48,28,0.0319631968344209,1363,48,1.2602730202508286e-11,-0.5744986549278552,0.0226259040503558,0.065564835523587,-0.0429389314732311,0.3450920584131737,28,28,0.1712178828697557,-0.2142857142857143,0.024906793346363,0.0412193387380428,-0.0163125453916797,0.6042501919948484,0.1642394737193833
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,15,2.0,1932,28,22,0.0036985551307381,1932,28,0.0115029498783695,-0.2778024253179533,0.0263925746173586,0.038140072776499,-0.0117474981591403,0.691990672697959,22,22,0.2091937467987541,-0.2231404958677686,0.0238707530902252,0.0343853494701663,-0.010514596379941,0.6942128975869856,0.1516131003355007
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,10,1.0,1363,45,28,0.0319631968344209,1363,45,9.259692309400816e-09,-0.5026330806228092,0.0226259040503558,0.0462338458166073,-0.0236079417662515,0.4893796665781266,28,28,0.1871221556836604,-0.2066326530612244,0.024906793346363,0.0411539170711783,-0.0162471237248152,0.6052107580254197,0.1504026985435251
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.5,15,1.0,1932,34,24,0.0092754730011748,1932,34,7.454016215510591e-05,-0.3957800511508951,0.0263925746173586,0.0457538940979053,-0.0193613194805466,0.5768377782420705,24,24,0.2047591611453659,-0.2152777777777778,0.0265124940169087,0.0404090405993226,-0.0138965465824139,0.656103030997304,0.1482740028349435
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,10,0.5,1363,46,28,0.0319631968344209,1363,46,9.767487982140521e-10,-0.5292991801971354,0.0226259040503558,0.0504072970626844,-0.0277813930123286,0.4488616801297474,28,28,0.1926588856188492,-0.2040816326530612,0.024906793346363,0.0412193387380428,-0.0163125453916797,0.6042501919948484,0.1459614196116125
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,15,1.0,2242,35,25,0.0089173141218471,2242,35,1.8161901563206063e-05,-0.4216643303173187,0.024835182665222,0.0452739423792032,-0.0204387597139812,0.5485535687881724,25,25,0.2289853371196133,-0.1999999999999999,0.0244437483654371,0.0392390663811577,-0.0147953180157206,0.6229441885287778,0.1280384652891589
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,15,0.0,1582,33,22,0.0269454226491131,1582,33,1.7353788967501604e-06,-0.485767919396238,0.027843903612493,0.0529507964050946,-0.0251068927926015,0.5258448503678045,22,22,0.2549441543506284,-0.2024793388429752,0.0293590427567429,0.0439134421050591,-0.0145543993483162,0.6685661917939372,0.1201826121380785
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,15,2.0,2242,29,23,0.003551726691053,2242,29,0.0046455104381195,-0.3055153957365653,0.024835182665222,0.0370410791718402,-0.0122058965066182,0.6704767577101931,23,23,0.2532888762622802,-0.1984877126654064,0.0237444686429973,0.0329341683922816,-0.0091896997492843,0.7209676090853419,0.1183748727649814
