dataset_id,dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,20,1.0,1008,19,12,0.0138702520847412,1008,19,0.4324541860725932,-0.1050543024227235,0.0378525254748578,0.0428308885836608,-0.0049783631088029,0.8837669898190688,12,12,1.0,0.0,0.0293590427567429,0.0365419154089652,-0.0071828726522223,0.8034346976113887,-0.0
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,20,0.5,1008,19,12,0.0138702520847412,1008,19,0.2094847867161079,-0.1679197994987469,0.0378525254748578,0.0452739423792032,-0.0074214169043454,0.8360775202171369,12,12,0.9769702553219756,-0.0138888888888888,0.0293590427567429,0.037028878915679,-0.007669836158936,0.7928687990689224,0.0001405369241575
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,20,0.0,1008,20,12,0.0138702520847412,1008,20,0.1725431681235185,-0.1779761904761905,0.0378525254748578,0.0460732705842301,-0.0082207451093722,0.8215723562679733,12,12,0.9769702553219756,-0.0138888888888888,0.0293590427567429,0.037028878915679,-0.007669836158936,0.7928687990689224,0.0001405369241575
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,0.5,783,28,18,0.0326050044703762,783,28,0.0177155350172209,-0.2635467980295566,0.0343508325187408,0.0436039897834034,-0.0092531572646626,0.7877910413559314,18,18,0.9621482836066156,0.0123456790123457,0.042258189945282,0.0338210038852686,0.0084371860600134,1.2494658670876524,0.0002068887722369
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,1.0,783,26,17,0.013194966384234,783,26,0.1358096054386705,-0.1718243442381373,0.0343508325187408,0.0416444364843521,-0.0072936039656112,0.8248600634000208,17,17,0.8904189322440568,0.0311418685121107,0.041055961469975,0.0316220723057792,0.0094338891641958,1.298332413921896,0.0015697250199487
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,2.0,783,22,16,0.010942421393488,783,22,0.6903607936517205,-0.0498084291187739,0.0343508325187408,0.0344770519285198,-0.0001262194097789,0.9963390312477792,16,16,0.8357841257402611,0.046875,0.0351393166848056,0.0313570656377382,0.0037822510470673,1.1206187814498612,0.0036518382084014
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,0.0,783,29,19,0.0314127561671782,783,29,0.0044267384651937,-0.3109613775487735,0.0343508325187408,0.0468725987892569,-0.012521766270516,0.7328553015202979,19,19,0.7481026173282347,-0.0637119113573406,0.041055961469975,0.036019935464758,0.005036026005217,1.1398121884517072,0.0080301744983407
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,15,2.0,1174,25,19,0.0090018775473637,1174,25,0.1973563668591799,-0.1505281090289608,0.0308707365882665,0.0370410791718402,-0.0061703425835737,0.8334189305082494,19,19,0.6827404131976329,-0.0803324099722991,0.0261051873806477,0.0311174728891268,-0.005012285508479,0.8389237607328184,0.0133146462364195
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,20,2.0,1008,15,11,0.0149866855534411,1008,15,0.9050456045218636,0.017989417989418,0.0378525254748578,0.0394613458431417,-0.0016088203682839,0.9592304739255728,11,11,0.6935883744907081,0.1074380165289257,0.029715414033935,0.0329341683922816,-0.0032187543583465,0.9022670218962966,0.0170717068849859
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,20,2.0,1773,20,16,0.004759678349945,1773,20,0.2494854669164845,-0.1495769881556683,0.0301470184605513,0.0393502061121497,-0.0092031876515984,0.7661209797638933,16,16,0.6375611304257702,-0.1015625,0.0251762244836532,0.0360866173867197,-0.0109103929030664,0.6976609698230799,0.0198532514392754
