dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.4,10,0.0,11613,75,52,0.0045297527379347755,11613,75,0.43348017803916905,-0.052388415281724554,0.04694631736574748,0.05133713097104695,-0.004390813605299471,0.9144709974584323,52,52,0.8023586946097561,0.028846153846153744,0.03837824840288849,0.041244473527659184,-0.002866225124770694,0.9305064441458185,0.002758599140566416
-10.4,10,0.5,11613,71,51,0.0046168169332659725,11613,71,0.7774701181413685,0.01942577708566051,0.04694631736574748,0.047975576708940586,-0.0010292593431931035,0.978546180915397,51,51,0.6251478305428149,0.056516724336793445,0.03754695671413197,0.04264774012737323,-0.005100783413241265,0.8803973341141386,0.011530387900098273
-10.4,10,1.0,11613,68,50,0.004706821546982702,11613,68,0.24547966756267836,0.08155667330223237,0.0469082586092853,0.043108643374883834,0.0037996152344014628,1.088140450196009,50,50,0.2745385184010334,0.12719999999999998,0.03837824840288849,0.033554754273982995,0.004823494128905495,1.1437499464165481,0.07140966207166097
-10.4,10,2.0,11522,59,46,0.0036611648041605226,11522,59,0.09327203173293214,0.12648463219956518,0.047380568935170314,0.037041079171840297,0.010339489763330018,1.2791357593919779,46,46,0.10855228369587579,0.19470699432892258,0.044056707532577274,0.0322239207860857,0.011832786746491575,1.3672050594042229,0.18776783867683786
-10.4,15,0.0,5877,42,24,0.010910494468433432,5877,42,0.3591713195438433,0.08199032548190277,0.06221515999852676,0.053624598261132264,0.008590561737394496,1.160198155621821,24,24,0.17682769153006928,0.22916666666666674,0.06981447989220292,0.04742408774909875,0.02239039214310417,1.4721312144487098,0.1724363947879439
-10.4,15,0.5,5877,38,21,0.012454710921761213,5877,38,0.1374774222436277,0.13957174713199527,0.06221515999852676,0.04907226147366095,0.01314289852486581,1.2678274473231712,21,21,0.10740497958129891,0.2925170068027212,0.06514201627689756,0.044866745455541056,0.0202752708213565,1.451899744799798,0.28344183723896776
-10.4,15,1.0,5850,35,20,0.013076574903552806,5850,35,0.012280713033220038,0.24511843711843717,0.06216732656991274,0.04527394237920329,0.016893384190709446,1.3731370254707367,20,20,0.07204543046734388,0.33499999999999996,0.0765625615129219,0.04040904059932268,0.03615352091359922,1.8946889205334216,0.382701842403291
-10.4,15,2.0,2106,29,18,0.010182762118379528,2106,29,2.055456739802969e-06,0.5126567770245931,0.07252639343791098,0.037041079171840297,0.03548531426607068,1.9579989314417072,18,18,0.0011829627696506929,0.6358024691358024,0.09611185635811723,0.03382072506148226,0.062291131296634966,2.841803544524747,1.8610122166826857
-10.4,20,0.0,0,27,0,,0,27,,,,0.04856063072232714,,,0,0,,,,,,,
-10.4,20,0.5,0,25,0,,0,25,,,,0.047975576708940586,,,0,0,,,,,,,
-10.4,20,1.0,0,24,0,,0,24,,,,0.044320547367070875,,,0,0,,,,,,,
-10.4,20,2.0,0,20,0,,0,20,,,,0.03935020611214979,,,0,0,,,,,,,
