caliper,dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
0.05,-10.8,15,2.0,661,22,9,0.0103567830088861,661,22,1.9236003206623813e-08,0.7036171090634025,0.0994353015299033,0.0344770519285198,0.0649582496013835,2.884101045996027,9,9,0.0019976900972723,0.8765432098765431,0.1180120728159391,0.0329341683922816,0.0850779044236575,3.583271677313588,2.3662037494881503
0.05,-10.7,15,2.0,985,25,13,0.0052489022213251,985,25,1.6982283257009404e-08,0.6598578680203047,0.091112932432363,0.0370410791718402,0.0540718532605227,2.4597807210117613,13,13,0.0002222283700457,0.8579881656804733,0.1329650661832236,0.0329341683922816,0.100030897790942,4.037298425133001,3.1344027950817535
0.05,-10.6,15,2.0,1323,25,15,0.0042007171973239,1323,25,2.264835452843528e-07,0.6035676492819351,0.0847588505097293,0.0394613458431417,0.0452975046665875,2.1478955848754975,15,15,0.0001356422628156,0.8222222222222222,0.1180120728159391,0.0329341683922816,0.0850779044236575,3.583271677313588,3.1800307562621293
0.05,-10.5,15,2.0,1703,28,16,0.003087546411842,1703,28,1.7996094272132146e-07,0.5742806811509102,0.0787378138012112,0.038140072776499,0.0405977410247122,2.0644379538186803,16,16,0.0018750851285173,0.6484375,0.0961118563581172,0.0369731740559203,0.0591386823021968,2.5995024450092425,1.7682754521857378
0.05,-10.4,15,2.0,2106,29,17,0.0050658242487854,2106,29,2.055456739802969e-06,0.5126567770245931,0.0725263934379109,0.0370410791718402,0.0354853142660706,1.9579989314417072,17,17,0.0027302006727525,0.6055363321799307,0.0938255009031911,0.0347072817306828,0.0591182191725082,2.70333763477204,1.5524773369072338
0.1,-10.8,15,2.0,661,22,9,0.0103567830088861,661,22,1.9236003206623813e-08,0.7036171090634025,0.0994353015299033,0.0344770519285198,0.0649582496013835,2.884101045996027,9,9,0.0019976900972723,0.8765432098765431,0.1180120728159391,0.0329341683922816,0.0850779044236575,3.583271677313588,2.3662037494881503
0.1,-10.7,15,2.0,985,25,13,0.0052489022213251,985,25,1.6982283257009404e-08,0.6598578680203047,0.091112932432363,0.0370410791718402,0.0540718532605227,2.4597807210117613,13,13,0.0002222283700457,0.8579881656804733,0.1329650661832236,0.0329341683922816,0.100030897790942,4.037298425133001,3.1344027950817535
0.1,-10.6,15,2.0,1323,25,15,0.0042007171973239,1323,25,2.264835452843528e-07,0.6035676492819351,0.0847588505097293,0.0394613458431417,0.0452975046665875,2.1478955848754975,15,15,0.0001356422628156,0.8222222222222222,0.1180120728159391,0.0329341683922816,0.0850779044236575,3.583271677313588,3.1800307562621293
0.1,-10.5,15,2.0,1703,28,16,0.003087546411842,1703,28,1.7996094272132146e-07,0.5742806811509102,0.0787378138012112,0.038140072776499,0.0405977410247122,2.0644379538186803,16,16,0.0018750851285173,0.6484375,0.0961118563581172,0.0369731740559203,0.0591386823021968,2.5995024450092425,1.7682754521857378
0.1,-10.4,15,2.0,2106,29,18,0.0101827621183795,2106,29,2.055456739802969e-06,0.5126567770245931,0.0725263934379109,0.0370410791718402,0.0354853142660706,1.9579989314417072,18,18,0.0011829627696506,0.6358024691358024,0.0961118563581172,0.0338207250614822,0.0622911312966349,2.841803544524747,1.8610122166826857
0.2,-10.8,15,2.0,661,22,10,0.0204608973049552,661,22,1.9236003206623813e-08,0.7036171090634025,0.0994353015299033,0.0344770519285198,0.0649582496013835,2.884101045996027,10,10,0.0017062493689195,0.8400000000000001,0.1014004261216726,0.0320131136809894,0.0693873124406831,3.1674652810135053,2.3250842968458683
0.2,-10.7,15,2.0,985,25,14,0.0121276381120285,985,25,1.6982283257009404e-08,0.6598578680203047,0.091112932432363,0.0370410791718402,0.0540718532605227,2.4597807210117613,14,14,0.0001033544367922,0.8673469387755102,0.1254885694995813,0.0303965063726473,0.095092063126934,4.128387912780127,3.4569594326343207
0.2,-10.6,15,2.0,1323,25,16,0.0111299933718749,1323,25,2.264835452843528e-07,0.6035676492819351,0.0847588505097293,0.0394613458431417,0.0452975046665875,2.1478955848754975,16,16,0.0002381574852498,0.765625,0.1059187868595651,0.0320581139632882,0.0738606728962768,3.3039618918586195,2.773963319415888
0.2,-10.5,15,2.0,1703,28,18,0.0217001161858676,1703,28,1.7996094272132146e-07,0.5742806811509102,0.0787378138012112,0.038140072776499,0.0405977410247122,2.0644379538186803,18,18,0.0011829627696506,0.6358024691358024,0.0932395844738664,0.0343853494701663,0.0588542350037,2.71160787691757,1.8610122166826857
0.2,-10.4,15,2.0,2106,29,21,0.0316912588721984,2106,29,2.055456739802969e-06,0.5126567770245931,0.0725263934379109,0.0370410791718402,0.0354853142660706,1.9579989314417072,21,21,0.000749314301645,0.6099773242630386,0.0879831067489462,0.0347072817306828,0.0532758250182633,2.535004251605362,1.906384077432102
0.3,-10.8,15,2.0,661,22,12,0.0661875085565369,661,22,1.9236003206623813e-08,0.7036171090634025,0.0994353015299033,0.0344770519285198,0.0649582496013835,2.884101045996027,12,12,0.0007314819918142,0.8194444444444444,0.1014004261216726,0.0320131136809894,0.0693873124406831,3.1674652810135053,2.569610907096368
0.3,-10.7,15,2.0,985,25,17,0.0606562166724248,985,25,1.6982283257009404e-08,0.6598578680203047,0.091112932432363,0.0370410791718402,0.0540718532605227,2.4597807210117613,17,17,1.6665302916648478e-05,0.8685121107266436,0.1180120728159391,0.0315242968155583,0.0864877760003807,3.74352752438544,4.149913092678189
0.3,-10.6,15,2.0,1323,25,18,0.0426511679766049,1323,25,2.264835452843528e-07,0.6035676492819351,0.0847588505097293,0.0394613458431417,0.0452975046665875,2.1478955848754975,18,18,9.33073406637396e-05,0.7654320987654322,0.1059187868595651,0.03222923260392,0.0736895542556451,3.286419759392047,3.0847557983346383
0.3,-10.5,15,2.0,1703,28,21,0.058708627128126,1703,28,1.7996094272132146e-07,0.5742806811509102,0.0787378138012112,0.038140072776499,0.0405977410247122,2.0644379538186803,21,21,0.0002918523049263,0.655328798185941,0.0926536680445416,0.0347072817306828,0.0579463863138587,2.669574320556237,2.3164803994163377
0.3,-10.4,15,2.0,2106,29,23,0.0562027365176432,2106,29,2.055456739802969e-06,0.5126567770245931,0.0725263934379109,0.0370410791718402,0.0354853142660706,1.9579989314417072,23,23,0.0002890567409851,0.6257088846880907,0.0879831067489462,0.0329341683922816,0.0550489383566646,2.6714840861008584,2.214394316233747
