dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score,caliper
-10.4,10,0.0,11613,75,50,0.0017929036811742,11613,75,0.433480178039169,-0.0523884152817245,0.0469463173657474,0.0513371309710469,-0.0043908136052994,0.9144709974584324,50,50,0.5789271506797158,0.0647999999999999,0.0399484079249327,0.0412444735276591,-0.0012960656027264,0.9685760177819386,0.0153819701328641,0.05
-10.4,10,0.5,11613,71,49,0.0018276674547483,11613,71,0.7774701181413685,0.0194257770856605,0.0469463173657474,0.0479755767089405,-0.0010292593431931,0.978546180915397,49,49,0.4344654719925546,0.0920449812578092,0.039209540091645,0.0426477401273732,-0.0034382000357282,0.9193814250072904,0.0333244005955785,0.05
-10.4,10,1.0,11613,68,48,0.0018633149799008,11613,68,0.2454796675626783,0.0815566733022323,0.0469082586092853,0.0431086433748838,0.0037996152344014,1.088140450196009,48,48,0.1457981729748631,0.1727430555555555,0.043734059965737,0.0335547542739829,0.010179305691754,1.303364036244684,0.1444560205939464,0.05
-10.4,10,2.0,11522,59,45,0.0019845360135488,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,45,45,0.0444994556417364,0.2464197530864198,0.0489038749735095,0.0315136731798897,0.0173902017936197,1.551830365643228,0.3330721014994337,0.05
-10.4,15,0.0,5877,42,22,0.003889097220815,5877,42,0.3591713195438433,0.0819903254819027,0.0622151599985267,0.0536245982611322,0.0085905617373944,1.160198155621821,22,22,0.1625274914606741,0.2479338842975207,0.0698144798922029,0.0474240877490987,0.0223903921431041,1.4721312144487098,0.1956379754708019,0.05
-10.4,15,0.5,5877,38,19,0.0044872211038165,5877,38,0.1374774222436277,0.1395717471319952,0.0622151599985267,0.0490722614736609,0.0131428985248658,1.2678274473231712,19,19,0.0960923294556733,0.3185595567867036,0.0651420162768975,0.044866745455541,0.0202752708213565,1.451899744799798,0.3240742299573823,0.05
-10.4,15,1.0,5850,35,18,0.0047355427603657,5850,35,0.01228071303322,0.2451184371184371,0.0621673265699127,0.0452739423792032,0.0168933841907094,1.373137025470737,18,18,0.0445317157430383,0.3950617283950617,0.0765625615129219,0.0404090405993226,0.0361535209135992,1.8946889205334216,0.5338589913299338,0.05
-10.4,15,2.0,2106,29,17,0.0050658242487854,2106,29,2.055456739802969e-06,0.5126567770245931,0.0725263934379109,0.0370410791718402,0.0354853142660706,1.9579989314417072,17,17,0.0027302006727525,0.6055363321799307,0.0938255009031911,0.0347072817306828,0.0591182191725082,2.70333763477204,1.5524773369072338,0.05
-10.4,20,0.0,0,27,0,,0,27,,,,0.0485606307223271,,,0,0,,,,,,,,0.05
-10.4,20,0.5,0,25,0,,0,25,,,,0.0479755767089405,,,0,0,,,,,,,,0.05
-10.4,20,1.0,0,24,0,,0,24,,,,0.0443205473670708,,,0,0,,,,,,,,0.05
-10.4,20,2.0,0,20,0,,0,20,,,,0.0393502061121497,,,0,0,,,,,,,,0.05
-10.5,10,0.0,10060,69,43,0.0024372105002163,10060,69,0.7264281410294986,0.0244042988446133,0.0503359077406424,0.0479755767089405,0.0023603310317018,1.0491985963195731,43,43,0.0810418963830218,0.2190373174689022,0.0512402485965643,0.0392390663811577,0.0120011822154065,1.3058478022598767,0.2390333228959679,0.05
-10.5,10,0.5,10060,66,43,0.0024372105002163,10060,66,0.1659252284500502,0.0987860714500874,0.0503359077406424,0.0455666115049044,0.0047692962357379,1.1046664669200752,43,43,0.0530288008339525,0.2428339643050296,0.0512402485965643,0.0340634172096497,0.0171768313869145,1.5042603706256623,0.3097318544962075,0.05
-10.5,10,1.0,10060,63,42,0.002492463458616,10060,63,0.0703437170305252,0.1320552873236768,0.0503359077406424,0.0432317690296198,0.0071041387110225,1.1643268103638147,42,42,0.0351351418142756,0.2675736961451247,0.0514585985337048,0.0339803827007362,0.0174782158329686,1.514361947800838,0.3891212655913008,0.05
-10.5,10,2.0,10028,55,40,0.0026169564255938,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,40,40,0.0151120595067359,0.3162499999999999,0.0514585985337048,0.0326113589754981,0.0188472395582067,1.5779348101490394,0.5757888940942548,0.05
-10.5,15,0.0,4256,38,18,0.0027281994064965,4256,38,0.0534016699155073,0.1817496042738424,0.0700211710051574,0.0494393659694202,0.0205818050357372,1.416303984328354,18,18,0.0142068022172731,0.4814814814814814,0.0910851084527073,0.0465695381717624,0.0445155702809449,1.9558946046825336,0.8895388019607872,0.05
-10.5,15,0.5,4256,36,17,0.0028820524291179,4256,36,0.0096042868619759,0.2502871762740184,0.0700211710051574,0.0484436411212046,0.0215775298839528,1.445415112996285,17,17,0.0088522407684265,0.5294117647058822,0.0883447160022236,0.044866745455541,0.0434779705466825,1.9690466760011671,1.086854178911602,0.05
-10.5,15,1.0,4251,34,17,0.0028820524291179,4251,34,0.0006698038138448,0.3382041595749097,0.0700008850045452,0.0457538940979053,0.0242469909066398,1.5299437651089451,17,17,0.0079980536206263,0.5363321799307958,0.0883447160022236,0.0415790148174875,0.046765701184736,2.1247428874882095,1.1246969956114032,0.05
-10.5,15,2.0,1703,28,16,0.003087546411842,1703,28,1.7996094272132146e-07,0.5742806811509102,0.0787378138012112,0.038140072776499,0.0405977410247122,2.0644379538186803,16,16,0.0018750851285173,0.6484375,0.0961118563581172,0.0369731740559203,0.0591386823021968,2.5995024450092425,1.7682754521857378,0.05
-10.5,20,0.0,0,22,0,,0,22,,,,0.0478940695456061,,,0,0,,,,,,,,0.05
-10.5,20,0.5,0,21,0,,0,21,,,,0.0479755767089405,,,0,0,,,,,,,,0.05
-10.5,20,1.0,0,21,0,,0,21,,,,0.0452739423792032,,,0,0,,,,,,,,0.05
-10.5,20,2.0,0,17,0,,0,17,,,,0.0394613458431417,,,0,0,,,,,,,,0.05
