dm_threshold,rmin_kpc,min_pts_per_gal,tng_lowres0_only,style,tng_n_points,sparc_n_points,tng_n_gal,sparc_n_gal,n_tng,n_sparc,mw_p,u_stat,cliffs_delta,median_tng,median_sparc,median_diff,median_ratio,median_diff_ci95,score
-10.3,0.0,2,False,pooled_points,224867,1779,20517,128,224867,1779,1.3335638650260198e-209,284945774.0,0.4245921340854901,0.07250797924428731,-0.025763796993246046,0.09827177623753336,-2.8143359173065683,,88.68667613962594
-10.3,0.0,3,False,pooled_points,224059,1779,20113,128,224059,1779,1.4701781715553647e-209,283914458.0,0.42455480933975975,0.07245674819734305,-0.025763796993246046,0.09822054519058909,-2.812347427529316,,88.66089742618762
-10.3,0.0,5,False,pooled_points,218810,1745,18640,119,218810,1745,1.9504774464462995e-203,271534770.0,0.42230536128674134,0.0722680712768069,-0.02460392624915997,0.09687199752596687,-2.937257677695823,,85.60546026972072
-10.3,0.5,3,False,pooled_points,224059,1715,20113,126,224059,1715,1.8228091330802537e-199,273151046.0,0.4216947048659103,0.07245674819734305,-0.022918337844041403,0.09537508604138445,-3.1615184613478093,,83.80729308665487
-10.3,0.5,2,False,pooled_points,224867,1719,20517,128,224867,1719,6.0639058058626075e-198,274365716.0,0.41957464958544577,0.07250797924428731,-0.022361565648150616,0.09486954489243793,-3.242526949372348,,82.74735753445313
-10.4,0.0,2,False,pooled_points,207769,1677,20219,128,207769,1677,1.284524924489804e-193,247413554.0,0.42016783219809795,0.06959870417148828,-0.028067186343138317,0.0976658905146266,-2.4797178926523684,,81.04670149878706
-10.4,0.0,3,False,pooled_points,206521,1671,19595,125,206521,1671,2.8952850235195386e-192,244921324.0,0.4194363571676081,0.06953324628554647,-0.02780748361784191,0.09734072990338838,-2.500522781605897,,80.33813044916246
-10.3,0.5,5,False,pooled_points,218810,1689,18640,119,218810,1689,1.711161614656186e-191,261705754.0,0.4162712897031251,0.0722680712768069,-0.021976497793083638,0.09424456906989054,-3.2884252967527354,,79.41070397559776
-10.4,0.0,5,False,pooled_points,200094,1644,17787,118,200094,1644,1.1805175393554196e-188,233370162.0,0.41885966880237824,0.0694142051011939,-0.027937334980490114,0.09735154008168401,-2.4846394672100587,,78.71542949485479
-10.4,0.5,3,False,pooled_points,206521,1609,19595,123,206521,1609,4.69286935896928e-183,235412713.0,0.4169014496752286,0.06953324628554647,-0.026425306650178726,0.0959585529357252,-2.631312749026365,,76.01304162138885
-10.4,0.5,2,False,pooled_points,207769,1619,20219,128,207769,1619,7.596099072376565e-183,238050006.0,0.4153719816126744,0.06959870417148828,-0.02633745288508571,0.09593615705657399,-2.642575365019463,,75.6472999641334
-10.5,0.0,2,False,pooled_points,188960,1565,19745,126,188960,1565,7.81068289159615e-178,209472152.0,0.416680995420029,0.06585474858750384,-0.030868780614758506,0.09672352920226235,-2.1333770649825534,,73.79725064110144
-10.5,0.0,3,False,pooled_points,187344,1561,18937,124,187344,1561,2.348051352678974e-177,207146434.0,0.4166571742505054,0.06579933304425722,-0.030868780614758506,0.09666811365901573,-2.131581867953613,,73.59386186506396
-10.5,0.0,5,False,pooled_points,179851,1535,16812,117,179851,1535,6.67247489212877e-176,195799063.0,0.41846742952639926,0.06598319172660894,-0.03125050477131275,0.09723369649792168,-2.1114280300259343,,73.30533035621788
-10.3,1.0,2,False,pooled_points,224762,1620,20517,125,224762,1620,3.9978935008729276e-178,256640000.0,0.40966669709666004,0.07249680836719108,-0.017867943676634468,0.09036475204382555,-4.057367186689402,,72.67412187475111
-10.3,1.0,3,False,pooled_points,223954,1618,20113,124,223954,1618,2.8720874294896535e-177,255267347.0,0.408925143145622,0.07244848021533201,-0.01770181185782249,0.0901502920731545,-4.092715525236858,,72.19238179463613
-10.4,0.5,5,False,pooled_points,200094,1586,17787,117,200094,1586,5.250767464567113e-176,223998166.0,0.41168307894028766,0.0694142051011939,-0.02514992100571689,0.09456412610691078,-2.7600168241250214,,72.15971835961162
-10.5,0.5,3,False,pooled_points,187344,1504,18937,121,187344,1504,6.967983418887545e-168,199037540.0,0.412789199479215,0.06579933304425722,-0.02816303892474714,0.09396237196900437,-2.3363719100085714,,69.00056000409556
-10.5,0.5,5,False,pooled_points,179851,1482,16812,115,179851,1482,1.8086607971966877e-166,188457655.0,0.4141084517922773,0.06598319172660894,-0.028692597868230862,0.0946757895948398,-2.299659028075221,,68.63542923678793
-10.5,0.5,2,False,pooled_points,188960,1512,19745,125,188960,1512,8.266253682765369e-167,201474485.0,0.4103547922014794,0.06585474858750384,-0.027775890062747166,0.09363063865025101,-2.3709320723380807,,68.15282826469237
-10.3,0.0,8,False,pooled_points,200171,1619,15555,99,200171,1619,1.3413595810951992e-170,227034445.0,0.4011148633452679,0.07245613309549981,-0.019046691931707826,0.09150282502720763,-3.8041321482645,,68.13836648693052
-10.4,1.0,2,False,pooled_points,207738,1528,20219,125,207738,1528,1.3007943383286527e-165,223241652.0,0.4065848096315843,0.06959065336022974,-0.021319378765511487,0.09091003212574122,-3.2641970540345686,,67.04005809187214
-10.4,1.0,3,False,pooled_points,206490,1520,19595,121,206490,1520,1.8090420906718548e-163,220486090.0,0.40497494462583883,0.06952553495724878,-0.021048448216211213,0.09057398317346,-3.3031192724079874,,65.90665571247334
-10.3,1.0,5,False,pooled_points,218705,1577,18640,113,218705,1577,2.989774378526469e-163,240961154.0,0.39729023774391603,0.07224891426371194,-0.014647009320670534,0.08689592358438247,-4.932673468142807,,64.56934225296632
-10.4,0.0,8,False,pooled_points,178374,1500,14214,95,178374,1500,1.1941923607000713e-153,186661010.0,0.39527816086798895,0.07009833227355067,-0.02091933780156463,0.0910176700751153,-3.3508867698626563,,60.44709282973288
-10.6,0.0,2,False,pooled_points,169117,1464,19107,124,169117,1464,9.63329823673558e-152,173018171.0,0.39763371857766794,0.06114993641047306,-0.031175843408971282,0.09232577981944434,-1.9614525133545004,,60.049143110008444
-10.6,0.0,3,False,pooled_points,167093,1460,18095,122,167093,1460,5.162043953136705e-151,170430355.0,0.3972233410497592,0.06112705726338419,-0.031175843408971282,0.09230290067235547,-1.9607186391561753,,59.697575082021274
-10.4,1.0,5,False,pooled_points,200063,1486,17787,112,200063,1486,6.294967387131835e-152,207315016.0,0.39468191342069114,0.06940736821595195,-0.018757096781221172,0.08816446499717312,-3.7003257500616904,,59.67630256268626
-10.5,1.0,2,False,pooled_points,188954,1436,19745,123,188954,1436,4.031781974810198e-149,189631596.0,0.3977521404083464,0.06585445699722925,-0.023119308570728414,0.08897376556795766,-2.8484613540998467,,59.024231177614354
-10.5,1.0,3,False,pooled_points,187338,1430,18937,120,187338,1430,7.635776167165278e-148,187104471.0,0.3968579510039332,0.06579889371472447,-0.02263995174609601,0.08843884546082048,-2.9063177542359693,,58.38460944090628
-10.3,0.5,8,False,pooled_points,200171,1541,15555,95,200171,1541,2.0172854558241695e-150,213715070.0,0.38567488457330046,0.07245613309549981,-0.014250457182159337,0.08670659027765915,-5.084477793892133,,57.73369157062018
-10.6,0.5,3,False,pooled_points,167093,1411,18095,120,167093,1411,4.9712675498586196e-145,164543498.0,0.3958072543134874,0.06112705726338419,-0.02917122559853702,0.09029828286192121,-2.0954572874185238,,57.116385130173455
