dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.4,10,0.0,11613,75,53,0.00796904951086226,11613,75,0.43348017803916905,-0.052388415281724554,0.04694631736574748,0.05133713097104695,-0.004390813605299471,0.9144709974584323,53,53,0.7955860196489501,0.029547881808472676,0.039209540091645005,0.04324988067416058,-0.004040340582515574,0.906581462895701,0.0029344845628939352
-10.4,10,0.5,11613,71,52,0.008120579717301077,11613,71,0.7774701181413685,0.01942577708566051,0.04694631736574748,0.047975576708940586,-0.0010292593431931035,0.978546180915397,52,52,0.6235399089870111,0.056213017751479244,0.03837824840288849,0.042807573101490165,-0.004429324698601675,0.8965294134264414,0.01153129926135039
-10.4,10,1.0,11613,68,51,0.008277520765729931,11613,68,0.24547966756267836,0.08155667330223237,0.0469082586092853,0.043108643374883834,0.0037996152344014628,1.088140450196009,51,51,0.29030728434843456,0.12187620146097644,0.039209540091645005,0.03559884139029179,0.003610698701353214,1.1014274218019324,0.06546483474370522
-10.4,10,2.0,11522,59,47,0.00755729588810206,11522,59,0.09327203173293214,0.12648463219956518,0.047380568935170314,0.037041079171840297,0.010339489763330018,1.2791357593919779,47,47,0.18825101672757605,0.1579900407424173,0.039209540091645005,0.032934168392281624,0.0062753716993633815,1.1905428922515033,0.11458427870858741
-10.4,15,0.0,5877,42,28,0.034084216132174,5877,42,0.3591713195438433,0.08199032548190277,0.06221515999852676,0.053624598261132264,0.008590561737394496,1.160198155621821,28,28,0.11010603640533262,0.25,0.06981447989220292,0.04742408774909875,0.02239039214310417,1.4721312144487098,0.23954721770106055
-10.4,15,0.5,5877,38,25,0.03722352516981651,5877,38,0.1374774222436277,0.13957174713199527,0.06221515999852676,0.04907226147366095,0.01314289852486581,1.2678274473231712,25,25,0.08419395035432706,0.2864,0.06514201627689756,0.044866745455541056,0.0202752708213565,1.451899744799798,0.3077995539742616
-10.4,15,1.0,5850,35,23,0.032337313750277916,5850,35,0.012280713033220038,0.24511843711843717,0.06216732656991274,0.04527394237920329,0.016893384190709446,1.3731370254707367,23,23,0.053200743000240414,0.33459357277882806,0.06514201627689756,0.041579014817487575,0.023563001459409982,1.5667041790874685,0.4262997495464436
-10.4,15,2.0,2106,29,21,0.031691258872198445,2106,29,2.055456739802969e-06,0.5126567770245931,0.07252639343791098,0.037041079171840297,0.03548531426607068,1.9579989314417072,21,21,0.0007493143016450057,0.6099773242630386,0.08798310674894626,0.034707281730682896,0.05327582501826336,2.535004251605362,1.906384077432102
-10.4,20,0.0,0,27,0,,0,27,,,,0.04856063072232714,,,0,0,,,,,,,
-10.4,20,0.5,0,25,0,,0,25,,,,0.047975576708940586,,,0,0,,,,,,,
-10.4,20,1.0,0,24,0,,0,24,,,,0.044320547367070875,,,0,0,,,,,,,
-10.4,20,2.0,0,20,0,,0,20,,,,0.03935020611214979,,,0,0,,,,,,,
-10.5,10,0.0,10060,69,47,0.011186750545969907,10060,69,0.7264281410294986,0.02440429884461337,0.05033590774064246,0.047975576708940586,0.0023603310317018775,1.0491985963195731,47,47,0.1687393251197844,0.16523313716613863,0.050163186300415843,0.04264774012737323,0.00751544617304261,1.176221439883959,0.12768947381384216
-10.5,10,0.5,10060,66,47,0.011186750545969907,10060,66,0.1659252284500502,0.09878607145008744,0.05033590774064246,0.045566611504904465,0.004769296235737998,1.1046664669200752,47,47,0.11929216309936123,0.186962426437302,0.050163186300415843,0.03923906638115779,0.010924119919258055,1.278399078437394,0.17263887717210513
-10.5,10,1.0,10060,63,46,0.01142740629159035,10060,63,0.0703437170305252,0.13205528732367688,0.05033590774064246,0.04323176902961988,0.007104138711022584,1.1643268103638147,46,46,0.09393135446275812,0.2032136105860114,0.05070171744849008,0.03665124179540377,0.014050475653086307,1.3833560601171309,0.2087388698222653
-10.5,10,2.0,10028,55,43,0.010670461099747649,10028,55,0.03457404478000971,0.16498168763824927,0.050801393650697815,0.038477867888144245,0.01232352576255357,1.3202756919478555,43,43,0.0825575600219219,0.21795565170362363,0.050163186300415843,0.034063417209649755,0.01609976909076609,1.4726410445457367,0.23609896693945598
-10.5,15,0.0,4256,38,22,0.02982920192087122,4256,38,0.05340166991550731,0.18174960427384246,0.07002117100515748,0.04943936596942021,0.02058180503573727,1.416303984328354,22,22,0.022103704915562433,0.4049586776859504,0.09049919202338264,0.0465695381717624,0.04392965385162024,1.9433130663566929,0.6704232344487813
-10.5,15,0.5,4256,36,21,0.03124427353510636,4256,36,0.009604286861975932,0.2502871762740184,0.07002117100515748,0.04844364112120464,0.02157752988395284,1.445415112996285,21,21,0.016857764860638752,0.43310657596371893,0.0883447160022236,0.044866745455541056,0.043477970546682544,1.9690466760011673,0.7679845840431572
-10.5,15,1.0,4251,34,20,0.02346586312670711,4251,34,0.0006698038138448648,0.3382041595749097,0.0700008850045452,0.04575389409790531,0.024246990906639884,1.5299437651089451,20,20,0.017938612870324677,0.43999999999999995,0.08685025572698077,0.04040904059932268,0.046441215127658086,2.149277845721398,0.7683329026799339
-10.5,15,2.0,1703,28,18,0.021700116185867695,1703,28,1.7996094272132143e-07,0.5742806811509102,0.07873781380121124,0.03814007277649904,0.0405977410247122,2.0644379538186803,18,18,0.0011829627696506929,0.6358024691358024,0.0932395844738664,0.034385349470166325,0.05885423500370008,2.71160787691757,1.8610122166826857
-10.5,20,0.0,0,22,0,,0,22,,,,0.047894069545606155,,,0,0,,,,,,,
-10.5,20,0.5,0,21,0,,0,21,,,,0.047975576708940586,,,0,0,,,,,,,
-10.5,20,1.0,0,21,0,,0,21,,,,0.04527394237920329,,,0,0,,,,,,,
-10.5,20,2.0,0,17,0,,0,17,,,,0.039461345843141794,,,0,0,,,,,,,
-10.6,10,0.0,8313,63,42,0.020727064433076463,8313,63,0.39102310430601406,0.06263473351167326,0.05536996648440069,0.04687259878925692,0.008497367695143775,1.1812864640458414,42,42,0.03287261980425359,0.2709750566893423,0.05541114516558161,0.03571773873303397,0.01969340643254764,1.551362071931333,0.4019009050754151
-10.6,10,0.5,8313,60,42,0.020727064433076463,8313,60,0.06183575777408975,0.1397048799069731,0.05536996648440069,0.04276017395326107,0.01260979253113962,1.294895725749917,42,42,0.02561216771487444,0.28344671201814053,0.05541114516558161,0.03571773873303397,0.01969340643254764,1.551362071931333,0.4511206527692077
-10.6,10,1.0,8313,58,41,0.021229759022970293,8313,58,0.013950206886330117,0.187043973502242,0.05536996648440069,0.04180006470842208,0.01356990177597861,1.3246382959126013,41,41,0.018036234149317844,0.303985722784057,0.05645633664904956,0.03514486616845532,0.021311470480594237,1.6063892910687079,0.530106759733162
-10.6,10,2.0,8310,50,38,0.02113726769680132,8310,50,0.017794623108626506,0.19409386281588437,0.05559088212869759,0.03896960686564302,0.01662127526305457,1.4265189361637742,38,38,0.03111041698704416,0.2880886426592797,0.05541114516558161,0.03403951728036847,0.021371627885213143,1.6278475605040015,0.4341767131629929
-10.6,15,0.0,2953,34,19,0.02335471677642001,2953,34,0.022673276008686533,0.22698751020896002,0.07900172839225801,0.0538356131029444,0.02516611528931361,1.4674622213587685,19,19,0.004627369575109064,0.5401662049861495,0.09382550090319114,0.04527394237920329,0.04855155852398785,2.072395200694741,1.2611075722407765
