dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score,caliper
-10.6,10,2.0,8310,50,34,0.0040512786079035,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,34,34,0.0026022300878557,0.42560553633218,0.0594823752836717,0.0322239207860857,0.027258454497586,1.845907444923841,1.1000431821300325,0.05
-10.6,10,1.0,8313,58,36,0.0038367157290601,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,36,36,0.0034716208614592,0.4012345679012346,0.0594823752836717,0.0333292696741725,0.0261531056094991,1.7846888295234886,0.9868234641134922,0.05
-10.8,10,1.0,4806,45,30,0.0422192619034781,4806,45,0.012227700133237,0.2166736024413926,0.0679388070958839,0.0462338458166073,0.0217049612792766,1.4694604330639556,30,30,0.0060971423451739,0.4133333333333333,0.073312809255185,0.0411539170711783,0.0321588921840067,1.7814296784528658,0.9154811151679666,0.3
-10.6,10,0.5,8313,60,37,0.0037361716890161,8313,60,0.0618357577740897,0.1397048799069731,0.0553699664844006,0.042760173953261,0.0126097925311396,1.294895725749917,37,37,0.0071047971631951,0.364499634769905,0.0590725109525065,0.0351448661684553,0.0239276447840511,1.6808290197880371,0.7831086266322952,0.05
-10.8,10,0.5,4806,46,30,0.0422192619034781,4806,46,0.0569350653818004,0.1628580216758037,0.0679388070958839,0.0504072970626844,0.0175315100331995,1.3477970661945646,30,30,0.0117106837928731,0.3799999999999999,0.073312809255185,0.0412193387380428,0.0320934705171422,1.7786022653372162,0.733938743293124,0.3
-10.6,10,0.0,8313,63,37,0.0037361716890161,8313,63,0.391023104306014,0.0626347335116732,0.0553699664844006,0.0468725987892569,0.0084973676951437,1.1812864640458414,37,37,0.010082908120664,0.3484295105916728,0.0590725109525065,0.0351448661684553,0.0239276447840511,1.6808290197880371,0.6956096192474777,0.05
-10.8,10,0.0,4806,48,30,0.0422192619034781,4806,48,0.3259713571964948,0.0822756276876126,0.0679388070958839,0.065564835523587,0.0023739715722969,1.0362080001168146,30,30,0.0138316198029754,0.3711111111111111,0.073312809255185,0.0412193387380428,0.0320934705171422,1.7786022653372162,0.6899426708021945,0.3
-10.6,10,2.0,8310,50,35,0.0061957980871545,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,35,35,0.0115563437997429,0.3518367346938775,0.0590725109525065,0.0329341683922816,0.0261383425602248,1.793654245308062,0.6815709261319169,0.1
-10.7,10,1.0,6539,48,33,0.0377601755073752,6539,48,0.0332459939984519,0.178091706173217,0.060516845835383,0.0445639007006844,0.0159529451346985,1.3579791015568234,33,33,0.0153580455068067,0.3480257116620753,0.0705493088439291,0.0378299983115514,0.0327193105323777,1.864903832744473,0.6312017216839834,0.3
-10.6,10,1.0,8313,58,43,0.0339212444304773,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,43,43,0.0113855029258332,0.3174689021092483,0.0590725109525065,0.0362906112976126,0.0227818996548938,1.6277629072727304,0.6170477270460237,0.3
-10.7,10,2.0,6538,41,31,0.0380307080695228,6538,41,0.0407294156984174,0.185101731714778,0.0605451331985263,0.0394613458431417,0.0210837873553845,1.534289616963198,31,31,0.0180203189696869,0.3506763787721123,0.0720220327950235,0.0373369902584763,0.0346850425365472,1.9289726433874248,0.6116628993482403,0.3
-10.6,10,1.0,8313,58,38,0.0074743085410542,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,38,38,0.0140129931799574,0.3282548476454294,0.057764423800778,0.0333292696741725,0.0244351541266054,1.7331440012182666,0.6084102135437442,0.1
-10.5,10,2.0,10028,55,40,0.0026169564255938,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,40,40,0.0151120595067359,0.3162499999999999,0.0514585985337048,0.0326113589754981,0.0188472395582067,1.5779348101490394,0.5757888940942548,0.05
-10.7,10,0.5,6540,50,34,0.0366530111173768,6540,50,0.1200188829953405,0.1274373088685014,0.0605272404144669,0.0477505123352961,0.0127767280791707,1.2675725862259806,34,34,0.0214600448008896,0.3252595155709343,0.0691948043310142,0.0386604867418653,0.0305343175891488,1.7898068586933575,0.5426530149393359,0.3
-10.6,10,2.0,8310,50,40,0.0347796072970907,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,40,40,0.0176946116572465,0.3087500000000001,0.057764423800778,0.0340395172803684,0.0237249065204095,1.6969812857508522,0.5409790802464775,0.3
-10.6,10,1.0,8313,58,41,0.0212297590229702,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,41,41,0.0180362341493178,0.303985722784057,0.0564563366490495,0.0351448661684553,0.0213114704805942,1.606389291068708,0.530106759733162,0.2
-10.6,10,0.5,8313,60,44,0.0331529567444989,8313,60,0.0618357577740897,0.1397048799069731,0.0553699664844006,0.042760173953261,0.0126097925311396,1.294895725749917,44,44,0.0168055782466916,0.296487603305785,0.057764423800778,0.0379003771332906,0.0198640466674873,1.524112111012197,0.5261310505172535,0.3
-10.7,10,1.0,6539,48,31,0.021212639883256,6539,48,0.0332459939984519,0.178091706173217,0.060516845835383,0.0445639007006844,0.0159529451346985,1.3579791015568234,31,31,0.0270818484860973,0.3277835587929241,0.0705493088439291,0.0378299983115514,0.0327193105323777,1.864903832744473,0.513742283279176,0.2
-10.7,10,0.5,6540,50,30,0.0099936486477152,6540,50,0.1200188829953405,0.1274373088685014,0.0605272404144669,0.0477505123352961,0.0127767280791707,1.2675725862259806,30,30,0.0281286698972873,0.3311111111111111,0.0671240269834081,0.0375834942850138,0.0295405326983942,1.7859975039674083,0.5135039327340286,0.1
-10.6,10,0.5,8313,60,39,0.0072856489950638,8313,60,0.0618357577740897,0.1397048799069731,0.0553699664844006,0.042760173953261,0.0126097925311396,1.294895725749917,39,39,0.0232988940382643,0.2991452991452992,0.0564563366490495,0.0351448661684553,0.0213114704805942,1.606389291068708,0.4884039682183467,0.1
-10.7,10,0.0,6540,53,34,0.0366530111173768,6540,53,0.635663996919781,0.0377300790491028,0.0605272404144669,0.0612495722854679,-0.0007223318710009,0.988206744242484,34,34,0.0294704371080561,0.3079584775086506,0.0691948043310142,0.0386604867418653,0.0305343175891488,1.7898068586933575,0.4713653792810406,0.3
-10.6,10,0.0,8313,63,44,0.0331529567444989,8313,63,0.391023104306014,0.0626347335116732,0.0553699664844006,0.0468725987892569,0.0084973676951437,1.1812864640458414,44,44,0.0219755582042407,0.2840909090909091,0.057764423800778,0.0379003771332906,0.0198640466674873,1.524112111012197,0.4710397967440178,0.3
-10.7,10,0.5,6540,50,32,0.0205533882071364,6540,50,0.1200188829953405,0.1274373088685014,0.0605272404144669,0.0477505123352961,0.0127767280791707,1.2675725862259806,32,32,0.0344489804405291,0.30859375,0.0671240269834081,0.0386604867418653,0.0284635402415427,1.736243711352958,0.4514182286567224,0.2
-10.6,10,0.5,8313,60,42,0.0207270644330764,8313,60,0.0618357577740897,0.1397048799069731,0.0553699664844006,0.042760173953261,0.0126097925311396,1.294895725749917,42,42,0.0256121677148744,0.2834467120181405,0.0554111451655816,0.0357177387330339,0.0196934064325476,1.551362071931333,0.4511206527692077,0.2
