galaxy,sparc_fD,sparc_D_Mpc,sparc_eD_Mpc,ned_D_Mpc,ned_eD_Mpc,dist_method,n_distance_measurements,D_change_pct,environment,env_class,Q,Inc_deg,Vflat_kms,T_type,mass_class
UGCA444,2,0.98,0.05,0.97,0.07,TRGB,17,-1.0,field,field,2,78.0,37.0,10,low
NGC3109,2,1.33,0.07,1.32,0.04,TRGB,20,-0.8,Antlia,field,1,70.0,66.2,9,low
NGC0300,2,2.08,0.1,2.0,0.07,TRGB,15,-3.8,Sculptor,group,2,42.0,93.3,7,low
NGC0055,2,2.11,0.11,2.11,0.01,TRGB,11,0.0,Sculptor,group,2,77.0,85.6,9,low
UGC07577,2,2.59,0.13,2.58,0.04,TRGB,6,-0.4,CVnI_cloud,group,2,63.0,0.0,10,unresolved
UGC07232,2,2.83,0.17,2.89,0.07,TRGB,2,2.1,CVnI_cloud,group,2,59.0,0.0,10,unresolved
NGC2403,2,3.16,0.16,3.18,0.03,TRGB,7,0.6,M81_group,group,1,63.0,131.2,6,high
D564-8,2,8.79,0.28,3.2,0.04,TRGB,6,-63.6,field,field,2,63.0,0.0,10,unresolved
NGC3741,2,3.21,0.17,3.21,0.03,TRGB,5,0.0,CVnI_cloud,group,1,70.0,50.1,10,low
UGC04483,2,3.34,0.31,3.36,0.24,TRGB,7,0.6,M81_group,group,2,58.0,0.0,10,unresolved
CamB,2,3.36,0.26,3.36,0.08,TRGB,4,0.0,field,field,2,65.0,0.0,10,unresolved
NGC2976,2,3.58,0.18,3.57,0.01,TRGB,5,-0.3,M81_group,group,2,61.0,85.4,5,low
NGC6789,2,3.52,0.18,3.58,0.04,TRGB,4,1.7,field,field,2,43.0,0.0,11,unresolved
NGC0247,2,3.7,0.19,3.67,0.19,TRGB,7,-0.8,Sculptor,group,2,74.0,104.9,7,high
NGC7793,2,3.61,0.18,3.72,0.17,TRGB,6,3.0,Sculptor,group,1,47.0,0.0,7,unresolved
IC2574,2,3.91,0.2,3.88,0.09,TRGB,6,-0.8,M81_group,group,2,75.0,66.4,9,low
DDO154,2,4.04,0.2,4.04,0.07,TRGB,1,0.0,M81_group,group,2,64.0,47.0,10,low
NGC2915,2,4.06,0.2,4.06,0.34,TRGB,5,0.0,CenA_group,group,2,56.0,83.5,11,low
DDO168,2,4.25,0.21,4.29,0.1,TRGB,4,0.9,M81_group,group,2,63.0,53.4,10,low
UGCA442,2,4.35,0.22,4.32,0.25,TRGB,4,-0.7,CenA_group,group,1,64.0,56.4,9,low
NGC4068,2,4.37,0.22,4.34,0.05,TRGB,4,-0.7,CVnI_cloud,group,2,44.0,0.0,10,unresolved
ESO444-G084,2,4.83,0.48,4.56,0.23,TRGB,2,-5.6,CenA_group,group,2,32.0,0.0,10,unresolved
UGC07866,2,4.57,0.23,4.57,0.0,TRGB,3,0.0,CVnI_cloud,group,2,44.0,0.0,10,unresolved
UGC07524,2,4.74,0.24,4.61,0.22,TRGB,5,-2.7,CVnI_cloud,group,1,46.0,79.5,9,low
UGC08490,2,4.65,0.53,4.72,0.11,TRGB,2,1.5,CVnI_cloud,group,1,50.0,78.6,9,low
UGC07559,2,4.97,0.25,4.97,0.0,TRGB,3,0.0,CVnI_cloud,group,2,61.0,0.0,10,unresolved
UGC07323,1,8.0,2.4,5.27,0.58,TRGB,1,-34.1,field,field,1,47.0,0.0,8,unresolved
DDO161,1,7.5,2.25,6.03,0.28,TRGB,1,-19.6,field,field,1,70.0,66.3,10,low
NGC6503,2,6.26,0.31,6.25,0.04,TRGB,3,-0.2,field,field,1,74.0,116.3,6,high
NGC6946,2,5.52,1.66,6.8,0.34,TRGB,1,23.2,field,field,1,38.0,158.9,6,high
UGC08837,2,7.21,0.36,7.21,0.04,TRGB,3,0.0,field,field,2,80.0,0.0,10,unresolved
NGC4559,1,9.0,2.7,8.91,0.21,TRGB,1,-1.0,field,field,1,67.0,121.2,6,high
NGC5055,2,9.9,0.3,9.09,0.54,TRGB,2,-8.2,M101_group,field,1,55.0,179.0,4,high
NGC2683,2,9.81,0.49,9.36,0.26,TRGB,1,-4.6,field,field,2,80.0,154.0,3,high
UGC05721,1,6.18,1.85,10.0,1.8,TRGB,1,61.8,field,field,1,61.0,79.7,7,low
UGC09992,1,10.7,3.21,11.3,0.52,TRGB,1,5.6,field,field,2,30.0,33.6,10,low
NGC2841,3,14.1,1.4,14.1,0.0,Cepheid,4,0.0,field,field,1,76.0,284.8,3,high
NGC3198,3,13.8,1.4,14.5,0.89,Cepheid,23,5.1,field,field,1,73.0,150.1,5,high
NGC7331,3,14.7,1.5,15.0,0.44,Cepheid,19,2.0,field,field,1,75.0,239.0,3,high
NGC3972,4,18.0,2.5,20.8,0.67,Cepheid,1,15.6,UMa_cluster,group,1,77.0,132.7,4,high
