condition,dataset,alpha_star,alpha_ci_low,alpha_ci_high,n_gal,scatter_z
Full,SPARC,0.12795857232281466,0.024193444031738644,0.21863759157605292,131,0.5954027794588286
Full,TNG_3k,-0.08398810436962573,-0.1347860398936139,-0.035786688855693916,3000,0.6203200332498152
Full,TNG_48k,0.38126245577827983,0.37346684657759566,0.3888578178153062,48060,0.6561487381943919
Mass-matched,SPARC,0.1036354838278592,-0.06449623430254091,0.2764655304581515,96,0.5972211010626602
Mass-matched,TNG_3k,0.03852881907383545,-0.019377977411564145,0.10575060218767973,2896,0.6217126032564226
Mass-matched,TNG_48k,0.5106007525524728,0.4973328647616159,0.5270549732789043,27950,0.6443706024012915
Resolution-matched,SPARC,-0.22413087975455903,-0.9443560422561111,0.8468463214565274,8,0.5556490655221591
Resolution-matched,TNG_3k,-0.08398810436962573,-0.1366751593438123,-0.030710000763394904,3000,0.6203200332498152
Resolution-matched,TNG_48k,0.38040596945697985,0.37234964988074115,0.3882788768698498,48032,0.6560355797258988
Mass+Resolution,SPARC,-0.22413087975455903,-1.1492944816934134,0.8665931743835624,8,0.5556490655221591
Mass+Resolution,TNG_3k,0.03852881907383545,-0.023129357676699693,0.10780673753769497,2896,0.6217126032564226
Mass+Resolution,TNG_48k,0.5105438820086295,0.4971431905684424,0.5258758562927567,27947,0.6443419432599027
