# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    4.7597e-01    2.0787e-01    3.5882e-01    9.8550e-01    7.7960e-02    7.4691e+00    7.1826e+00
2.4388e-15    1.2703e+00    3.3164e-01    4.6853e-01    9.8550e-01    7.7960e-02    4.3464e+00    4.1469e+00
4.3030e-15    8.1736e-01    3.8405e-01    6.1569e-01    9.8550e-01    7.7960e-02    2.5120e+00    2.3920e+00
7.5922e-15    1.3806e+00    -4.2576e-01    8.1079e-01    9.8550e-01    7.7960e-02    1.4394e+00    1.3620e+00
1.3396e-14    1.8613e+00    -4.8621e-01    1.0711e+00    9.8550e-01    7.7960e-02    8.2128e-01    7.7383e-01
2.3635e-14    2.5762e+00    2.6175e-01    1.4191e+00    9.8550e-01    7.7960e-02    4.6879e-01    4.4259e-01
4.1702e-14    5.2143e+00    1.4773e+00    1.8804e+00    9.8550e-01    7.7960e-02    2.6633e-01    2.5081e-01
7.3580e-14    8.6072e+00    3.2772e+00    2.4942e+00    9.8550e-01    7.7960e-02    1.5114e-01    1.4210e-01
1.2982e-13    6.4129e+00    -8.7410e-01    3.3122e+00    9.8550e-01    7.7960e-02    8.5760e-02    8.0686e-02
2.2906e-13    1.8032e+01    -7.9301e+00    4.4013e+00    9.8550e-01    7.7960e-02    4.8739e-02    4.6015e-02
4.0416e-13    2.9364e+01    7.4761e+00    5.8421e+00    9.8550e-01    7.7960e-02    2.7690e-02    2.6170e-02
7.1310e-13    1.6875e+01    6.3634e+00    7.7374e+00    9.8550e-01    7.7960e-02    1.5772e-02    1.4892e-02
1.2582e-12    3.2532e+01    7.3342e+00    1.0319e+01    9.8550e-01    7.7960e-02    8.8779e-03    8.3921e-03
2.2200e-12    2.6374e+01    -4.1953e+00    1.3711e+01    9.8550e-01    7.7960e-02    5.0257e-03    4.7483e-03
3.9169e-12    2.1414e+01    8.2395e+00    1.8304e+01    9.8550e-01    7.7960e-02    2.8219e-03    2.6680e-03
