# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    1.2261e-01    2.8607e-02    4.2573e-02    9.8531e-01    7.8021e-02    8.1303e+02    1.1981e+03
2.4388e-15    2.8664e-01    -1.2448e-01    5.2358e-02    9.8531e-01    7.8021e-02    4.2898e+02    5.0448e+02
4.3030e-15    6.9545e-01    -1.3572e-01    7.5384e-02    9.8531e-01    7.8021e-02    1.9160e+02    2.0863e+02
7.5922e-15    1.2449e+00    -1.4655e-01    1.1277e-01    9.8531e-01    7.8021e-02    8.2495e+01    8.6544e+01
1.3396e-14    2.2697e+00    1.6622e-02    1.6646e-01    9.8531e-01    7.8021e-02    3.6637e+01    3.7194e+01
2.3635e-14    3.1571e+00    -1.6709e-02    2.4046e-01    9.8531e-01    7.8021e-02    1.7076e+01    1.6859e+01
4.1702e-14    4.3760e+00    -1.4082e-02    3.4212e-01    9.8531e-01    7.8021e-02    8.3177e+00    8.0980e+00
7.3580e-14    6.8678e+00    3.2124e-01    4.7950e-01    9.8531e-01    7.8021e-02    4.1969e+00    4.0497e+00
1.2982e-13    8.5517e+00    -9.5523e-02    6.6295e-01    9.8531e-01    7.8021e-02    2.1832e+00    2.0948e+00
2.2906e-13    1.1599e+01    -1.2097e+00    9.0756e-01    9.8531e-01    7.8021e-02    1.1608e+00    1.1098e+00
4.0416e-13    1.5082e+01    -3.5541e-01    1.2304e+00    9.8531e-01    7.8021e-02    6.3040e-01    6.0160e-01
7.1310e-13    1.9817e+01    6.9546e-01    1.6601e+00    9.8531e-01    7.8021e-02    3.4588e-01    3.2970e-01
1.2582e-12    2.4336e+01    1.1644e+00    2.2272e+00    9.8531e-01    7.8021e-02    1.9188e-01    1.8263e-01
2.2200e-12    3.1359e+01    5.3441e+00    2.9796e+00    9.8531e-01    7.8021e-02    1.0722e-01    1.0206e-01
3.9169e-12    3.6360e+01    1.9256e+00    3.9879e+00    9.8531e-01    7.8021e-02    5.9876e-02    5.7015e-02
