# No_min[m]    No_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.382201932178117638e-15 1.812484461147824844e-03 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.438762430455725505e-15 1.736557098075859618e-04 7.790587171794495502e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.302961856542886968e-15 -2.342122098276301447e-05 -7.297795752026248715e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.592162527861749358e-15 -4.295585505722252715e-05 -8.947307770629036108e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.339564090297987229e-14 -2.452255406314164294e-05 -3.460270024782840376e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.363532057474613662e-14 -1.770206481024136916e-05 -1.729224980175291101e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.170225095738051496e-14 -1.283242285276570301e-05 -8.810241061159581428e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.357961274155570078e-14 -4.698838088725858009e-06 -2.301777314872250149e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.298241530590361534e-13 -1.000841282934053818e-05 -3.546054720108752882e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.290622373441387703e-13 -4.875746502140263664e-06 -1.261914811879435744e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.041582967480835065e-13 -1.818413198112047430e-05 -3.471516056791658627e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.130984605939525963e-13 -4.274741673282129624e-07 -6.048338203863824483e-06 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.258193679538452461e-12 -9.345250721207151631e-06 -9.855730491258088671e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.219961790286235902e-12 3.398662894687774273e-05 2.679206520444867056e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 3.916909161504292686e-12 -1.648505670747586196e-05 -9.709774544254437100e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.382201932178117638e-15 1.736557098075859618e-04 7.790587171794495502e-02 9.708287439144076547e-01
