# MAG_GAAP_u-r_min[m]    MAG_GAAP_u-r_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.382201932178117638e-15 2.452451033179562506e-02 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.438762430455725505e-15 1.071107156190339053e-03 3.376347345599448740e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 4.302961856542886968e-15 6.608891759528722886e-04 1.598182909818696498e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 7.592162527861749358e-15 3.618908656271729884e-04 6.710990863730295630e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.339564090297987229e-14 1.833306117378554075e-04 2.597301725195575676e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.363532057474613662e-14 9.328290548729586712e-05 1.007909944567553923e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 4.170225095738051496e-14 6.837658051229417015e-05 5.615391608559806673e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 7.357961274155570078e-14 3.465463010784167403e-05 2.165668092957740180e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.298241530590361534e-13 -9.505564263471144029e-05 -4.504765448797099295e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.290622373441387703e-13 -1.497597739222804151e-04 -5.379923517014001486e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 4.041582967480835065e-13 -2.032808201785976779e-05 -5.538944322971550428e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 7.130984605939525963e-13 -1.068299455016264723e-04 -2.203873978093155749e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.258193679538452461e-12 2.745821563437678622e-05 4.291597638104660903e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.219961790286235902e-12 1.515273273189270229e-04 1.793137599985541433e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 3.916909161504292686e-12 -3.869099429436714463e-04 -3.461534815228992762e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.382201932178117638e-15 1.071107156190339053e-03 3.376347345599448740e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.438762430455725505e-15 4.103658944913425588e-02 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 4.302961856542886968e-15 1.247243937271994918e-03 2.331652296025197094e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 7.592162527861749358e-15 9.640228092231326561e-04 1.382009023134272117e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.339564090297987229e-14 6.294623424022959815e-04 6.894006882574067914e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.363532057474613662e-14 4.058761626243273632e-04 3.390219003632055465e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 4.170225095738051496e-14 2.095254513501735010e-04 1.330221607840822518e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 7.357961274155570078e-14 1.670511670772234318e-04 8.070393062018602634e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.298241530590361534e-13 1.807982803425709883e-04 6.623737594496043957e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.290622373441387703e-13 -2.280662571606468028e-05 -6.333685634943093305e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 4.041582967480835065e-13 8.177513552979723288e-05 1.722528477890727667e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 7.130984605939525963e-13 2.192885463325832502e-04 3.497230373211070056e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 1.258193679538452461e-12 3.997113951644337498e-05 4.829562142234964474e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 2.219961790286235902e-12 3.351774820636630012e-05 3.066281558329517323e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.438762430455725505e-15 3.916909161504292686e-12 5.839001608096265096e-04 4.038424342531853452e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 1.382201932178117638e-15 6.608891759528722886e-04 1.598182909818696498e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 2.438762430455725505e-15 1.247243937271994918e-03 2.331652296025197094e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 4.302961856542886968e-15 6.972747985019034367e-02 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 4.302961856542886968e-15 7.592162527861749358e-15 1.523807666561278031e-03 1.675858584807792331e-02 9.708287439144076547e-01
