# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    7.7367e-01    3.8235e-02    1.7336e-01    9.8531e-01    7.8021e-02    3.3144e+01    3.3013e+01
2.4388e-15    1.5548e+00    -4.8002e-01    2.2499e-01    9.8531e-01    7.8021e-02    1.9495e+01    1.9238e+01
4.3030e-15    1.5919e+00    -2.0246e-01    2.9283e-01    9.8531e-01    7.8021e-02    1.1397e+01    1.1139e+01
7.5922e-15    3.1744e+00    2.8010e-01    3.8118e-01    9.8531e-01    7.8021e-02    6.6482e+00    6.4220e+00
1.3396e-14    3.1386e+00    6.4866e-02    4.9846e-01    9.8531e-01    7.8021e-02    3.8660e+00    3.7134e+00
2.3635e-14    4.8036e+00    8.5855e-01    6.5301e-01    9.8531e-01    7.8021e-02    2.2453e+00    2.1498e+00
4.1702e-14    4.7326e+00    -5.6045e-01    8.5764e-01    9.8531e-01    7.8021e-02    1.2959e+00    1.2353e+00
7.3580e-14    7.2252e+00    1.5101e+00    1.1265e+00    9.8531e-01    7.8021e-02    7.4990e-01    7.1360e-01
1.2982e-13    1.0545e+01    2.9434e+00    1.4832e+00    9.8531e-01    7.8021e-02    4.3210e-01    4.1078e-01
2.2906e-13    1.0131e+01    -3.2860e+00    1.9529e+00    9.8531e-01    7.8021e-02    2.4930e-01    2.3703e-01
4.0416e-13    1.5282e+01    -3.8550e+00    2.5713e+00    9.8531e-01    7.8021e-02    1.4372e-01    1.3656e-01
7.1310e-13    1.8797e+01    -3.0839e+00    3.3996e+00    9.8531e-01    7.8021e-02    8.2270e-02    7.8222e-02
1.2582e-12    2.4552e+01    5.5650e+00    4.4830e+00    9.8531e-01    7.8021e-02    4.7243e-02    4.4856e-02
2.2200e-12    3.8638e+01    1.7721e+00    5.8909e+00    9.8531e-01    7.8021e-02    2.7392e-02    2.6039e-02
3.9169e-12    3.7082e+01    7.2139e+00    7.8477e+00    9.8531e-01    7.8021e-02    1.5427e-02    1.4657e-02
