# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.382201932178117638e-15 6.072676298765816716e-02 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.438762430455725505e-15 2.122088013970288740e-03 2.684570805243529160e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 4.302961856542886968e-15 1.528788710369552786e-03 1.482188445336837627e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 7.592162527861749358e-15 8.339596679641719324e-04 6.177732899848474395e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.339564090297987229e-14 4.447710207573195296e-04 2.507098666799990362e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.363532057474613662e-14 2.824037996196613644e-04 1.209673312390895789e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 4.170225095738051496e-14 1.307417495745029183e-04 4.247639818146117471e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 7.357961274155570078e-14 -1.509458165028188469e-04 -3.718162654325532892e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.298241530590361534e-13 -2.048504860691910737e-04 -3.824107022151165326e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.290622373441387703e-13 1.778333949929556236e-04 2.515475150558313410e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 4.041582967480835065e-13 -1.014655719106717662e-04 -1.086408020326235863e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 7.130984605939525963e-13 6.934904639210959861e-05 5.596765900830949215e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 1.258193679538452461e-12 1.159059193075480100e-04 7.070440218218334183e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 2.219961790286235902e-12 -3.427392898290078523e-04 -1.552781424455601349e-04 9.708287439144077657e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.382201932178117638e-15 3.916909161504292686e-12 3.433912072968740761e-04 1.151879020162027180e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.382201932178117638e-15 2.122088013970288740e-03 2.684570805243529160e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.438762430455725505e-15 1.028956291659847561e-01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 4.302961856542886968e-15 2.114150252434611812e-03 1.574647718017662887e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 7.592162527861749358e-15 1.638706485960281321e-03 9.325601526079212514e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.339564090297987229e-14 8.543312200080239007e-04 3.699583404780189180e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.363532057474613662e-14 4.923240462521625118e-04 1.620094002980927879e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 4.170225095738051496e-14 3.402384026123531015e-04 8.491967513755122434e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 7.357961274155570078e-14 3.372344243127928590e-04 6.381618031415168786e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.298241530590361534e-13 1.711930783245330155e-04 2.455109365193129450e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.290622373441387703e-13 2.210221085750554802e-05 2.401784468392898701e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 4.041582967480835065e-13 1.803221446016252557e-04 1.483251928804106318e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 7.130984605939525963e-13 3.686545728466805163e-04 2.285640253455924621e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 1.258193679538452461e-12 4.358715192238836028e-05 2.042635771998760764e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 2.219961790286235902e-12 -1.602280298770884857e-04 -5.576690337981648316e-05 9.708287439144077657e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.438762430455725505e-15 3.916909161504292686e-12 -1.896592021108136077e-04 -4.887460035640950361e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.382201932178117638e-15 1.528788710369552786e-03 1.482188445336837627e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.438762430455725505e-15 2.114150252434611812e-03 1.574647718017662887e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 4.302961856542886968e-15 1.751894524844509748e-01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 7.592162527861749358e-15 2.152192072786647190e-03 9.386446197887969578e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.339564090297987229e-14 1.721405473204275314e-03 5.712868280681694319e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.363532057474613662e-14 1.003648164699103527e-03 2.531134053496378322e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 4.170225095738051496e-14 5.749036215963806854e-04 1.099675434953441364e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 7.357961274155570078e-14 1.312110212689868171e-04 1.902890103932754944e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.298241530590361534e-13 -2.367191803868179856e-04 -2.601732104049339178e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.290622373441387703e-13 -3.569274686301630970e-04 -2.972506219748053606e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 4.041582967480835065e-13 2.911819030972758382e-04 1.835585946024493968e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 7.130984605939525963e-13 2.494667838887753154e-05 1.185346890357085494e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.258193679538452461e-12 7.510567287520778347e-04 2.697426801200399375e-04 9.708287439144076547e-01
