# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    1.9259e+00    -2.6414e-04    1.1648e-01    9.8531e-01    7.8021e-02    9.0923e+01    1.1215e+02
2.4388e-15    2.4217e+00    -1.2748e-01    1.4611e-01    9.8531e-01    7.8021e-02    5.3765e+01    6.1711e+01
4.3030e-15    2.8080e+00    -4.6095e-02    1.8582e-01    9.8531e-01    7.8021e-02    3.1454e+01    3.4162e+01
7.5922e-15    4.0228e+00    9.6706e-02    2.3779e-01    9.8531e-01    7.8021e-02    1.8362e+01    1.9066e+01
1.3396e-14    4.5703e+00    3.7631e-01    3.0739e-01    9.8531e-01    7.8021e-02    1.0689e+01    1.0795e+01
2.3635e-14    6.0673e+00    4.8507e-01    3.9918e-01    9.8531e-01    7.8021e-02    6.2121e+00    6.1490e+00
4.1702e-14    5.9036e+00    -7.2295e-01    5.2133e-01    9.8531e-01    7.8021e-02    3.5912e+00    3.5051e+00
7.3580e-14    6.9113e+00    1.2276e+00    6.8345e-01    9.8531e-01    7.8021e-02    2.0747e+00    2.0105e+00
1.2982e-13    1.0186e+01    1.3383e+00    8.9789e-01    9.8531e-01    7.8021e-02    1.1957e+00    1.1527e+00
2.2906e-13    9.7566e+00    -1.8246e+00    1.1816e+00    9.8531e-01    7.8021e-02    6.8802e-01    6.6092e-01
4.0416e-13    1.5661e+01    -2.2077e+00    1.5551e+00    9.8531e-01    7.8021e-02    3.9636e-01    3.7991e-01
7.1310e-13    1.7772e+01    -1.0798e+00    2.0504e+00    9.8531e-01    7.8021e-02    2.2781e-01    2.1818e-01
1.2582e-12    2.6154e+01    7.5640e-01    2.6998e+00    9.8531e-01    7.8021e-02    1.3130e-01    1.2565e-01
2.2200e-12    2.9490e+01    3.5397e+00    3.5569e+00    9.8531e-01    7.8021e-02    7.5584e-02    7.2278e-02
3.9169e-12    3.4490e+01    2.7108e-01    4.7147e+00    9.8531e-01    7.8021e-02    4.2953e-02    4.1010e-02
