recno	ID	Rad	VRot	E_VRot	e_VRot
1246	"NGC4254 "	0.125	64.1458	15.3955	19.1945
1247	"NGC4254 "	0.275	71.9691	7.6689	11.3306
1248	"NGC4254 "	0.425	78.7941	3.4113	4.4944
1249	"NGC4254 "	0.575	93.612	4.0556	6.1365
1250	"NGC4254 "	0.725	103.414	3.8052	4.555
1251	"NGC4254 "	0.875	109.89	3.4527	2.9011
1252	"NGC4254 "	1.025	114.554	3.0646	3.2907
1253	"NGC4254 "	1.175	117.222	4.0278	3.5092
1254	"NGC4254 "	1.325	117.528	3.7345	2.6018
1255	"NGC4254 "	1.475	123.769	4.1169	3.6315
1256	"NGC4254 "	1.625	131.849	5.2212	3.907
1257	"NGC4254 "	1.775	140.237	4.8492	5.2179
1258	"NGC4254 "	1.925	147.297	4.5266	3.9941
1259	"NGC4254 "	2.075	151.943	4.584	3.2378
1260	"NGC4254 "	2.225	158.54	4.6694	3.3896
1261	"NGC4254 "	2.375	162.733	4.4844	3.8731
1262	"NGC4254 "	2.525	166.247	4.4806	3.4534
1263	"NGC4254 "	2.675	170.252	4.1039	3.0773
1264	"NGC4254 "	2.825	172.184	4.3123	3.7978
1265	"NGC4254 "	2.975	173.819	5.1104	3.816
1266	"NGC4254 "	3.125	172.563	5.2321	3.9888
1267	"NGC4254 "	3.275	169.073	4.4705	4.1169
1268	"NGC4254 "	3.425	169.394	4.4882	4.1971
1269	"NGC4254 "	3.575	169.617	4.5378	3.929
1270	"NGC4254 "	3.725	167.568	4.1912	3.5086
1271	"NGC4254 "	3.875	164.159	3.9372	3.1771
1272	"NGC4254 "	4.025	162.637	3.7985	4.0016
1273	"NGC4254 "	4.175	162.583	4.765	4.308
1274	"NGC4254 "	4.325	163.76	4.197	3.978
1275	"NGC4254 "	4.475	162.856	3.9702	3.2101
1276	"NGC4254 "	4.625	160.051	4.118	3.2429
1277	"NGC4254 "	4.775	154.981	3.3685	3.0799
1278	"NGC4254 "	4.925	153.016	3.8107	3.1782
1279	"NGC4254 "	5.075	152.184	5.3018	4.2412
1280	"NGC4254 "	5.225	155.043	5.8277	4.2834
1281	"NGC4254 "	5.375	158.843	4.5706	4.5342
1282	"NGC4254 "	5.525	163.413	5.3558	3.8339
1283	"NGC4254 "	5.675	167.843	5.3895	4.2136
1284	"NGC4254 "	5.825	172.494	4.6332	4.1122
1285	"NGC4254 "	5.975	171.473	4.1522	3.6704
1286	"NGC4254 "	6.125	171.925	3.7432	3.35
1287	"NGC4254 "	6.275	171.223	4.3716	3.1147
1288	"NGC4254 "	6.425	171.155	4.1238	3.2233
1289	"NGC4254 "	6.575	170.325	4.078	3.3853
1290	"NGC4254 "	6.725	170.769	4.3931	3.0358
1291	"NGC4254 "	6.875	173.228	4.0688	3.8502
1292	"NGC4254 "	7.025	173.06	4.0694	3.0594
1293	"NGC4254 "	7.175	172.875	3.3658	3.669
1294	"NGC4254 "	7.325	169.825	4.1506	3.3406
1295	"NGC4254 "	7.475	166.977	3.9784	4.1594
1296	"NGC4254 "	7.625	168.28	5.1332	4.0152
1297	"NGC4254 "	7.775	169.301	4.4125	4.3446
1298	"NGC4254 "	7.925	170.772	3.8555	3.9484
1299	"NGC4254 "	8.075	170.181	4.644	4.333
1300	"NGC4254 "	8.225	168.838	5.4596	4.4335
1301	"NGC4254 "	8.375	169.56	4.4412	5.6137
1302	"NGC4254 "	8.525	171.805	4.5503	5.4602
1303	"NGC4254 "	8.675	174.601	4.0699	5.8478
1304	"NGC4254 "	8.825	174.676	4.8637	6.018
1305	"NGC4254 "	8.975	177.465	6.8772	4.8082
1306	"NGC4254 "	9.125	178.741	6.852	4.6775
1307	"NGC4254 "	9.275	182.382	5.2846	4.5923
1308	"NGC4254 "	9.425	183.428	3.1892	5.5103
1309	"NGC4254 "	9.575	181.993	4.1154	4.4454
1310	"NGC4254 "	9.725	181.029	4.8159	4.7134
1311	"NGC4254 "	9.875	180.841	5.575	4.5943
1312	"NGC4254 "	10.025	179.791	4.9121	5.705
1313	"NGC4254 "	10.175	181.341	5.8714	5.4563
1314	"NGC4254 "	10.325	181.139	6.1284	5.5732
1315	"NGC4254 "	10.475	181.42	5.8401	5.0562
1316	"NGC4254 "	10.625	184.038	4.8717	6.6642
1317	"NGC4254 "	10.775	181.735	5.3172	5.9134
1318	"NGC4254 "	10.925	183.629	6.7748	5.2322
