recno	Galaxy	R	Napp	Vapp	e_Vapp	Nrec	Vrec	e_Vrec	Ntot	Vtot	e_Vtot
1	"DC2"	1.5	2	94	2	0			2	94	2
2	"DC2"	4.5	11	133	32	3	121	8	14	130	28
3	"DC2"	7.5	13	162	54	10	145	15	23	154	40
4	"DC2"	10.5	22	155	37	22	168	21	44	161	30
5	"DC2"	13.5	21	169	42	22	176	28	43	173	35
6	"DC2"	16.5	10	191	48	11	192	14	21	192	32
7	"DC2"	19.5	3	177	28	2	207	15	5	191	26
8	"DC2"	22.5	1	218	0	0			1	218	0
9	"DC8"	3.0	1	86	0	1	78	0	2	82	6
10	"DC8"	5.0	6	97	28	8	110	17	14	104	22
11	"DC8"	7.0	6	153	50	7	157	27	13	155	37
12	"DC8"	9.0	10	174	43	4	173	33	14	174	39
13	"DC8"	11.0	8	192	51	2	172	26	10	189	48
14	"DC8"	13.0	4	186	80	1	216	0	5	190	74
15	"DC8"	15.0	1	235	0	1	206	0	2	218	21
16	"DC10"	1.5	9	11	20	7	13	12	14	13	17
17	"DC10"	4.5	24	72	33	21	46	18	45	60	29
18	"DC10"	7.5	40	93	35	52	71	23	91	81	30
19	"DC10"	10.5	38	97	28	67	88	23	105	91	25
20	"DC10"	13.5	40	107	26	73	113	34	113	111	31
21	"DC10"	16.5	22	116	32	24	143	33	46	133	35
22	"DC10"	19.5	7	107	41	4	161	18	11	140	39
23	"DC12"	3.0	2	245	14	2	280	4	4	263	22
24	"DC12"	5.0	6	231	11	9	226	15	15	228	14
25	"DC12"	7.0	3	230	15	6	221	15	9	224	15
26	"DC12"	9.0	0			5	233	15	5	233	15
27	"D24"	1.0	4	25	31	4	18	9	8	21	19
28	"D24"	3.0	11	55	13	11	54	15	22	55	13
29	"D24"	5.0	22	80	13	17	82	19	39	81	16
30	"D24"	7.0	24	95	10	26	108	14	50	102	13
31	"D24"	9.0	33	106	11	34	129	14	67	118	17
32	"D24"	11.0	34	108	17	34	123	28	67	115	23
33	"D24"	13.0	47	107	17	46	115	35	93	111	27
34	"D24"	15.0	50	104	22	42	115	31	92	109	27
35	"D24"	17.0	44	112	22	45	115	31	89	113	27
36	"D24"	19.0	45	117	21	54	117	17	99	117	19
37	"D24"	21.0	39	121	18	40	116	27	79	118	23
38	"D24"	23.0	30	115	25	28	108	35	57	112	29
39	"D24"	25.0	26	121	23	21	123	40	47	122	31
40	"D24"	27.0	10	143	37	7	101	16	17	128	37
41	"D24"	29.0	4	121	12	0			4	121	12
42	"D39"	1.5	3	52	22	3	53	20	6	53	18
43	"D39"	4.5	10	191	49	24	191	59	34	191	55
44	"D39"	7.5	20	153	64	28	197	51	47	183	57
45	"D39"	10.5	45	136	61	40	171	48	84	154	56
46	"D39"	13.5	57	154	44	56	180	28	113	167	39
47	"D39"	16.5	39	148	34	67	176	29	106	166	34
48	"D39"	19.5	37	148	12	46	183	21	83	168	25
49	"D39"	22.5	41	166	15	42	188	26	83	177	24
50	"D39"	25.5	51	175	29	28	172	36	79	174	31
51	"D39"	28.5	67	192	27	7	160	48	74	189	30
52	"D39"	31.5	81	182	15	7	159	15	88	180	16
53	"D39"	34.5	95	182	26	15	153	17	110	178	27
54	"D39"	37.5	122	173	33	19	169	38	141	173	34
55	"D39"	40.5	134	179	26	46	161	34	180	174	30
56	"D39"	43.5	136	176	26	27	165	38	163	174	29
57	"D39"	46.5	118	174	35	13	151	15	131	171	34
58	"D39"	49.5	95	162	31	4	147	22	99	161	31
59	"D39"	52.5	109	177	27	2	126	6	111	176	28
60	"D39"	55.5	108	181	19	1	7	0	109	180	23
61	"D39"	58.5	104	195	26	20	94	27	124	181	44
62	"D39"	61.5	105	202	36	22	69	38	126	185	57
63	"D39"	64.5	75	215	18	3	81	15	78	211	30
64	"D39"	67.5	53	224	27	5	65	32	58	213	49
65	"D39"	70.5	11	219	18	0			11	219	18
66	"D47"	1.5	8	48	7	0			8	48	7
67	"D47"	4.5	29	57	22	17	35	30	44	51	25
68	"D47"	7.5	43	80	30	44	76	23	87	78	27
69	"D47"	10.5	29	95	38	63	90	19	92	91	26
70	"D47"	13.5	26	110	26	66	94	24	92	98	26
71	"D47"	16.5	20	111	33	43	94	33	63	98	33
72	"D47"	19.5	20	88	42	20	112	36	40	100	40
73	"D47"	22.5	29	98	37	7	111	22	36	101	35
74	"D47"	25.5	38	109	45	8	94	18	46	106	41
75	"D47"	28.5	4	97	55	0			4	97	55
76	"WR42"	1.5	6	105	62	0			6	105	62
77	"WR42"	4.5	15	95	44	0			15	95	44
78	"WR42"	7.5	13	120	32	0			13	120	32
79	"WR42"	10.5	37	171	37	0			37	171	37
80	"WR42"	13.5	44	196	40	14	188	32	58	194	38
81	"WR42"	16.5	49	205	34	80	207	41	129	206	38
82	"WR42"	19.5	101	205	33	114	219	33	215	212	34
83	"WR42"	22.5	111	221	30	102	212	34	213	217	32
84	"WR42"	25.5	65	220	42	75	215	33	140	217	37
85	"WR42"	28.5	17	204	41	24	230	31	41	222	36
