recno	Name	CAL	Vsys	PA	reff	rout	PA1	e_PA1	PAout	e_PAout	ell	e_ell	Stage	MType	Bar	Nuc	Grad	oRAkc	e_oRAkc	oDEkc	e_oDEkc	Vkc	e_Vkc	PArec	e_PArec	PAapp	e_PAapp	PAmin	e_PAmin	V[OII]	e_V[OII]	V[OIII]	e_V[OIII]	VHa+	e_VHa+	V[SII]	e_V[SII]	AclA	AclB	AclC	SimbadName	_RA	_DE
1	"ARP220"	802	5434	170	21	2.5	139.1	6.6	157.7	6.6	0.13	0.02	"IoM G"	"S d "	"A "	"LINER"	"MGP"	-4.2	0.1	-1.5	0.3	5339.6	84.6	8.5	21.5	253.2	50.5	99.4	43.4	5455	42	5370	42	5350	53	5354	59	"A0 -- A2"	"-- B1 --"	"C0 -- C2"	"ARP220"	233.73843	23.50322
2	"IC 0540"	274	2035	170	15	1.0	170.4	0.1	170.0	0.1	0.63	0.0	"I G  "	"S ab"	"AB"	"AGN  "	"MGP"	-0.3	0.1	1.1	0.2	2054.6	32.6	191.6	13.1	-1.4	19.5	87.8	40.9	2159	44	2103	33	2067	24	2083	27	"-- -- --"	"-- -- --"	"C0 C1 --"	"IC 0540"	142.54275	7.90253
3	"IC 0776"	528	2468	97	27	1.5	66.4	0.4	92.2	0.4	0.45	0.02	"I G  "	"S dm"	"A "	"SF   "	"MGP"	-0.2	0.3	-2.8	0.1	2448.4	12.6	267.5	15.0	117.9	24.4	16.0	17.9	2510	15	2449	10	2454	10	2457	12	"-- -- --"	"B0 B1 B2"	"C0 C1 C2"	"IC 0776"	184.76346	8.85556
4	"IC 0944"	663	6997	110	20	2.8	110.2	0.5	105.7	0.5	0.65	0.0	"IoM G"	"S ab"	"A "	"SF   "	"SGP"	-1.2	0.1	-1.3	0.1	6913.1	83.1	287.6	3.4	105.6	6.5	13.6	14.2	6947	48	6961	68	6961	81	7023	42	"-- -- --"	"-- -- --"	"-- -- --"	"IC 0944"	207.87874	14.09213
5	"IC 1199"	824	4731	140	24	2.2	122.6	2.1	157.3	2.1	0.57	0.02	"I G  "	"S b "	"AB"	"SF   "	"MGP"	0.4	0.1	-0.3	0.1	4710.1	52.6	156.0	6.3	343.8	8.4	61.2	13.6	4782	52	4681	44	4710	51	4702	58	"-- -- --"	"-- -- --"	"-- -- --"	"IC 1199"	242.64311	10.04042
6	"IC 1256"	856	4730	90	17	3.1	124.5	1.5	89.1	1.5	0.36	0.02	"I G  "	"S b "	"AB"	"SF   "	"MGP"	1.6	0.2	2.5	0.1	4720.9	40.0	274.0	6.0	91.0	14.1	-2.8	15.5	4776	31	4716	32	4694	30	4700	29	"-- -- A2"	"-- B1 --"	"C0 -- C2"	"IC 1256"	260.94717	26.48651
7	"IC 1683"	43	4869	160	14	4.3	166.4	5.3	15.6	5.3	0.35	0.04	"IoM G"	"S b "	"AB"	"SF   "	"SGP"	1.3	0.1	1.5	0.0	4806.5	57.0	186.5	28.8	13.4	9.1	113.9	17.5	4864	59	4797	47	4838	55	4817	57	"-- -- --"	"-- -- --"	"-- -- --"	"IC 1683"	20.66195	34.437
8	"IC 2095"	141	2847		20	1.0	47.8	0.2	51.5	0.2	0.8	0.01	"I G  "	"S c "	"AB"	"SF   "	"UGP"	0.0		0.0		2833.8	5.1	46.7	9.6	243.4	18.1	-14.0	28.6	2956	6	2824	6	2833	5	2833	5	"-- -- --"	"B0 B1 --"	"C0 C1 C2"	"IC 2095"	72.19	-5.125
9	"IC 2247"	186	4282	150	23	1.2	148.5	0.1	148.5	0.1	0.79	0.0	"IoM G"	"S ab"	"A "	"AGN  "	"SGP"	-0.6	0.1	1.2	0.1	4265.3	66.1	150.9	9.9	326.3	8.8	58.5	20.2	4314	33	4261	65	4278	60	4290	52	"-- -- --"	"-- -- --"	"C0 C1 C2"	"IC 2247"	123.9961	23.19953
10	"IC 2487"	273	4339	165	28	1.2	164.7	0.2	162.9	0.2	0.79	0.0	"I G  "	"S c "	"AB"	"SF   "	"MGP"	-1.4	0.1	2.5	0.1	4293.1	27.0	340.6	11.9	165.5	6.0	82.1	15.0	4342	31	4312	25	4269	21	4287	18	"-- -- --"	"-- -- B2"	"-- C1 C2"	"IC 2487"	142.53828	20.09091
11	"IC 5309"	906	4198	30	18	2.4	20.3	0.2	25.1	0.2	0.55	0.0	"I G  "	"S c "	"AB"	"SF   "	"MGP"	0.3	0.2	0.7	0.1	4121.3	29.1	201.8	10.6	24.5	8.5	116.3	12.8	4308	51	4138	28	4130	29	4134	27	"-- -- --"	"-- -- --"	"-- -- C2"	"IC 5309"	349.79849	8.10933
