#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:43:07 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:43:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/482/154/tablea3&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74820154
#Name: J/MNRAS/482/154
#Title: GHASP. spiral galaxies dark matter distribution (Korsaga+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	creator=Korsaga M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.482..154K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/482/154	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74820154	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_482_154_tablea3:
#Name: J/MNRAS/482/154/tablea3
#Title: Parameters of mass models using the MDM technique with the pseudo-isothermal (ISO) model
#Column	ID	(A9)	Name of the galaxy in the UGC catalogue (UGC NNNNN)	[ucd=meta.id;meta.main]
#Column	M/LdMDM	(F5.2)	M/L of the disc from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LdMDM	(F5.2)	Upper error on M/LdMDM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LdMDM	(F5.2)	Lower error on M/LdMDM (1)	[ucd=stat.error]
#Column	M/LbMDM	(F5.2)	? M/L of the disc from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LbMDM	(F5.2)	? Upper error on M/LbMDM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LbMDM	(F5.2)	? Lower error on M/LbMDM (1)	[ucd=stat.error]
#Column	r0MDM	(F4.1)	Core radius of the dark matter halo from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.size.radius]
#Column	E_r0MDM	(F4.1)	Upper error on r0MDM (1)	[ucd=stat.error;stat.max]
#Column	e_r0MDM	(F4.1)	Lower error on r0MDM (1)	[ucd=stat.error]
#Column	rho0MDM	(I3)	Central density of the dark matter halo from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=phys.density]
#Column	E_rho0MDM	(I3)	Upper error on rho0MDM (1)	[ucd=stat.error;stat.max]
#Column	e_rho0MDM	(I3)	Lower error on rho0MDM (1)	[ucd=stat.error]
#Column	Chi2MDM	(F4.1)	Reduced chi-squared from the pseudo-isothermal maximum disc model (MDM) (1)	[ucd=stat.fit.chi2]
ID	M/LdMDM	E_M/LdMDM	e_M/LdMDM	M/LbMDM	E_M/LbMDM	e_M/LbMDM	r0MDM	E_r0MDM	e_r0MDM	rho0MDM	E_rho0MDM	e_rho0MDM	Chi2MDM
 	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	kpc	kpc	kpc	10-3Msun/pc3	10-3Msun/pc3	10-3Msun/pc3	
---------	-----	-----	-----	-----	-----	-----	----	----	----	---	---	---	----
UGC 00089	 2.01	 0.01	 1.91	 2.05	 0.80	 1.95	 3.6	 4.4	 3.1	 36	363	 36	 9.4
UGC 00094	 2.20	 0.01	 2.10	 7.82	 0.18	 7.72	 2.4	 0.1	 1.9	 81	668	 31	 4.8
UGC 00508	 4.10	 0.01	 4.00	 4.11	 0.89	 4.01	18.6	 0.1	18.1	 23	483	 23	 1.9
UGC 00528	 0.18	 0.01	 0.08	 0.19	 0.27	 0.09	 0.5	 0.1	 0.1	  0	239	  1	 3.2
UGC 00763	 0.97	 0.01	 0.87	 0.99	 3.01	 0.89	 3.4	 0.1	 2.9	 23	 82	 13	 2.8
UGC 01317	 3.10	 0.01	 3.00	     	     	     	 0.5	 2.9	 0.1	  0	106	  1	16.0
UGC 01437	 1.57	 0.01	 1.47	 1.96	 2.04	 1.86	 5.8	 2.2	 5.3	  2	103	  2	 3.0
UGC 01736	 0.70	 0.01	 0.60	 0.72	 3.28	 0.62	 2.7	 0.3	 2.2	115	 35	105	 6.4
UGC 01886	 2.50	 0.01	 2.40	 2.60	15.39	 2.51	14.1	 2.3	13.6	  4	101	  4	 5.9
UGC 01913	 0.32	 0.01	 0.22	 0.37	 3.63	 0.27	 4.6	 0.1	 4.1	 23	 82	 13	15.0
UGC 02045	 0.48	 0.01	 0.38	 1.70	 2.30	 1.59	 5.6	 2.4	 5.1	 67	 38	 67	 4.4
UGC 02080	 2.73	 0.01	 2.63	 2.79	 5.21	 2.69	 0.5	 1.5	 0.1	  0	106	  1	 2.9
UGC 02183	 1.25	 0.01	 1.15	 1.25	 0.18	 1.15	 1.2	 6.8	 0.7	 81	218	 81	 8.0
UGC 02193	 3.65	 0.01	 3.54	 3.65	 0.35	 3.54	 7.1	 0.1	 6.6	 77	428	 67	 2.7
UGC 02503	 0.26	 0.01	 0.16	 0.28	 3.72	 0.18	 1.5	 0.7	 1.0	661	 88	561	18.5
UGC 02800	 0.21	 0.01	 0.11	     	     	     	 2.4	 1.0	 1.9	 25	 80	 15	 6.8
UGC 02855	 0.10	 0.01	 0.01	 0.10	 0.01	 0.01	 0.5	 7.0	 0.1	  0	  9	  1	29.5
UGC 03013	 1.30	 0.01	 1.20	 1.34	 0.71	 1.24	 0.5	 7.5	 0.1	  0	106	  1	 9.9
UGC 03334	 3.17	 0.01	 3.07	 3.33	 4.67	 3.23	 0.5	 7.5	 0.1	  0	106	  1	12.4
UGC 03382	 1.50	 0.10	 1.40	 1.55	 3.45	 1.45	 8.5	 9.5	 8.0	 49	 50	 19	 2.5
UGC 03463	 2.34	 0.01	 2.24	 2.40	 1.60	 2.30	 1.9	 0.9	 1.4	  7	 98	  7	 3.2
UGC 03521	 1.52	 0.98	 1.42	 1.52	 2.48	 1.42	 1.5	 1.7	 1.0	135	164	125	 0.7
UGC 03528	 4.00	 0.01	 3.90	 4.05	 3.95	 3.95	 0.5	 6.0	 0.1	  0	200	  1	12.2
UGC 03708	 0.76	 0.01	 0.66	     	     	     	 2.2	35.8	 1.7	 90	109	 10	 2.0
UGC 03809	 4.59	 0.01	 4.49	 7.64	 0.36	 7.54	 0.7	 0.7	 0.2	484	265	384	 8.0
