#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:43:09 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:43:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/482/154/tablea4&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74820154
#Name: J/MNRAS/482/154
#Title: GHASP. spiral galaxies dark matter distribution (Korsaga+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/482/154	    IVOID of underlying data collection
#INFO	creator=Korsaga M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.482..154K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/482/154	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74820154	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_482_154_tablea4:
#Name: J/MNRAS/482/154/tablea4
#Title: Parameters of mass models using the BFM and fixed M/L techniques with the NFW model
#Column	ID	(A9)	Name of the galaxy in the UGC catalogue (UGC NNNNN)	[ucd=meta.id;meta.main]
#Column	M/LdNFWBFM	(F5.2)	M/L of the disc from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LdNFWBFM	(F5.2)	Upper error on M/LdNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LdNFWBFM	(F5.2)	Lower error on M/LdNFWBFM (1)	[ucd=stat.error]
#Column	M/LbNFWBFM	(F5.2)	? M/L of the bulge from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=phys.composition.massLightRatio]
#Column	E_M/LbNFWBFM	(F5.2)	? Upper error on M/LbNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_M/LbNFWBFM	(F5.2)	? Lower error on M/LbNFWBFM (1)	[ucd=stat.error]
#Column	cNFWBFM	(F4.1)	Central halo concentration index from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=meta.code;spect.index]
#Column	E_cNFWBFM	(F4.1)	Upper error on cNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_cNFWBFM	(F4.1)	Lower error on cNFWBFM (1)	[ucd=stat.error]
#Column	VNFWBFM	(F5.1)	Halo velocity from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=phys.veloc]
#Column	E_VNFWBFM	(F5.1)	Upper error on VNFWBFM (1)	[ucd=stat.error;stat.max]
#Column	e_VNFWBFM	(F5.1)	Lower error on VNFWBFM (1)	[ucd=stat.error]
#Column	Chi2VNFWBFM	(F4.1)	Reduced chi-squared from the best-fitting model (BFM) for lambda-CDM cuspy density profile (1)	[ucd=stat.fit.chi2]
#Column	M/LNFWfML	(F5.2)	M/L derived using the B-V colour (2)	[ucd=phys.composition.massLightRatio]
#Column	cNFWfML	(F5.1)	Central halo concentration index from lambda-CDM cuspy density profile fitting with fixed M/L (3)	[ucd=meta.code;spect.index]
#Column	E_cNFWfML	(F5.1)	Upper error on cNFWfML (3)	[ucd=stat.error;stat.max]
#Column	e_cNFWfML	(F4.1)	Lower error on cNFWfML (3)	[ucd=stat.error]
#Column	VNFWfML	(F5.1)	Halo velocity from lambda-CDM cuspy density profile fitting with fixed M/L (3)	[ucd=phys.veloc]
#Column	E_VNFWfML	(F5.1)	Upper error on VNFWfML (3)	[ucd=stat.error;stat.max]
#Column	e_VNFWfML	(F5.1)	Lower error on VNFWfML (3)	[ucd=stat.error]
#Column	Chi2NFWfML	(F6.1)	Reduced chi-squared from lambda-CDM cuspy density profile fitting with fixed M/L (3)	[ucd=stat.fit.chi2]
ID	M/LdNFWBFM	E_M/LdNFWBFM	e_M/LdNFWBFM	M/LbNFWBFM	E_M/LbNFWBFM	e_M/LbNFWBFM	cNFWBFM	E_cNFWBFM	e_cNFWBFM	VNFWBFM	E_VNFWBFM	e_VNFWBFM	Chi2VNFWBFM	M/LNFWfML	cNFWfML	E_cNFWfML	e_cNFWfML	VNFWfML	E_VNFWfML	e_VNFWfML	Chi2NFWfML
 	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	Msun/Lsun	 	 	 	km/s	km/s	km/s	 	Msun/Lsun	 	 	 	km/s	km/s	km/s	
---------	-----	-----	-----	-----	-----	-----	----	----	----	-----	-----	-----	----	-----	-----	-----	----	-----	-----	-----	------
UGC 00089	 1.68	 0.05	 1.58	 1.70	 1.15	 1.59	 5.1	 6.5	 4.1	500.0	  0.1	490.0	 7.8	 1.52	  6.9	  5.3	 5.9	455.5	 44.5	445.5	   8.0
UGC 00094	 0.37	 1.15	 0.27	 0.46	 7.54	 0.36	45.2	 4.3	35.2	105.9	 94.1	 85.9	 3.8	 1.41	 43.1	  1.1	33.1	 89.5	110.5	 69.5	   4.0
UGC 00508	 0.59	 1.91	 0.49	 2.14	 1.86	 2.04	20.5	 7.9	12.5	390.9	109.1	190.9	 1.3	 2.20	 14.6	  2.0	 6.6	397.7	102.3	197.7	   1.3
UGC 00528	 0.10	 0.01	 0.01	 0.10	 0.35	 0.01	58.8	19.3	57.8	 25.8	 74.2	 24.8	 2.3	 0.78	  1.0	106.0	 0.1	  1.0	  0.1	  0.1	 177.7
UGC 00763	 0.26	 0.16	 0.16	 0.28	 3.72	 0.18	11.0	 1.2	10.0	 89.1	310.9	 69.1	 2.8	 0.73	  4.0	  0.6	 3.0	175.4	224.5	155.5	   3.0
UGC 01317	 0.10	 0.05	 0.01	     	     	     	28.0	 0.1	27.0	128.2	171.8	108.2	 4.1	 1.15	 28.0	  0.1	27.0	102.7	197.3	 82.7	   5.4
UGC 01437	 1.30	 0.11	 1.20	 2.05	 1.95	 1.95	 2.3	53.5	 1.3	159.1	 40.9	139.1	 2.4	 1.00	 44.3	  1.3	43.3	 77.3	122.7	 57.3	   2.6
UGC 01736	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	 5.1	 3.5	 4.1	472.7	 27.3	372.7	 5.9	 0.84	  4.0	  0.6	 3.0	500.0	  0.1	400.0	   7.3
UGC 01886	 0.41	 1.31	 0.31	 0.64	 7.36	 0.54	31.5	 8.9	30.5	149.5	250.5	129.5	 4.2	 1.18	 18.8	  3.8	17.8	149.5	250.5	129.5	   3.6
UGC 01913	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	 1.6	 0.1	 0.6	500.0	  0.1	480.0	21.2	 0.89	  1.0	  0.1	 0.1	303.6	  0.1	283.6	  37.4
UGC 02045	 0.10	 0.01	 0.01	 1.16	 2.84	 1.06	10.0	 0.1	 9.0	286.4	 13.6	285.4	 3.6	 1.32	 55.0	 45.0	54.0	  1.0	  0.1	  0.1	  63.0
UGC 02080	 0.92	 0.82	 0.82	 8.00	 0.01	 7.90	14.6	 7.3	13.6	 77.3	122.7	 57.3	 2.2	 1.29	 17.7	  0.1	16.7	 60.9	139.1	 40.9	   2.2
UGC 02183	 0.10	 0.33	 0.01	 0.72	 0.71	 0.62	54.5	 2.5	53.5	 64.5	335.5	 63.5	 5.2	 1.55	  1.0	 56.0	 0.1	  1.0	 27.2	  0.1	  18.1
UGC 02193	 0.10	 0.71	 0.01	 0.10	 3.90	 0.01	 9.3	11.8	 8.3	390.9	109.1	290.9	 2.1	 1.03	  6.9	  5.3	 5.9	472.7	 27.3	372.7	   2.2
UGC 02503	 0.10	 0.01	 0.01	 0.10	 3.90	 0.01	21.1	 4.1	20.1	201.4	198.6	181.4	19.5	 1.32	  9.3	  3.5	 8.3	158.2	241.8	138.2	  35.2
UGC 02800	 0.10	 0.05	 0.01	     	     	     	 2.2	 1.8	 1.2	363.6	 36.4	163.6	 6.9	 0.69	  1.0	  0.1	 0.1	200.0	  0.1	  0.1	 103.9
UGC 02855	 0.10	 0.01	 0.01	 0.10	 0.01	 0.01	 1.0	 0.6	 0.1	 69.0	 34.0	 68.0	27.1	 1.08	 27.0	  0.1	26.0	  1.0	  0.1	  0.1	6891.3
UGC 03013	 0.10	 0.16	 0.01	 0.10	 1.95	 0.01	32.8	 5.1	31.8	178.2	121.8	101.8	 6.4	 1.03	 13.7	  6.4	12.7	 70.9	229.1	 50.9	   7.6
UGC 03334	 2.39	 0.11	 2.29	 2.40	 1.60	 2.30	 3.5	28.0	 2.5	339.5	 60.5	319.5	 9.4	 1.09	 27.7	  0.1	26.7	192.7	207.3	172.7	   9.8
UGC 03382	 0.10	 1.09	 0.01	 0.10	 3.90	 0.01	23.9	 9.8	22.9	236.4	263.6	136.4	 1.8	 1.55	  5.1	  2.5	 4.1	481.8	 18.2	381.8	   2.9
UGC 03463	 1.25	 0.33	 1.15	 1.25	 2.75	 1.15	12.2	 7.1	11.2	 97.7	302.3	 77.7	 2.5	 1.18	 12.8	  0.6	11.8	 97.7	302.3	 77.7	   2.4
