#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:45:15 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:45:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/478/1611/table9&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74781611
#Name: J/MNRAS/478/1611
#Title: Local Volume H I Survey (LVHIS) (Koribalski+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/478/1611	    IVOID of underlying data collection
#INFO	creator=Koribalski B.S.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.478.1611K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/478/1611	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74781611	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_478_1611_table9:
#Name: J/MNRAS/478/1611/table9
#Title: ATCA HI kinematic properties of LVHIS galaxies
#Column	HIPASS	(A15)	HIPASS name (HIPASS JHHMM+DDA)	[ucd=meta.id;meta.main]
#Column	OName	(a12)	Optical galaxy name	[ucd=meta.id]
#Column	vrot	(F5.1)	Rotational velocity near the maximum fitted HI radius	[ucd=phys.size.radius;stat.max]
#Column	Rmax	(F4.1)	Radius of the fitted HI disc	[ucd=phys.size.radius]
#Column	i	(F4.1)	Fitted inclination or lower value of fitted inclination interval over the fitted HI disk	[ucd=src.orbital.inclination;meta.modelled]
#Column	imax	(I3)	? Upper value of fitted inclination interval	[ucd=src.orbital.inclination]
#Column	u_i	(A1)	[)] Uncertainty flag on i	[ucd=meta.code.error]
#Column	l_PA	(A1)	[~] Limit flag on PA	[ucd=meta.code.error]
#Column	PA	(F5.1)	Position angle or lower value of position angle interval over the fitted HI disk	[ucd=pos.posAng;stat.min]
#Column	PAmax	(I3)	? Upper value of position angle interval	[ucd=pos.posAng;stat.max]
#Column	logMdyn	(F5.2)	Dynamical mass (Mdyn=2.31x10^5^vrot^2^Rmax)	[ucd=phys.mass]
#Column	MHI/Mdyn	(F6.3)	HI to dynamical mass ratio	[ucd=phys.mass.loss]
#Column	l_Nbeam	(A1)	[~< ] Limit flag on Nbeam	[ucd=meta.code.error]
#Column	Nbeam	(I2)	? Number of of resolution elements across the HI disc major axis	[ucd=meta.number]
#Column	n_Nbeam	(A1)	[+?] Note on Nbeam	[ucd=meta.note]
#Column	Notes	(a20)	Notes (1)	[ucd=meta.note]
HIPASS	OName	vrot	Rmax	i	imax	u_i	l_PA	PA	PAmax	logMdyn	MHI/Mdyn	l_Nbeam	Nbeam	n_Nbeam	Notes
 	 	km/s	kpc	deg	 	 	 	deg	deg	[Msun]	 	 	 	 	
---------------	------------	-----	----	----	---	-	-	-----	---	-----	------	-	--	-	--------------------
HIPASS J0008-34	ESO349-G031 	 19.3	 2.0	42.0	   	 	 	298.0	   	 8.24	 0.066	 	 9	 	C2000
HIPASS J0015-39	NGC 55      	 69.7	20.1	85.0	 67	 	 	110.0	 93	10.35	 0.096	 	 8	+	warped, W2013
HIPASS J0047-25	NGC 253     	200.0	17.2	77.0	 80	 	 	229.0	   	11.20	 0.017	 	 8	+	starburst
HIPASS J0054-37	NGC 300     	 82.7	20.8	40.0	 50	 	 	290.0	332	10.52	 0.058	 	 8	+	warped, W2011
HIPASS J0145-43	ESO245-G005 	 51.0	 6.4	36.0	   	 	 	 70.0	 98	 9.59	 0.100	~	12	 	warped, K2012
HIPASS J0145-43	ESO245-G005 	 47.7	 6.7	54.0	   	 	 	 88.0	   	 9.55	 0.110	~	36	 	C2000
HIPASS J0237-61	ESO115-G021 	 63.0	10.4	90.0	 80	 	~	 45.0	   	 9.97	 0.068	 	 8	+	
HIPASS J0256-54	ESO154-G023 	 63.6	15.7	79.7	   	 	 	218.3	   	10.17	 0.070	 	 8	+	warped
HIPASS J0317-66	NGC 1313    	220.0	10.3	20.0	   	 	~	 10.0	   	11.06	 0.017	 	 8	+	
HIPASS J0320-52	NGC 1311    	 42.4	 3.6	71.4	   	 	 	 40.5	   	 9.18	 0.062	<	 8	 	
HIPASS J0333-50	IC 1959     	 65.9	 5.3	78.8	   	 	 	149.0	   	 9.73	 0.042	<	 8	 	
HIPASS J0605-33	ESO364-G029 	 40.0	 4.4	70.5	   	 	 	 60.0	   	 9.21	 0.186	 	  	?	
HIPASS J0607-34	AM0605-341  	 85.0	 4.3	50.0	   	)	 	274.0	   	 9.86	 0.016	~	 5	 	K2012
HIPASS J0615-57	ESO121-G020 	 48.7	 3.2	40.0	   	)	 	265.0	   	 9.24	 0.036	~	 7	 	K2012
HIPASS J0639-40	ESO308-G022 	 40.0	 4.1	40.0	   	)	 	 82.0	   	 9.18	 0.041	~	 5	 	K2012
HIPASS J0705-58	AM0704-582  	 38.5	 6.1	53.6	   	 	 	275.9	   	 9.32	 0.092	 	 8	+	
HIPASS J0705-58	AM0704-582  	 57.0	 5.3	35.0	   	)	 	276.0	   	 9.60	 0.047	~	 9	 	K2012
HIPASS J0731-68	ESO059-G001 	 61.0	 5.4	50.2	   	 	 	323.4	   	 9.67	 0.019	 	 8	+	
HIPASS J0731-68	ESO059-G001 	 61.8	 4.4	45.0	   	 	 	329.0	319	 9.59	 0.021	~	 9	 	K2012
HIPASS J0926-76	NGC 2915    	 80.0	 7.7	52.7	   	 	 	292.6	   	10.06	 0.028	 	 8	+	E2011
HIPASS J1057-48	ESO215-G009 	 93.0	 9.3	18.5	   	 	 	119.7	   	10.27	 0.040	 	  	?	i<20{deg}, uncertain
HIPASS J1057-48	ESO215-G009 	 53.8	 9.7	35.0	   	 	 	123.0	116	 9.81	 0.109	~	 9	 	K2012
HIPASS J1118-32	NGC 3621    	130.0	39.0	65.0	 77	 	 	345.0	362	11.18	 0.060	 	 8	+	warped
HIPASS J1219-79	IC 3104     	 15.3	 1.6	89.0	   	 	 	205.9	   	 7.94	 0.113	<	 8	 	
