recno	Seq	RAJ2000	DEJ2000	z	logM	MaNGA	Sel	Phot	IFU18	MCat	SimbadName
1	1	213.834862	52.3459366	0.0745125	14.0	"8591-3704  "	1	1	0	2	"MaNGA 8591-3704"
2	2	195.088192	26.7887007	0.1460274	14.0	"11009-6104 "	1	1	1	1	"MaNGA 11009-6104"
3	3	119.023042	33.7445348	0.0742991	14.01	"8977-3703  "	1	1	0	2	"MaNGA 8977-3703"
4	4	126.502387	40.9811098	0.0575645	14.01	"10496-6104 "	1	0	0	1	"MaNGA 10496-6104"
5	5	249.101963	28.6177833	0.1444254	14.02	"11823-12704"	1	1	1	1	"MaNGA 11823-12704"
6	6	131.301993	29.3062335	0.0999816	14.02	"10499-6101 "	1	1	1	1	"MaNGA 10499-6101"
7	7	132.787323	27.355888	0.1198074	14.02	"9506-6103  "	1	2	1	2	"MaNGA 9506-6103"
8	8	248.02191	13.6474084	0.0522497	14.02	"8609-9102  "	1	0	0	1	"MaNGA 8609-9102"
9	9	177.546947	53.7225048	0.060313	14.02	"11872-12701"	1	1	0	1	"MaNGA 11872-12701"
10	10	127.528158	45.3517744	0.1482441	14.03	"8725-6104  "	1	2	1	2	"MaNGA 8725-6104"
11	11	240.348548	26.1161536	0.0875589	14.03	"9089-6103  "	1	0	0	1	"MaNGA 9089-6103"
12	12	118.11363	19.5401717	0.1155163	14.03	"9497-6101  "	1	2	1	2	"MaNGA 9497-6101"
13	13	222.810125	32.3782013	0.0883005	14.03	"9002-3703  "	1	2	0	2	"MaNGA 9002-3703"
14	14	235.475817	28.1340056	0.03322	14.03	"9888-12701 "	0	2	0	2	"MaNGA 9888-12701"
15	15	247.694963	47.7948292	0.1279589	14.03	"8483-6104  "	0	0	0	2	"MaNGA 8483-6104"
16	16	212.955985	52.8167901	0.076489	14.04	"8591-6102  "	1	1	0	2	"MaNGA 8591-6102"
17	17	168.743724	53.6250028	0.1048493	14.04	"9000-9101  "	1	1	1	2	"MaNGA 9000-9101"
18	18	181.827567	46.7275499	0.1014518	14.04	"8261-3702  "	1	0	0	2	"MaNGA 8261-3702"
19	19	258.84568	57.4112548	0.0273026	14.05	"8625-12704 "	1	2	0	2	"MaNGA 8625-12704"
20	20	229.429418	27.8953518	0.1195061	14.05	"9891-12701 "	1	2	1	2	"MaNGA 9891-12701"
21	21	148.962806	1.57813456	0.100966	14.05	"10845-3701 "	1	1	0	1	"MaNGA 10845-3701"
