recno	Name	Dist	PA	incl	Vrot	logMsp	logLB	R25	hd	12+log(O/H)0	12+log(O/H)R25	NA	NB
1	"7443 06101"	133.8	111.5	39.4	122.6	9.23	9.17	5.19	2.15	8.436	8.129	333	261
2	"7443 06103"	82.8	200.5	58.0	112.4	9.56	9.62	5.82	1.79	8.411	8.32	1139	876
3	"7443 12705"	271.1	40.5	63.9	212.4	10.94	10.29	19.71	9.55	8.626	8.41	1214	864
4	"7495 12703"	130.7	15.1	63.9	200.7	10.6	10.26	16.16	6.49	8.674	8.457	2159	1604
5	"7495 12704"	127.5	352.0	57.3	220.0	10.87	10.43	17.31	5.97	8.669	8.572	2189	1404
6	"7815 09101"	117.9	305.3	55.0	154.1	10.17	9.78	8.86	3.66	8.603	8.428	1229	1059
7	"7815 09102"	169.3	79.6	59.3	109.0	9.41	9.73	8.62	4.37	8.518	8.185	474	399
8	"7815 12702"	163.1	287.1	52.2	120.5	9.58	9.6	9.09	4.31	8.439	8.227	521	447
9	"7815 12704"	178.1	75.3	66.1	219.4	11.07	10.21	15.11	5.53	8.586	8.597	745	594
10	"7957 06104"	111.2	261.4	60.8	138.1	9.76	9.99	8.36	2.31	8.467	8.294	1261	887
11	"7957 09102"	111.4	238.6	46.7	163.5	10.17	10.11	10.53	3.18	8.579	8.36	1898	1418
12	"7957 12705"	307.5	210.2	42.5	247.1	11.1	10.49	22.36	8.38	8.681	8.483	905	618
13	"7962 12702"	204.5	208.6	59.3	169.7	10.36	10.22	19.33	8.76	8.592	8.166	1532	1140
14	"7975 09101"	261.3	313.9	33.1	274.4	10.9	10.51	20.27	9.83	8.673	8.424	1949	1226
15	"7977 06103"	143.5	78.0	60.6	111.7	9.54	9.31	6.26	3.09	8.528	8.216	453	380
16	"7991 09101"	120.6	11.6	65.2	139.6	10.18	9.61	8.19	3.52	8.628	8.453	817	725
17	"7991 12701"	123.6	185.1	62.1	202.5	0.0	10.26	12.58	4.1	8.667	8.461	2224	1376
18	"7992 09101"	83.7	19.3	52.6	102.7	9.01	9.23	5.88	2.79	8.285	8.009	594	439
19	"8082 12701"	106.5	10.3	50.3	183.7	10.71	10.11	11.88	4.08	8.659	8.452	2652	2006
