recno	Bin	log(r0/s)	log(e_r0/s)	log(E_r0/s)	log(rho0/s)	log(e_rho0/s)	log(E_rho0/s)	log(Rd)	log(e_Rd)	log(E_Rd)	log(RH2)	log(e_RH2)	log(E_RH2)	log(Md)	log(e_Md)	log(E_Md)	log(MH2)	log(e_MH2)	log(E_MH2)	log(MHI)	log(e_MHI)	log(E_MHI)	log(Mbulge)	log(e_Mbulge)	log(E_Mbulge)	log(Rvir)	log(e_Rvir)	log(E_Rvir)	log(Mvir)	log(e_Mvir)	log(E_Mvir)	log(Vvir)	log(e_Vvir)	log(E_Vvir)	Vc	e_Vc	RChi2	MCMCflag
1	"bin_0 "	0.745047	0.457885	1.112909	-24.2454	-24.8957	-23.6814	0.127368	0.100244	0.156612	1.019985	1.019985	1.019985	9.334479	9.20116	9.457885	9.223827	9.189299	9.255788	10.998499	10.931735	11.070626	7.233222	6.454071	8.015956	1.800868	1.734162	1.899958	10.460657	10.261665	10.757642	1.64673	1.580587	1.74571	82.44882	11.887526	1.09358	"ok"
2	"bin_1 "	0.428164	0.177216	1.11651	-23.2115	-24.6445	-22.6633	0.251366	0.187732	0.321577	1.156425	1.156425	1.156425	9.296667	8.917791	9.779861	9.190915	9.09279	9.316059	10.995837	10.734425	11.200812	8.326242	6.792573	9.051938	1.88888	1.846481	2.005306	10.724153	10.598882	11.074436	1.734622	1.693035	1.8514	95.60899	4.896093	1.01141	"ok"
3	"bin_2 "	0.24717	-0.193374	1.043618	-22.9611	-24.5317	-21.961	0.215328	0.157403	0.276792	0.930206	0.930206	0.930206	9.23705	9.041895	9.558219	9.251365	9.200821	9.334545	11.10398	10.930224	11.20956	8.557097	7.084265	9.215957	1.804971	1.727705	1.983447	10.474583	10.243226	11.009922	1.651641	1.574542	1.830073	114.51093	4.570884	1.0219	"ok"
4	"bin_3 "	0.226575	-0.088157	1.202459	-22.6687	-24.4951	-22.0086	0.282171	0.202442	0.358912	1.003865	1.003865	1.003865	8.797286	8.620786	9.636553	9.163382	9.11767	9.380746	11.367808	10.913758	11.463297	8.458394	6.799164	9.365473	1.892233	1.819692	2.16148	10.73466	10.518038	11.54353	1.738049	1.666008	2.00786	127.22703	4.310393	1.03661	"ok"
5	"bin_4 "	0.634939	0.403114	1.01789	-23.292	-24.0508	-22.8147	0.195271	0.144064	0.245317	1.105709	1.105709	1.105709	9.464032	8.850405	9.915368	9.288822	9.129898	9.405715	10.959852	10.715675	11.291829	7.974422	6.788006	9.006345	2.065326	2.014645	2.152401	11.255596	11.103409	11.515684	1.911942	1.861217	1.998477	139.1742	3.816056	1.00916	"ok"
6	"bin_5 "	0.700934	0.509928	0.928073	-23.3351	-23.788	-22.9583	0.156293	0.118915	0.192584	1.111863	1.111863	1.111863	9.455348	8.973099	9.842866	9.358328	9.233429	9.458692	11.036305	10.826654	11.297205	7.759099	6.544951	8.711895	2.114727	2.067563	2.165653	11.402455	11.261057	11.555793	1.960739	1.913582	2.011905	153.43448	3.470229	1.02888	"ok"
7	"bin_6 "	1.072675	0.554951	1.468472	-24.0767	-24.7581	-23.0751	0.257579	0.19808	0.312589	1.031686	1.031686	1.031686	9.960247	9.058408	10.184117	9.422715	9.189146	9.480696	10.696773	10.575657	11.184675	7.758327	6.675288	8.849233	2.196563	2.071265	2.313549	11.648983	11.27255	11.999485	2.043045	1.917478	2.159803	160.13918	2.300104	1.03693	"ok"
8	"bin_7 "	0.832066	0.57406	1.196366	-23.5108	-24.201	-23.0261	0.269226	0.203975	0.334754	1.101776	1.101776	1.101776	9.586841	8.839527	10.082686	9.411035	9.217486	9.539454	10.983817	10.715561	11.388119	7.821969	6.538804	9.093681	2.177936	2.106647	2.271017	11.592568	11.378786	11.872205	2.024151	1.952905	2.117429	167.25752	1.905545	1.02769	"ok"
9	"bin_8 "	0.709758	0.567334	0.903387	-23.2758	-23.6824	-22.9869	0.241789	0.183926	0.296566	1.04161	1.04161	1.04161	9.664383	9.232928	10.024895	9.358724	9.24698	9.452093	10.869472	10.674432	11.102893	7.783713	6.635519	8.854259	2.146242	2.113391	2.184802	11.498112	11.399417	11.613734	1.992764	1.959848	2.031301	175.5177	2.935554	1.09284	"ok"
10	"bin_9 "	0.975865	0.773771	1.221271	-23.6766	-24.1137	-23.2955	0.238426	0.175007	0.301697	1.257188	1.257188	1.257188	9.549943	8.794161	9.991911	9.345902	9.15016	9.460368	10.948202	10.709094	11.357086	9.015482	7.692155	9.48352	2.258265	2.204772	2.329704	11.83424	11.672971	12.047823	2.104776	2.050935	2.175895	185.0943	2.691488	1.00759	"ok"
