recno	KID	Name	z	inc	Re	e_Re	Ve	e_Ve	Vopt	e_Vopt	Vout	e_Vout	Mstar	e_Mstar	MH2	e_MH2	MHI	e_MHI	Rot/Disp	log(Rgas)	log(e_Rgas)	RoutFlag	MstarFlag	WiggleFlag	RgasFlag	_RA	_DE
1	13	"C-HiZ_z1_195"	0.845449	41.2412	2.129356	0.638807	49.28188	23.568637	58.34788	23.225949	72.84826	12.014208	4.14028E9	1.90797E9	2.27587E9	3.52172E9	8.11536E10	2.05842E11	1.233246	1.023472	0.949854	"ok"	"ok"	"ok"	"ok"	150.14436	2.24157
2	20	"C-HiZ_z1_245"	0.833362	61.5276	3.495298	1.04859	129.28829	41.369983	161.60777	7.986684	167.48763	13.472517	7.96215E9	3.6692E9	2.93869E9	6.857E9	6.34646E10	2.42734E11	3.464285	1.191345	1.105586	"ok"	"ok"	"ok"	"ok"	150.25717	1.86422
3	21	"C-HiZ_z1_246"	0.842185	41.9634	2.615322	0.784597	64.69055	27.917332	108.34017	14.826526	133.6406	13.54372	4.29567E9	1.97957E9	1.87724E9	3.61252E9	6.53759E10	2.06218E11	2.676636	1.562608	1.369252	"ok"	"ok"	"ok"	"F "	150.25927	2.32429
4	25	"C-HiZ_z1_258"	0.837601	50.5938	4.604157	1.381247	219.45462	29.419044	215.27648	21.558087	222.90006	21.096885	1.06913E10	4.92687E9	2.6334E9	9.13405E9	4.45846E10	2.53484E11	2.557423	1.274338	1.145263	"ok"	"ok"	"ok"	"ok"	150.27355	1.8827
5	28	"C-HiZ_z1_267"	0.839406	31.0983	4.431997	1.329599	118.79078	33.677509	114.90277	9.904385	131.22659	20.780412	2.2544E9	1.03889E9	1.29085E9	1.86038E9	7.56725E10	1.78765E11	9.085796	1.024042	0.977367	"ok"	"ok"	"ok"	"ok"	150.29337	1.88582
6	31	"C-HiZ_z1_275"	0.850856	63.7516	2.456358	0.736907	194.23758	84.381556	165.0639	18.739843	159.74998	13.320511	8.26095E9	3.80689E9	3.2533E9	7.15139E9	6.61138E10	2.38219E11	2.129289	1.026129	0.914777	"ok"	"ok"	"ok"	"ok"	150.30345	2.2882
7	32	"C-HiZ_z1_277"	0.838363	36.708	4.153598	1.246079	136.48926	47.208245	88.18247	8.550185	88.6122	10.936952	1.06913E10	4.92687E9	2.01057E9	8.98996E9	3.39932E10	2.49144E11	2.756525	1.292748	1.186713	"ok"	"ok"	"ok"	"ok"	150.30703	2.04821
8	34	"C-HiZ_z1_285"	0.833804	71.3147	1.582058	0.474617	75.97914	28.621555	78.87823	25.198197	83.0967	9.247468	4.88686E9	2.25201E9	2.05448E9	4.13029E9	6.55141E10	2.1589E11	1.041014	1.250787	0.98913	"ok"	"ok"	"ok"	"ok"	150.31317	1.91562
9	35	"C-HiZ_z1_289"	0.842692	46.2918	3.717569	1.115271	144.44774	56.904508	191.44091	11.635577	202.25669	9.848118	1.12987E10	5.20679E9	3.23414E9	9.76611E9	5.19113E10	2.56947E11	4.973199	0.901477	0.873617	"ok"	"ok"	"ok"	"ok"	150.32364	2.04407
10	39	"C-HiZ_z1_297"	0.840623	36.1191	3.708441	1.112532	221.42436	69.368325	210.13589	18.285711	259.15595	22.374203	2.23373E10	1.02937E10	4.40073E9	1.95988E10	4.10996E10	3.00027E11	3.010837	0.718716	0.691475	"ok"	"ok"	"ok"	"ok"	150.33128	2.04701
11	45	"C-HiZ_z1_314"	0.83488	42.376	1.768777	0.530633	242.80861	71.267287	251.58285	63.450842	258.00026	14.825661	1.00238E10	4.61924E9	4.77263E9	8.87214E9	8.54966E10	2.60519E11	1.321536	0.579718	0.553097	"ok"	"ok"	"ok"	"ok"	150.36004	1.93714
12	46	"C-HiZ_z1_317"	0.85378	68.8397	3.951944	1.185583	191.39823	58.246038	216.78927	13.376888	290.45762	14.503594	1.9635E10	9.04838E9	5.07295E9	1.73751E10	5.13057E10	2.88039E11	1.227127	0.99453	0.894242	"ok"	"ok"	"ok"	"ok"	150.36298	1.94382
