recno	Name	log(r0/s)	log(e_r0/s)	log(E_r0/s)	log(rho0/s)	log(e_rho0/s)	log(E_rho0/s)	log(Rd)	log(e_Rd)	log(E_Rd)	log(RH2)	log(e_RH2)	log(E_RH2)	log(Md)	log(e_Md)	log(E_Md)	log(MH2)	log(e_MH2)	log(E_MH2)	log(MHI)	log(e_MHI)	log(E_MHI)	log(Mbulge)	log(e_Mbulge)	log(E_Mbulge)	log(Rvir)	log(e_Rvir)	log(E_Rvir)	log(Mvir)	log(e_Mvir)	log(E_Mvir)	log(Vvir)	log(e_Vvir)	log(E_Vvir)	Vc	e_Vc
1	"C-HiZ_z1_245"	1.171919	1.009311	1.59193	-24.0257	-24.6803	-23.7737	0.349441	0.27042	0.414714	1.191345	1.191345	1.191345	9.433153	8.575468	10.027268	9.34642	9.123265	9.500998	11.0551	10.734386	11.518093	7.331178	6.007383	8.391267	2.316074	2.253445	2.467853	12.007404	11.818752	12.462563	2.1625	2.099489	2.31419	167.48763	13.472517
2	"C-HiZ_z1_258"	0.215889	-1.274436	0.846141	-22.4442	-24.4194	-20.3151	0.526364	0.410486	0.607287	1.274338	1.274338	1.274338	10.70045	9.278636	10.948657	9.595004	9.225506	9.659507	10.286536	10.152474	11.05449	9.651154	7.723425	10.117671	2.055499	0.448789	2.231578	11.224711	6.38789	11.753465	1.901441	0.286386	2.077779	222.90006	21.096885
3	"C-HiZ_z1_267"	0.169716	0.069573	0.666597	-22.5073	-24.3376	-22.3064	0.423326	0.330782	0.508054	1.024042	1.024042	1.024042	9.133609	8.708592	10.124979	9.053883	8.943486	9.311389	10.997481	10.461891	11.227097	7.9599	6.462194	9.403216	1.89	1.814183	1.911826	10.72889	10.500721	10.793373	1.73628	1.660104	1.757679	131.22659	20.780412
4	"C-HiZ_z1_275"	-0.392053	-0.845293	0.015623	-20.9129	-21.9864	-19.7145	0.166069	0.131853	0.201475	1.026129	1.026129	1.026129	9.496529	9.007267	10.003913	9.403444	9.276758	9.534821	11.047812	10.773283	11.312537	8.560025	6.884457	9.693458	1.920258	1.88663	1.950496	10.818269	10.719622	10.909178	1.765991	1.733305	1.796376	159.74998	13.320511
5	"C-HiZ_z1_289"	0.92099	0.411304	1.451093	-23.6744	-24.9743	-23.1786	0.552627	0.400825	0.656244	0.901477	0.901477	0.901477	10.577476	9.553991	11.008493	9.645859	9.380252	9.757713	10.431805	10.198846	10.984987	9.104115	7.642541	9.543388	2.219169	1.586782	2.311858	11.716335	9.819426	11.994166	2.065418	1.433157	2.15799	202.25669	9.848118
6	"C-HiZ_z1_297"	-0.17711	-0.447921	0.170982	-21.2632	-22.0559	-20.6524	0.331254	0.236755	0.416305	0.718716	0.718716	0.718716	8.783119	8.623873	9.042881	9.236919	9.195569	9.304369	11.459961	11.319602	11.546008	8.302002	6.672892	9.743917	2.004447	1.953407	2.072001	11.073264	10.919505	11.274101	1.851127	1.799884	1.917895	259.15595	22.374203
7	"C-HiZ_z1_314"	0.270236	0.095737	0.50117	-22.1079	-22.6012	-21.7408	0.018405	0.013741	0.0234	0.579718	0.579718	0.579718	9.88515	9.63346	10.142529	9.64862	9.583162	9.715557	10.994516	10.85555	11.13041	7.919732	6.38681	9.207922	2.145621	2.105967	2.19212	11.495982	11.376056	11.635578	1.992016	1.951929	2.038564	258.00026	14.825661
8	"C-HiZ_z1_319"	0.173418	0.024296	1.864283	-22.187	-25.3582	-21.8489	0.575214	0.115777	0.824609	1.384057	1.384057	1.384057	9.296478	8.127178	10.326277	9.106003	8.802332	9.373446	10.918825	10.362428	11.550594	7.894817	6.706341	8.903947	2.018825	1.993122	2.438849	11.114558	11.039016	12.375598	1.864799	1.839771	2.285209	159.90607	15.390276
9	"C-HiZ_z1_325"	0.439678	0.127465	0.825182	-23.4843	-24.2922	-22.7933	-0.020933	-0.10658	0.058328	0.656066	0.656066	0.656066	9.732658	9.59022	9.891512	9.247639	9.210619	9.288926	10.713686	10.62789	10.790616	7.340835	6.115418	8.225679	1.799492	1.730946	1.882094	10.457249	10.252683	10.705133	1.645713	1.577704	1.728354	115.56876	22.457448
10	"C-HiZ_z1_340"	1.544537	1.084	1.887566	-24.741	-25.1769	-24.0071	0.190242	0.16791	0.209931	0.729713	0.729713	0.729713	10.582016	10.518717	10.616156	9.59457	9.57811	9.603447	10.382454	10.36402	10.416635	7.399137	6.196006	8.303886	2.394552	2.232087	2.547131	12.242783	11.754834	12.700113	2.240951	2.078208	2.393327	206.95614	13.939968
11	"C-HiZ_z1_85"	0.341467	0.24052	0.43476	-22.36	-22.5382	-22.1662	-0.199248	-0.28321	-0.126542	0.507117	0.507117	0.507117	9.579385	9.470175	9.692651	9.456663	9.428284	9.486096	11.044868	10.983689	11.103856	7.24853	6.02563	8.344812	2.123313	2.093539	2.151176	11.428994	11.340089	11.513025	1.969675	1.94011	1.997694	215.31142	34.002181
12	"C-zcos_z1_1021"	0.33199	-0.2166	1.61873	-23.0777	-25.4289	-21.9623	0.296231	0.201507	0.410452	0.95781	0.95781	0.95781	9.853615	9.39178	10.098904	9.438631	9.321445	9.500871	10.739348	10.605357	10.99163	7.439245	6.095849	8.759684	1.842754	1.651457	2.156662	10.588733	10.011187	11.52919	1.689733	1.4967	2.003099	113.40841	9.641563
13	"C-zcos_z1_156"	-0.551263	-1.268026	1.17657	-20.9788	-24.7937	-19.5387	0.103043	0.081202	0.129581	0.916236	0.916236	0.916236	10.047717	9.062044	10.455597	9.534355	9.28032	9.639477	10.724553	10.50337	11.259056	8.830843	6.922194	10.220713	1.88888	1.170638	2.036751	10.726185	8.56857	11.169469	1.735488	1.015801	1.883194	167.51189	22.570721
14	"C-zcos_z1_162"	0.852018	0.595833	1.254369	-23.499	-24.1696	-23.1047	0.492597	0.361576	0.611334	0.998906	0.998906	0.998906	8.982342	8.314789	10.003475	9.415075	9.247104	9.672016	11.388379	10.828413	11.75445	8.768176	7.304959	9.377125	2.208013	2.092838	2.338559	11.682584	11.336948	12.074878	2.054151	1.93889	2.184995	192.33581	14.871647
