#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:56:07 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:56:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/827/L19/figure2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18279019
#Name: J/ApJ/827/L19
#Title: Central surface densities in SPARC disk galaxies (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/827/l19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/827/l19	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016ApJ...827L..19L	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/827/L19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18279019	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_827_L19_figure2:
#Name: J/ApJ/827/L19/figure2
#Title: Central dynamical surface density versus central stellar surface density and total stellar mass
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	T	(I2)	[0/11] Numerical Hubble Type (1)	[ucd=meta.note]
#Column	logSd	(F5.2)	[1.07/4.72] Dynamical surface density {Sigma}_dyn_(0) (2)	[ucd=phys.density]
#Column	e_logSd	(F5.2)	[0.04/0.32] Mean error on logSd	[ucd=stat.error]
#Column	logS*	(F5.2)	[0.39/4.65] Stellar surface density {Sigma}_*_(0) (3)	[ucd=phys.density]
#Column	e_logS*	(F5.2)	[0.11/0.45] Mean error on logS*	[ucd=stat.error]
#Column	logM*	(F5.2)	[6.78/11.43] Log of the stellar mass (M_*_)	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0.11/0.29] Mean error on logM*	[ucd=stat.error]
#Column	SPARC	(I3)	Number of data from SPARC (Spitzer Photometry and Accurate Rotation Curves) main paper (Lelli et al. 2016, Cat. J/AJ/152/157)	[ucd=meta.number]
#Column	L16	(I3)	Indicates a galaxy in the SPARC paper of Lelli et al. 2016 (J/ApJ/816/L14)	[ucd=meta.number]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a13)	NED column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD astronomical database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD astronomical database (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	T	logSd	e_logSd	logS*	e_logS*	logM*	e_logM*	SPARC	L16	SimbadName	NEDname	_RA	_DE
 	 	 	[Msun/pc2]	[Msun/pc2]	[Msun/pc2]	[Msun/pc2]	[Msun]	[Msun]	 	 	 	 	deg	deg
--------	-----------	--	-----	-----	-----	-----	-----	-----	---	---	-------------	-------------	---------	---------
       1	CamB       	10	 1.07	 0.11	 0.74	 0.14	 7.57	 0.13	 10	  0	NAME Cam B   	NAME Cam B   	073.27958	+67.09917
       2	D512-2     	10	 1.68	 0.18	 1.15	 0.16	 8.21	 0.28	  5	  0	ESDO 512-02  	ESDO 512-02  	218.33465	+26.99804
       3	D564-8     	10	 1.38	 0.10	 0.39	 0.15	 7.22	 0.12	  7	  0	ESDO 564-8   	ESDO 564-8   	135.72232	+20.07561
       4	D631-7     	10	 1.79	 0.06	 1.08	 0.11	 7.99	 0.11	 17	  1	ESDO 631-7   	ESDO 631-7   	119.25428	+14.39657
       5	DDO064     	10	 2.02	 0.19	 1.23	 0.13	 7.89	 0.28	 15	  0	DDO064       	DDO064       	147.59487	+31.48828
       6	DDO154     	10	 1.86	 0.07	 0.75	 0.12	 7.42	 0.12	 13	  1	DDO154       	DDO154       	193.52187	+27.14963
       7	DDO161     	10	 1.88	 0.15	 1.20	 0.23	 8.44	 0.28	 32	  1	DDO161       	DDO161       	195.81973	-17.42303
       8	DDO168     	10	 1.96	 0.09	 1.16	 0.14	 7.98	 0.12	 11	  1	DDO168       	DDO168       	198.61666	+45.91976
       9	DDO170     	10	 1.70	 0.15	 0.94	 0.16	 8.43	 0.28	  9	  1	DDO170       	DDO170       	198.97408	+25.43615
      10	ESO079-G014	 4	 2.65	 0.15	 2.55	 0.22	10.41	 0.24	 16	  1	ESO079-G014  	ESO079-G014  	015.71445	-65.60990
      11	ESO116-G012	 7	 2.51	 0.14	 2.20	 0.13	 9.33	 0.28	 16	  1	ESO116-G012  	ESO116-G012  	048.26977	-57.35725
      12	ESO444-G084	10	 2.32	 0.16	 1.20	 0.11	 7.55	 0.14	  8	  0	ESO444-G084  	ESO444-G084  	204.33500	-28.04417
      13	ESO563-G021	 4	 3.03	 0.10	 2.82	 0.21	11.19	 0.17	 31	  1	ESO563-G021  	ESO563-G021  	131.82075	-20.03566
      14	F565-V2    	10	 1.85	 0.16	 0.81	 0.17	 8.45	 0.22	  8	  0	VLSB F565-V02	VLSB F565-V02	144.40250	+21.77083
      15	F568-3     	 7	 2.09	 0.20	 1.83	 0.13	 9.62	 0.14	 19	  0	LSB F568-3   	LSB F568-3   	156.74583	+22.22667
      16	F568-V1    	 7	 2.45	 0.29	 1.65	 0.13	 9.28	 0.15	 16	  1	VLSB F568-V01	VLSB F568-V01	161.25860	+22.05432
      17	F571-8     	 5	 2.50	 0.11	 2.32	 0.45	 9.71	 0.21	 14	  1	LSB F571-8   	LSB F571-8   	173.47625	+19.35500
      18	F571-V1    	 7	 1.87	 0.28	 1.16	 0.12	 8.97	 0.15	  8	  0	VLSB F571-V01	VLSB F571-V01	171.57875	+18.83556
      19	F574-1     	 7	 2.23	 0.10	 1.67	 0.20	 9.51	 0.14	 15	  1	LSB F574-1   	LSB F574-1   	189.55542	+22.29972
      20	F583-1     	 9	 2.09	 0.25	 1.16	 0.13	 8.69	 0.25	 26	  1	LSB F583-1   	LSB F583-1   	239.36451	+20.66642
      21	F583-4     	 5	 2.06	 0.17	 1.15	 0.15	 8.93	 0.21	 13	  0	LSB F583-4   	LSB F583-4   	238.05000	+18.78500
      22	IC2574     	 9	 1.55	 0.05	 0.92	 0.23	 8.71	 0.12	 35	  1	IC2574       	IC2574       	157.09840	+68.41207
      23	KK98-251   	10	 1.52	 0.15	 1.01	 0.13	 7.63	 0.28	 16	  1	[KK98a] 251  	[KK98a] 251  	307.63708	+60.35472
      24	NGC0024    	 5	 2.77	 0.06	 2.55	 0.12	 9.29	 0.12	 30	  1	NGC0024      	NGC0024      	002.48559	-24.96313
      25	NGC0055    	 9	 2.02	 0.05	 2.08	 0.15	 9.36	 0.12	 22	  1	NGC0055      	NGC0055      	003.72334	-39.19663
      26	NGC0247    	 7	 2.24	 0.04	 1.69	 0.13	 9.56	 0.12	 27	  1	NGC0247      	NGC0247      	011.78564	-20.76040
