#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:48:14 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:48:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/390/863/tablea1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33900863
#Name: J/A+A/390/863
#Title: CCD R Photometry of WHISP Dwarf Galaxies (Swaters, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/390/863	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/390/863	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2002A&A...390..863S	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/390/863	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33900863	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_390_863_tablea1:
#Name: J/A+A/390/863/tablea1
#Title: Global galaxy properties
#Column	UGC	(I5)	UGC number	[ucd=meta.id;meta.main]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HType	(a7)	Hubble type	[ucd=src.morph.type]
#Column	BMAG	(F6.2)	? B-band absolute magnitude	[ucd=phys.magAbs;em.opt]
#Column	Dist	(F5.2)	Distance	[ucd=pos.distance]
#Column	Vsys	(I4)	Heliocentric systemic velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	W50	(I3)	HI single dish line width at 50% level	[ucd=spect.line.width]
#Column	HImass	(F6.2)	HI mass in units of 10^8^M_{sun}_	[ucd=phys.mass]
#Column	AR	(F5.2)	? R-band Galactic extinction	[ucd=phys.absorption]
UGC	NED	Simbad	RAJ2000	DEJ2000	HType	BMAG	Dist	Vsys	W50	HImass	AR
 	 	 	"h:m:s"	"d:m:s"	 	mag	Mpc	km/s	km/s	10+8solMass	mag
-----	---	------	----------	---------	-------	------	-----	----	---	------	-----
  192	NED	Simbad	00 20 20.0	+59 17 56	.IB.9$.	      	 1.00	-343	 63	  1.33	
  731	NED	Simbad	01 10 43.6	+49 36 04	.I..9*.	      	 8.00	 639	130	  5.99	 0.41
 1249	NED	Simbad	01 47 29.9	+27 19 56	.SBS9..	-17.59	 7.50	 338	121	  8.20	 0.14
 1281	NED	Simbad	01 49 31.9	+32 35 24	.S..8..	-15.82	 5.50	 157	116	  2.83	 0.08
 1438	NED	Simbad	01 57 51.1	+44 55 06	.I..9..	-17.11	13.30	 712	105	  8.38	 0.31
 1501	NED	Simbad	02 01 16.9	+28 50 10	.SB.8*/	-16.86	 5.70	 198	 96	  5.05	 0.12
 1547	NED	Simbad	02 03 20.4	+22 02 31	.IB.9..	-17.22	20.20	2644	138	 25.90	 0.15
 1551	NED	Simbad	02 03 37.6	+24 04 32	.SB?...	-18.02	20.20	2671	118	 14.10	 0.19
 1865	NED	Simbad	02 24 59.9	+36 02 15	.S..9*.	      	10.10	 580	 76	  3.22	 0.12
 2014	NED	Simbad	02 32 54.0	+38 40 35	.I..9*.	      	10.10	 565	 49	  1.94	 0.10
 2017	NED	Simbad	02 32 45.4	+28 50 29	.I..9..	      	16.20	1014	 84	  9.09	 0.16
 2023	NED	Simbad	02 33 18.2	+33 29 28	.I..9*.	-15.61	10.10	 606	 39	  4.06	 0.19
 2034	NED	Simbad	02 33 43.1	+40 31 43	.I..9..	-15.71	10.10	 579	 45	  8.17	 0.10
 2053	NED	Simbad	02 34 29.2	+29 45 04	.I..9..	-15.35	11.80	1029	 59	  5.59	 0.20
 2455	NED	Simbad	02 59 42.2	+25 14 15	.IBS9..	-17.45	 7.80	 382	 67	 10.70	 0.37
 2603	NED	Simbad	03 19 14.6	+81 20 47	.I..9..	      	38.50	2519	121	 43.10	 0.39
 2800	NED	Simbad	03 40 03.8	+71 24 20	.I..9?.	      	20.60	1176	208	 29.30	 0.77
 3056	NED	Simbad	04 30 49.6	+64 50 53	.IB.9..	-14.80	 2.20	 -88	 74	  1.12	 1.15
 3060	NED	Simbad	04 32 48.3	+71 52 50	.SAS7./	-16.15	 3.90	 -35	125	 10.30	 0.35
 3137	NED	Simbad	04 46 15.0	+76 25 06	.S?....	-16.22	18.40	 993	222	 35.40	 0.31
 3144	NED	Simbad	04 47 54.5	+74 55 46	.IB.9..	-16.24	19.50	1636	142	 22.80	 0.32
 3273	NED	Simbad	05 17 44.9	+53 33 01	.S..9..	-15.62	12.20	 616	185	 19.00	
