#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T17:48:19 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T17:48:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/sample&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_276_59_sample:
#Name: J/ApJS/276/59/sample
#Title: Halpha velocity field parameters (Table 3) and photometric data and inverse Tully-Fisher inclinations (Table 4)
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	Nobs	(I3)	Number of Halpha measurements for this galaxy (link to Table 7)	[ucd=meta.number]
#Column	N	(I3)	[25/393] Number	[ucd=meta.number]
#Column	sigMod	(F4.1)	[0/16.1] Extra error term, {sigma}_mod_ (see Equation 6)	[ucd=stat.error]
#Column	inc	(F4.1)	[14.5/47.5]? Inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.8/15]? inc uncertainty	[ucd=stat.error;src.orbital.inclination]
#Column	f_inc	(A1)	Flag on inc (1)	[ucd=meta.code]
#Column	phi0	(F5.1)	[8/374.1] Position angle of the major axis, {phi}_0_	[ucd=pos.posAng]
#Column	e_phi0	(F4.1)	[0.2/8] phi0 uncertainty	[ucd=stat.error;pos.posAng]
#Column	Vrot	(F5.1)	[6.6/211] Asymptotic rotation speed, V_rot_	[ucd=phys.veloc.rotat]
#Column	e_Vrot	(F4.1)	[0.4/12.2] Vrot uncertainty	[ucd=stat.error;phys.veloc.rotat]
#Column	hrot	(F4.1)	[0.1/38]? Rotation scale, h_rot_	[ucd=instr.scale]
#Column	e_hrot	(F4.1)	[0/5.1]? hrot uncertainty	[ucd=stat.error;instr.scale]
#Column	f_hrot	(A3)	Flag on hrot (2)	[ucd=meta.code]
#Column	Vsys	(F7.1)	[224.8/12794] Systemic velocity	[ucd=phys.veloc]
#Column	e_Vsys	(F4.1)	[0.3/4] Vsys uncertainty	[ucd=stat.error;phys.veloc]
#Column	Aphi	(F6.3)	[0.015/0.4] Asymetry measure, A_{phi}_, defined in Section 5.3	[ucd=src.morph.param]
#Column	Arc	(F6.3)	[0.016/0.8]? Asymmetry measure, A_RC_, defined in Section 5.3	[ucd=src.morph.param]
#Column	Note	(A3)	Note (s) (3)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Kmag	(F5.2)	[8.62/11.93] 2MASS K band magnitude (4)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	[0.01/0.23] Uncertainty on the Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Dist	(F5.1)	[1.8/181.4] Distance (5)	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[2.5/2.5] Dist uncertainty	[ucd=stat.error;pos.distance]
#Column	Ak	(F5.2)	[-0.03/0.06] K-band extinction	[ucd=phys.absorption;em.IR.K]
#Column	Kcor	(F5.2)	[-0.1/0.01] K-correction	[ucd=arith.factor;phot.mag]
#Column	KMag	(F6.2)	[-26.07/-16.09] Absolute K band magnitude	[ucd=phys.magAbs;em.IR.K]
#Column	e_KMag	(F5.2)	[0.02/1.95] KMag uncertainty	[ucd=stat.error;phys.magAbs;em.IR.K]
#Column	iiTF	(F4.1)	[1.8/90] Inverse Tully-Fisher inclination, i_iTF_	[ucd=src.orbital.inclination]
#Column	e_iiTF	(F4.1)	[0/4.3] iiTF uncertainty	[ucd=stat.error;src.orbital.inclination]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
UGC	Nobs	N	sigMod	inc	e_inc	f_inc	phi0	e_phi0	Vrot	e_Vrot	hrot	e_hrot	f_hrot	Vsys	e_Vsys	Aphi	Arc	Note	Simbad	NED	LEDA	Kmag	e_Kmag	Dist	e_Dist	Ak	Kcor	KMag	e_KMag	iiTF	e_iiTF	_RA	_DE
 	 	 	km/s	deg	deg	 	deg	deg	km/s	km/s	arcsec	arcsec	 	km/s	km/s	 	 	 	 	 	 	mag	mag	Mpc	Mpc	mag	mag	mag	mag	deg	deg	deg	deg
-----	---	---	----	----	----	-	-----	----	-----	----	----	----	---	-------	----	------	------	---	------	---	----	-----	-----	-----	----	-----	-----	------	-----	----	----	---------	---------
   16	172	171	 1.3	22.2	 2.6	 	335.2	 0.3	 85.2	 0.4	 5.8	 0.4	   	 5235.9	 0.3	 0.028	 0.020	   	Simbad	NED	LEDA	 9.39	 0.02	 66.6	 2.5	 0.02	-0.04	-24.80	 0.11	18.4	 1.0	000.95366	+07.47871
   74	154	150	 3.6	36.7	 2.1	 	297.8	 0.4	109.3	 1.0	 9.7	 0.5	   	 3933.7	 0.7	 0.039	 0.043	   	Simbad	NED	LEDA	10.21	 0.02	 48.7	 2.5	 0.01	-0.03	-23.27	 0.14	36.7	 2.2	002.18642	+04.61257
  305	124	113	 3.9	18.9	 6.1	 	158.8	 0.6	 93.5	 1.0	 4.0	 0.5	   	 9970.8	 0.7	 0.046	 0.062	   	Simbad	NED	LEDA	11.00	 0.04	133.2	 2.5	 0.03	-0.08	-24.74	 0.10	20.7	 1.1	007.64249	+13.36627
  311	155	151	 2.8	40.3	 2.4	 	239.7	 0.6	 63.9	 0.9	 4.5	 0.6	   	 6429.9	 0.6	 0.054	 0.043	2  	Simbad	NED	LEDA	10.85	 0.04	 94.2	 2.5	 0.02	-0.05	-24.10	 0.12	16.5	 0.9	007.83520	+30.79253
  448	174	165	 3.9	30.4	 2.9	 	307.7	 0.5	 84.6	 0.9	 2.8	 0.7	   	 4856.6	 0.6	 0.051	 0.086	   	Simbad	NED	LEDA	10.13	 0.02	 55.5	 2.5	 0.02	-0.04	-23.65	 0.10	24.9	 1.4	010.59194	+29.64161
  463	357	336	 3.7	26.4	 2.1	 	 68.9	 0.3	106.5	 0.6	 8.6	 0.3	   	 4450.8	 0.5	 0.040	 0.029	   	Simbad	NED	LEDA	 9.39	 0.02	 52.5	 2.5	 0.03	-0.04	-24.28	 0.12	26.8	 1.5	010.88492	+14.34261
  678	107	100	 2.9	25.8	 8.7	 	232.3	 1.1	 41.7	 1.1	 6.5	 0.7	   	 5523.0	 0.7	 0.079	 0.081	2,3	Simbad	NED	LEDA	11.20	 0.10	 72.5	 2.5	 0.01	-0.04	-23.16	 0.27	13.6	 0.9	016.55845	+03.57441
 1069	 49	 50	 4.4	    	    	l	 35.9	 2.5	 30.4	 1.7	 4.5	 1.2	   	 4653.0	 1.2	 0.143	 0.154	   	Simbad	NED	LEDA	11.46	 0.02	 52.0	 2.5	 0.02	-0.04	-22.17	 0.11	12.7	 1.0	022.48315	+32.50141
 1081	164	161	 4.7	30.8	 5.7	 	 72.8	 0.8	 61.0	 1.6	15.9	 1.2	   	 3117.7	 0.9	 0.070	 0.073	2  	Simbad	NED	LEDA	10.03	 0.03	 37.2	 2.5	 0.02	-0.03	-22.86	 0.15	21.7	 1.3	022.69437	+21.44043
 1087	116	115	 1.1	27.2	 3.7	 	 82.2	 0.5	 59.6	 0.7	 8.2	 0.5	   	 4469.8	 0.5	 0.037	 0.053	   	Simbad	NED	LEDA	10.67	 0.05	 52.5	 2.5	 0.02	-0.04	-22.98	 0.19	20.5	 1.2	022.86097	+14.27750
 1167	202	202	 3.0	35.0	 2.0	 	109.3	 0.4	100.3	 0.7	 8.8	 0.4	   	 4297.6	 0.5	 0.041	 0.042	1  	Simbad	NED	LEDA	10.77	 0.06	 51.6	 2.5	 0.01	-0.04	-22.85	 0.21	37.7	 2.4	024.58685	+07.53409
 1212	119	116	 3.3	36.7	 1.9	 	 72.4	 0.4	161.8	 1.1	 2.6	 0.9	   	10734.8	 0.9	 0.034	 0.019	1  	Simbad	NED	LEDA	10.36	 0.04	147.0	 2.5	 0.02	-0.09	-25.58	 0.09	29.6	 1.6	026.03390	+34.38723
 1497	154	154	 3.4	    	    	l	139.4	 1.6	 15.1	 0.7	 3.1	 1.2	   	 5193.2	 0.4	 0.192	 0.161	2  	Simbad	NED	LEDA	 9.66	 0.01	 64.1	 2.5	 0.02	-0.04	-24.44	 0.08	 3.5	 0.2	030.27754	+31.88243
 1529	162	158	 1.5	29.3	 1.9	 	164.6	 0.3	118.4	 0.5	 6.1	 0.3	   	 4632.7	 0.4	 0.027	 0.029	   	Simbad	NED	LEDA	 9.91	 0.04	 56.6	 2.5	 0.03	-0.04	-23.92	 0.15	33.3	 1.9	030.62917	+11.09301
 1559	313	308	 7.9	38.1	 4.6	 	 76.2	 0.8	 64.0	 1.7	16.0	 1.1	   	 3626.8	 0.9	 0.106	 0.064	4,5	Simbad	NED	LEDA	11.61	 0.08	 42.9	 2.5	 0.02	-0.03	-21.61	 0.25	32.3	 2.2	030.99583	+15.31806
 1579	169	139	 5.4	    	    	l	168.2	 1.3	 40.1	 1.7	15.1	 1.4	   	 3404.4	 1.0	 0.118	 0.183	2,4	Simbad	NED	LEDA	11.40	 0.03	 41.9	 2.5	 0.01	-0.03	-21.76	 0.13	18.8	 1.3	031.31351	+06.10692
 1635	164	164	 2.0	22.0	 5.2	 	143.2	 0.5	 53.4	 0.6	10.5	 0.5	   	 3515.3	 0.4	 0.044	 0.070	   	Simbad	NED	LEDA	10.42	 0.03	 43.3	 2.5	 0.02	-0.03	-22.82	 0.15	19.1	 1.0	032.11557	+06.39487
