#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T21:05:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T21:05:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/127/3273/galaxies&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51273273
#Name: J/AJ/127/3273
#Title: Nearby galaxies HI observations (Vogt+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/aj/127/3273	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/127/3273	    IVOID of underlying data collection
#INFO	creator=Vogt N.P.	    First author or institution
#INFO	cites=bibcode:2004AJ....127.3273V	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/127/3273	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51273273	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-04-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	J_AJ_127_3273_galaxies:
#Name: J/AJ/127/3273/galaxies
#Title: The three sets of parameters (tables 2, 3 and 4 of the paper)
#Column	Name	(a15)	Source identification (G1)	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Hour of Right Ascension (B1950)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Degree of Declination (B1950)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(A3)	RC3 (Cat. <VII/155>) morphological type code (2)	[ucd=meta.code;src.morph.type]
#Column	RV	(I5)	Galaxy radial velocity in CMB reference frame (3)	[ucd=phys.veloc;pos.cmb]
#Column	Clust	(A6)	Associated cluster (4)	[ucd=meta.id.parent]
#Column	RSep	(F5.2)	? Radial separation from cluster center expressed in {sigma} (6)	[ucd=pos.distance]
#Column	OW0	(I3)	Measured velocity width	[ucd=spect.line.width]
#Column	RW0	(I3)	? Measured 21cm line profile velocity width (1)	[ucd=spect.line.width]
#Column	M/Lc	(F5.2)	? Corrected mass-to-light ratio in solar units (7)	[ucd=phys.composition.massLightRatio]
#Column	Dark	(F5.2)	? Ratio of dark to light matter within R_f_	[ucd=phys.mass;arith.ratio]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name	RAB1950	DEB1950	TType	RV	Clust	RSep	OW0	RW0	M/Lc	Dark	_RA.icrs	_DE.icrs
 	"h:m:s"	"d:m:s"	 	km/s	 	 	km/s	km/s	Sun	 	"h:m:s"	"d:m:s"
---------------	----------	---------	---	-----	------	-----	---	---	-----	-----	----------	---------
110158/520-032 	01 12 20.6	+33 31 47	4  	 4151	N507  	-1.48	152	167	     	     	01 15 08.4	+33 47 38
809/520-033    	01 13 00.0	+33 33 00	5  	 3920	N507  	-2.00	270	314	 2.06	 0.15	01 15 48.0	+33 48 50
110177/N451    	01 13 24.8	+32 48 01	5  	 4573	N507  	-0.53	156	250	     	     	01 16 12.4	+33 03 50
110759/N507-A1 	01 14 13.7	+32 25 02	5  	11273	N507  	14.56	376	   	     	     	01 17 01.3	+32 40 50
841/502-025    	01 16 22.3	+32 46 06	4  	 5287	N507  	 1.08	247	290	 1.71	 0.13	01 19 10.4	+33 01 51
916/I1683      	01 19 49.2	+34 10 35	3  	 4575	N507  	-0.52	315	399	     	     	01 22 38.8	+34 26 15
927/N496       	01 20 22.2	+33 16 04	4  	 5722	N507  	 2.06	270	297	 1.61	 0.08	01 23 11.3	+33 31 43
940/521-016    	01 20 40.0	+34 18 30	5  	 6707	N507  	 4.28	282	288	 2.42	 0.19	01 23 29.8	+34 34 08
944/N512       	01 21 10.5	+33 38 54	2  	 4587	N507  	-0.50	515	522	 1.30	 0.28	01 24 00.0	+33 54 32
975/521-021    	01 22 24.9	+34 05 55	3  	 4615	N507  	-0.43	220	246	     	     	01 25 14.9	+34 21 31
1013/N536      	01 23 31.4	+34 26 35	3B 	 4911	N507  	 0.23	519	514	 2.78	 0.06	01 26 21.8	+34 42 09
110334/521-028 	01 24 11.0	+33 41 36	3  	 3862	N507  	-2.13	201	219	 1.71	 0.71	01 27 01.1	+33 57 09
1033/502-086   	01 24 46.5	+31 17 40	5  	 3757	N507  	-2.37	333	343	 1.33	 0.24	01 27 35.2	+31 33 12
1045/502-087   	01 25 12.0	+31 46 33	3  	 6132	N507  	 2.98	279	314	     	     	01 28 01.1	+32 02 04
1054/F170      	01 25 57.3	+34 05 08	5  	 2383	N507  	-5.46	136	175	     	     	01 28 48.0	+34 20 38
110363/502-093 	01 26 22.9	+33 24 26	3  	 6333	N507  	 3.43	235	254	 2.07	 0.79	01 29 13.2	+33 39 55
1094/N582      	01 29 06.9	+33 12 56	3B 	 4070	N507  	-1.66	455	449	 1.66	 0.10	01 31 57.6	+33 28 21
1234/521-078   	01 42 57.5	+34 51 30	5B 	 5400	A262  	 1.28	213	260	 2.14	 0.16	01 45 51.8	+35 06 30
1238/N668      	01 43 27.5	+36 12 38	3  	 4240	A262  	-0.74	289	292	 1.30	 0.97	01 46 23.0	+36 27 37
1248/N669      	01 44 21.0	+35 18 50	2  	 4415	A262  	-0.43	627	741	 1.57	 0.24	01 47 15.9	+35 33 47
1257/522-007   	01 45 11.2	+36 12 13	2  	 4403	A262  	-0.45	325	341	 1.21	 0.67	01 48 07.0	+36 27 09
1302/N688      	01 47 49.1	+35 02 15	3B 	 3894	A262  	-1.34	391	342	 1.83	 0.62	01 50 44.5	+35 17 05
1307/522-021   	01 47 51.8	+35 41 07	3  	 4558	A262  	-0.18	411	   	 0.81	 0.28	01 50 47.7	+35 55 57
1316/522-023   	01 48 24.0	+34 36 00	3  	 4432	A262  	-0.40	182	218	 0.34	 0.26	01 51 19.1	+34 50 49
110579/522-025 	01 49 06.5	+35 53 00	4  	 5801	A262  	 1.98	 98	123	 0.63	 0.65	01 52 02.8	+36 07 48
1350/522-042   	01 50 00.7	+36 16 07	3B 	 5098	A262  	 0.75	482	   	 2.80	 0.17	01 52 57.5	+36 30 53
1366/522-055   	01 51 22.6	+36 23 07	5B 	 4863	A262  	 0.35	390	414	 2.08	 0.06	01 54 19.7	+36 37 50
110618/522-062 	01 52 04.3	+36 40 36	3B 	 5369	A262  	 1.23	170	188	 0.14	 4.09	01 55 01.8	+36 55 18
1405/522-074   	01 53 23.0	+37 12 30	5  	 4720	A262  	 0.10	215	256	 1.42	 0.48	01 56 21.2	+37 27 09
1404/522-073   	01 53 26.2	+36 58 16	3B 	 4225	A262  	-0.76	157	210	     	     	01 56 24.2	+37 12 55
1416/522-081   	01 53 48.0	+36 38 40	3  	 5222	A262  	 0.97	370	377	 2.14	 0.22	01 56 45.8	+36 53 18
1437/N753      	01 54 45.4	+35 40 21	5  	 4653	A262  	-0.02	310	322	 1.09	 0.42	01 57 42.6	+35 54 57
1456/I178      	01 55 56.7	+36 25 58	2  	 4591	A262  	-0.13	243	262	 1.63	 0.05	01 58 54.7	+36 40 31
1459/522-096   	01 56 09.2	+35 49 14	5  	 5221	A262  	 0.97	350	380	 1.86	 0.06	01 59 06.7	+36 03 47
2085/388-059   	02 33 32.0	+01 20 13	5  	 6548	A400  	-0.62	229	275	 1.58	 0.47	02 36 06.8	+01 33 15
2211/F338      	02 41 10.6	+06 25 47	5  	 5885	A400  	-1.69	306	313	 1.49	 0.58	02 43 49.3	+06 38 28
2336/415-016   	02 48 31.6	+07 52 20	5B 	 6402	A400  	-0.86	165	196	 0.82	 0.10	02 51 11.7	+08 04 39
2375/415-022   	02 51 23.7	+06 03 41	2  	 7391	A400  	 0.74	435	445	 1.63	 0.09	02 54 02.4	+06 15 52
2391/I1865     	02 52 39.5	+08 37 33	4  	 7784	A400  	 1.37	313	413	 1.14	 0.19	02 55 20.3	+08 49 40
2405/415-030   	02 53 17.5	+06 18 06	5  	 7487	A400  	 0.89	397	418	 2.27	 0.05	02 55 56.4	+06 30 11
2414/415-031   	02 53 38.5	+04 19 43	5  	 8054	A400  	 1.80	335	365	 1.73	 0.28	02 56 15.8	+04 31 47
2415/415-032   	02 53 43.0	+05 57 17	4B 	 7564	A400  	 1.01	319	325	 1.88	 0.28	02 56 21.6	+06 09 21
2423/415-037   	02 54 07.8	+04 46 41	5  	 7494	A400  	 0.90	377	400	 2.10	 0.01	02 56 45.5	+04 58 44
2426/415-039   	02 54 29.0	+05 07 10	3  	 7209	A400  	 0.44	344	350	 2.42	 0.01	02 57 07.0	+05 19 12
120684         	02 55 04.1	+05 13 58	3  	 7378	A400  	 0.71	  6	394	     	     	02 57 42.2	+05 25 58
