#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T15:57:32 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T15:57:32	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/442/137/whisp&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34420137
#Name: J/A+A/442/137
#Title: HI observations of WHISP disk galaxies (Noordermeer+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/442/137	    IVOID of underlying data collection
#INFO	creator=Noordermeer E.	    First author or institution
#INFO	cites=bibcode:2005A&A...442..137N	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/442/137	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34420137	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_442_137_whisp:
#Name: J/A+A/442/137/whisp
#Title: HI properties of the WHISP early-type
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	UGC (<VII/26>) number	[ucd=meta.id;meta.main]
#Column	Name	(a9)	Alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000.0), from NED	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000.0), from NED	[ucd=pos.eq.dec;meta.main]
#Column	MType	(a15)	Morphological type, from NED	[ucd=src.morph.type]
#Column	BMAG	(F6.2)	Absolute B-band magnitude, from LEDA	[ucd=phot.mag;em.opt.B]
#Column	HRV	(I5)	Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.1)	Distance	[ucd=pos.distance]
#Column	Incl	(I2)	Inclination angle	[ucd=src.orbital.inclination;pos.posAng]
#Column	r_Incl	(A1)	[tLe] Source of Incl (1)	[ucd=meta.ref;pos.frame]
#Column	Memb	(a22)	Group/cluster membership	[ucd=meta.id.parent]
#Column	r_Memb	(I1)	[1/5]? Source for Memb (2)	[ucd=meta.ref;pos.frame]
#Column	Region	(a18)	Region of the group/cluster	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	Vsys	(I5)	Systemic velocity	[ucd=phys.veloc]
#Column	W20	(I3)	Line width of global profile at the 20% level	[ucd=spect.line.width]
#Column	W50	(I3)	Line width of global profile at the 50% level	[ucd=spect.line.width]
#Column	FHI	(F6.2)	Total integrated HI flux	[ucd=phot.flux.density;em.line.HI;spect.line]
#Column	n_FHI	(A1)	[+$] Note on FHI (1)	[ucd=meta.note]
#Column	MHI	(F5.2)	Total HI mass (in 10+9solMass)	[ucd=phys.mass]
#Column	n_MHI	(A1)	[+$] Note on MHI	[ucd=meta.note]
#Column	RHI	(I3)	? HI radius in arcsec	[ucd=phys.angSize;src]
#Column	n_RHI	(A1)	[#] Note on RHI (2)	[ucd=meta.note]
#Column	RHIkpc	(F4.1)	? HI radius in kpc,	[ucd=phys.angSize;src]
#Column	n_RHIkpc	(A1)	[#] Note on RHIkpc (2)	[ucd=meta.note]
#Column	<SD>RHI	(F4.1)	? Average face-on HI surface density within HI radius	[ucd=src.density]
#Column	n_<SD>RHI	(A1)	[#] Low <SD>RHI (2)	[ucd=meta.note]
#Column	<SD>R25	(F4.1)	Average face-on HI surface density within optical radius	[ucd=src.density]
#Column	Prof	(A4)	Amount of asymmetry in global profile (3)	[ucd=meta.code]
#Column	Morph	(A4)	Morphological asymmetry (3)	[ucd=meta.code]
#Column	Kin	(A4)	Kinematical asymmetry (3)	[ucd=meta.code]
#Column	Int	(A1)	[+] +: evidence for current interaction/merging/accretion	[ucd=meta.code]
recno	UGC	Name	RAJ2000	DEJ2000	MType	BMAG	HRV	Dist	Incl	r_Incl	Memb	r_Memb	Region	Simbad	NED	LEDA	Vsys	W20	W50	FHI	n_FHI	MHI	n_MHI	RHI	n_RHI	RHIkpc	n_RHIkpc	<SD>RHI	n_<SD>RHI	<SD>R25	Prof	Morph	Kin	Int
 	 	 	"h:m:s"	"d:m:s"	 	mag	km/s	Mpc	deg	 	 	 	 	 	 	 	km/s	km/s	km/s	Jy.km/s	 	GsolMass	 	arcsec	 	kpc	 	solMass/pc2	 	solMass/pc2	 	 	 	
--------	-----	---------	----------	---------	---------------	------	-----	-----	--	-	----------------------	-	------------------	------	---	----	-----	---	---	------	-	-----	-	---	-	----	-	----	-	----	----	----	----	-
       1	   89	NGC 23   	00 09 53.4	+25 55 26	SB(s)a         	-21.48	 4555	 62.1	50	t	LGG 2                 	1	                  	Simbad	NED	LEDA	 4555	440	386	  9.44	 	 8.63	 	 77	 	24.0	 	 3.5	 	 5.1	*   	*   	    	+
       2	   94	NGC 26   	00 10 25.9	+25 49 55	SA(rs)ab       	-20.21	 4589	 62.6	42	t	LGG 2                 	1	                  	Simbad	NED	LEDA	 4589	319	300	 12.19	 	11.28	 	 85	 	26.0	 	 4.0	 	 7.2	*   	*   	    	+
       3	  232	--       	00 24 38.7	+33 15 22	SB(r)a         	-19.96	 4839	 66.3	48	L	--                    	 	                  	Simbad	NED	LEDA	 4839	276	236	  7.66	 	 7.95	 	 82	 	27.0	 	 2.1	 	 3.3	    	*   	    	
       4	  499	NGC 262  	00 48 47.1	+31 57 25	SA(s)0/a:      	-20.09	 4534	 62.0	46	L	LGG 14                	1	                  	Simbad	NED	LEDA	 4534	 91	 65	 23.90	 	21.45	 	104	 	31.0	 	 1.6	 	 1.8	    	**  	n.a.	+
       5	  508	NGC 266  	00 49 47.8	+32 16 40	SB(rs)ab       	-21.97	 4647	 63.6	25	t	LGG 14                	1	                  	Simbad	NED	LEDA	 4647	478	453	  7.71	 	 7.40	 	 94	 	29.0	 	 2.0	 	 2.0	    	*   	    	+
       6	  624	NGC 338  	01 00 36.4	+30 40 08	Sab            	-21.42	 4772	 65.1	59	t	LGG 14                	1	                  	Simbad	NED	LEDA	 4772	560	518	 14.39	 	14.42	 	 92	 	29.0	 	 4.3	 	 7.7	    	**  	*** 	+
       7	  798	IC 1654  	01 15 11.9	+30 11 41	(R)SB(r)a      	-19.67	 4896	 66.7	40	t	LGG 18                	1	                  	Simbad	NED	LEDA	 4896	220	205	  3.88	 	 4.08	 	 72	 	23.0	 	 1.8	 	 2.4	    	    	    	
       8	 1310	NGC 694  	01 50 58.5	+21 59 51	S0? pec        	-19.23	 2958	 40.2	47	e	LGG 34                	1	                  	Simbad	NED	LEDA	 2958	186	117	  6.16	 	 2.33	 	 50	 	 9.7	 	 4.8	 	14.3	**  	n.a.	n.a.	+
       9	 1541	NGC 797  	02 03 27.9	+38 07 01	SAB(s)a        	-21.10	 5649	 77.0	41	t	pair with NGC 801     	5	                  	Simbad	NED	LEDA	 5649	446	421	  7.94	 	11.14	 	 75	 	28.0	 	 2.8	 	 3.9	*** 	*   	*   	
      10	 2045	NGC 972  	02 34 13.4	+29 18 41	Sab            	-20.39	 1527	 21.4	61	e	52-0                  	2	(Cetus)           	Simbad	NED	LEDA	 1527	334	289	 18.89	 	 2.09	 	 94	 	 9.9	 	 4.2	 	 3.6	    	    	    	
      11	 2141	NGC 1012 	02 39 14.9	+30 09 06	S0/a?          	-18.02	  987	 14.3	90	e	17-3                  	2	(Triang. Spur)    	Simbad	NED	LEDA	  987	232	201	 47.94	 	 2.30	 	155	 	10.0	 	 4.5	 	11.3	    	*   	    	
      12	 2154	NGC 1023 	02 40 24.0	+39 03 48	SB(rs)0-       	-20.23	  695	 10.9	64	L	N 1023 group          	3	                  	Simbad	NED	LEDA	  695	529	497	 80.13	 	 2.26	 	   	#	    	#	    	#	 0.7	n.a.	n.a.	n.a.	+
      13	 2183	NGC 1056 	02 42 48.3	+28 34 27	Sa:            	-19.60	 1540	 21.5	90	e	--                    	 	                  	Simbad	NED	LEDA	 1540	292	268	 32.99	 	 3.63	 	164	 	17.0	 	 3.0	 	 6.8	*   	*   	*   	
      14	 2487	NGC 1167 	03 01 42.4	+35 12 21	SA0-           	-21.73	 4950	 67.4	36	t	LGG 80                	1	                  	Simbad	NED	LEDA	 4950	466	437	 15.93	 	17.09	 	120	 	39.0	 	 1.6	 	 1.8	    	    	    	
      15	 2916	--       	04 02 33.8	+71 42 21	Sab            	-20.34	 4518	 63.5	46	t	LGG 115               	1	                  	Simbad	NED	LEDA	 4518	357	337	 23.08	 	21.94	 	108	 	34.0	 	 4.3	 	 7.3	*   	    	**  	+
      16	 2941	IC 357   	04 03 44.0	+22 09 33	SB(s)ab        	-21.38	 6261	 83.9	45	e	group with UGC 2942/43	5	                  	Simbad	NED	LEDA	 6261	160	139	  9.84	 	16.32	 	 75	 	30.0	 	 3.4	 	 5.4	    	*   	*   	+
