Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
CVnldwA  Data  -1.10818 -3.5879E+00 0.2437 
CVnldwA  Data  -0.81876 -3.9514E+00 0.1373 
CVnldwA  Data  -0.63876 -4.2265E+00 0.1106 
CVnldwA  Data  -0.51771 -4.2623E+00 0.0761 
CVnldwA  Data  -0.41846 -4.2091E+00 0.0638 
CVnldwA  Data  -0.34162 -4.1103E+00 0.0477 
CVnldwA  Data  -0.27300 -4.0555E+00 0.0432 
CVnldwA  Data  -0.21668 -3.9706E+00 0.0349 
CVnldwA  Data  -0.16423 -3.9500E+00 0.0286 
CVnldwA  Data  -0.11977 -4.0139E+00 0.0324 
CVnldwA  Data  -0.07732 -4.1882E+00 0.0386 
CVnldwA  Data  -0.04059 -4.6524E+00 0.0562 
CVnldwA  Model -1.19253 -3.7345E+00 0.3231 
CVnldwA  Model -0.90309 -3.7624E+00 0.1402 
CVnldwA  Model -0.72310 -3.8017E+00 0.0864 
CVnldwA  Model -0.60206 -3.8465E+00 0.0588 
CVnldwA  Model -0.50281 -3.8999E+00 0.0499 
CVnldwA  Model -0.42597 -3.9546E+00 0.0385 
CVnldwA  Model -0.35735 -4.0150E+00 0.0351 
CVnldwA  Model -0.30103 -4.0733E+00 0.0335 
CVnldwA  Model -0.24857 -4.1345E+00 0.0319 
CVnldwA  Model -0.20412 -4.1910E+00 0.0394 
CVnldwA  Model -0.16166 -4.2484E+00 0.0466 
CVnldwA  Model -0.12494 -4.3000E+00 0.0331 
CVnldwA  Model -0.08927 -4.3519E+00 0.0404 
CVnldwA  Model -0.05799 -4.3994E+00 0.0329 
CVnldwA  Model -0.02725 -4.4501E+00 0.0305 
CVnldwA  Model  0.00000 -4.5016E+00 0.0265 
DDO_210  Data  -0.88931 -3.9641E+00 0.1185 
DDO_210  Data  -0.58828 -4.0667E+00 0.0626 
DDO_210  Data  -0.41218 -4.1591E+00 0.0435 
DDO_210  Data  -0.28724 -4.2736E+00 0.0316 
DDO_210  Data  -0.19033 -4.3363E+00 0.0309 
DDO_210  Data  -0.11115 -4.2881E+00 0.0252 
DDO_210  Data  -0.06000 -4.2479E+00 0.0256 
DDO_210  Data   0.00000 -4.2608E+00 0.0259 
DDO_210  Model -0.88931 -4.0057E+00 0.1526 
DDO_210  Model -0.58828 -4.0395E+00 0.0678 
DDO_210  Model -0.41218 -4.0862E+00 0.0449 
DDO_210  Model -0.28724 -4.1435E+00 0.0307 
DDO_210  Model -0.19033 -4.2086E+00 0.0288 
DDO_210  Model -0.11115 -4.2779E+00 0.0248 
DDO_210  Model -0.06000 -4.3297E+00 0.0262 
DDO_210  Model  0.00000 -4.3934E+00 0.0285 
DDO_216  Data  -0.73161 -3.8271E+00 0.4571 
DDO_216  Data  -0.45540 -3.8139E+00 0.1160 
DDO_216  Data  -0.27087 -4.1594E+00 0.0981 
DDO_216  Data  -0.15437 -4.3391E+00 0.0820 
DDO_216  Data  -0.05238 -4.5301E+00 0.0682 
DDO_216  Data   0.03016 -4.7265E+00 0.0738 
DDO_216  Data   0.09231 -4.8016E+00 0.0842 
DDO_216  Data   0.15300 -4.8687E+00 0.0822 
DDO_216  Data   0.20065 -4.8844E+00 0.0729 
DDO_216  Data   0.24865 -4.8991E+00 0.0667 
DDO_216  Data   0.28728 -4.8364E+00 0.0571 
DDO_216  Data   0.32699 -4.6878E+00 0.0680 
DDO_216  Data   0.36337 -4.4663E+00 0.0638 
DDO_216  Model -0.73147 -3.7779E+00 0.3274 
DDO_216  Model -0.45526 -3.9315E+00 0.1336 
DDO_216  Model -0.27074 -4.1143E+00 0.0967 
DDO_216  Model -0.15423 -4.2705E+00 0.0787 
DDO_216  Model -0.05225 -4.4307E+00 0.0611 
DDO_216  Model  0.03029 -4.5709E+00 0.0617 
DDO_216  Model  0.09244 -4.6794E+00 0.0740 
DDO_216  Model  0.15313 -4.7868E+00 0.0772 
DDO_216  Model  0.20078 -4.8732E+00 0.0754 
DDO_216  Model  0.24878 -4.9642E+00 0.0758 
DDO_216  Model  0.28741 -5.0409E+00 0.0734 
DDO_216  Model  0.32712 -5.1187E+00 0.0971 
DDO_216  Model  0.36350 -5.1762E+00 0.0982 
DDO_53   Data  -1.03943 -4.1878E+00 0.3103 
DDO_53   Data  -0.73840 -4.0110E+00 0.1177 
DDO_53   Data  -0.54935 -4.2729E+00 0.1117 
DDO_53   Data  -0.42762 -4.2836E+00 0.0918 
DDO_53   Data  -0.33264 -4.2254E+00 0.0624 
DDO_53   Data  -0.25475 -4.2359E+00 0.0464 
DDO_53   Data  -0.18873 -4.1926E+00 0.0384 
DDO_53   Data  -0.13144 -4.1767E+00 0.0462 
DDO_53   Data  -0.07651 -4.2426E+00 0.0430 
DDO_53   Data  -0.03161 -4.3704E+00 0.0453 
DDO_53   Data   0.00908 -4.6017E+00 0.0602 
DDO_53   Data   0.04628 -5.1074E+00 0.1415 
DDO_53   Model -1.11999 -4.0309E+00 0.1697 
DDO_53   Model -0.81896 -4.0408E+00 0.1418 
DDO_53   Model -0.62989 -4.0578E+00 0.1057 
DDO_53   Model -0.50815 -4.0785E+00 0.0879 
DDO_53   Model -0.41318 -4.1034E+00 0.0630 
DDO_53   Model -0.33529 -4.1319E+00 0.0434 
DDO_53   Model -0.26927 -4.1633E+00 0.0379 
DDO_53   Model -0.21198 -4.1971E+00 0.0490 
DDO_53   Model -0.15705 -4.2357E+00 0.0465 
DDO_53   Model -0.11215 -4.2723E+00 0.0478 
DDO_53   Model -0.07146 -4.3092E+00 0.0503 
DDO_53   Model -0.03426 -4.3457E+00 0.0404 
DDO_53   Model  0.00000 -4.3813E+00 0.0431 
DDO_70   Data  -0.84509 -3.8639E+00 0.1080 
DDO_70   Data  -0.51773 -4.0069E+00 0.0474 
DDO_70   Data  -0.35024 -4.0847E+00 0.0456 
DDO_70   Data  -0.22966 -4.1506E+00 0.0477 
DDO_70   Data  -0.12493 -4.2941E+00 0.0574 
DDO_70   Data  -0.04920 -4.3563E+00 0.0597 
DDO_70   Data   0.01525 -4.4996E+00 0.0605 
DDO_70   Data   0.07790 -4.6328E+00 0.0542 
DDO_70   Data   0.12689 -4.8456E+00 0.0585 
DDO_70   Data   0.17090 -5.0703E+00 0.0698 
DDO_70   Data   0.21561 -5.2671E+00 0.0904 
DDO_70   Data   0.25183 -5.3427E+00 0.0996 
DDO_70   Data   0.28525 -5.3274E+00 0.0876 
DDO_70   Data   0.31628 -5.2148E+00 0.0596 
DDO_70   Data   0.34874 -5.0858E+00 0.0450 
DDO_70   Data   0.37568 -4.9630E+00 0.0435 
DDO_70   Data   0.40105 -4.8482E+00 0.0425 
DDO_70   Data   0.42792 -4.7400E+00 0.0381 
DDO_70   Data   0.45048 -4.6650E+00 0.0322 
DDO_70   Data   0.47194 -4.6253E+00 0.0259 
DDO_70   Data   0.49486 -4.6359E+00 0.0233 
DDO_70   Data   0.51428 -4.7325E+00 0.0235 
