PGC	Name	RAJ2000	DEJ2000	HRV	PGC1
5064912	"SDSSJ025957.65+001545.4"	44.9903	0.2626	1642	5064912
1162351	"PGC1162351"	45.2996	0.303	2793	1162351
1169385	"PGC1169385"	44.8105	0.5664	2773	1169385
11153	"UGC02429"	44.2876	1.3263	1776	11153
1198049	"PGC1198049"	44.8296	1.5429	2877	1198049
11639	"UGC02535"	46.5489	1.5921	2968	11639
1210443	"PGC1210443"	45.8383	1.9259	2594	1210443
1230912	"PGC1230912"	45.2473	2.566	3298	1230912
11156	"IC0273"	44.2948	2.7751	3188	11156
10942	"NGC1137"	43.5114	2.9621	3042	10942
11336	"IC0277"	44.9609	2.7713	2849	11336
11230	"NGC1153"	44.5429	3.3619	3126	11230
11265	"UGC02446"	44.6727	3.4349	3104	11230
11252	"UGC02441"	44.5921	3.8627	3053	11252
12188	"PGC012188"	49.2593	3.6494	890	12188
10588	"UGC02275"	41.9909	3.8855	1025	10588
10861	"UGC02352"	43.0221	4.3701	1809	10861
10813	"PGC010813"	42.7689	4.4535	1010	10813
100744	"PGC100744"	41.9466	5.5889	1519	100744
11178	"UGC02432"	44.3612	10.1365	759	11178
87291	"PGC087291"	41.3203	9.5511	3391	87291
4668292	"HIPASSJ0237+12"	39.3276	12.5188	960	4668292
5072714	"Galfa=dw3"	44.7342	13.63	529	5072714
14149	"UGC02905"	59.2514	16.5232	292	14149
4668293	"HIPASSJ0341+18"	55.5081	18.1418	1297	4668293
1601696	"PGC1601696"	58.2459	19.6832	3249	1601696
12514	"UGC02684"	50.0988	17.2957	350	12719
12719	"UGC02716"	51.0311	17.7535	381	12719
13465	"UGC02809"	54.8877	19.7843	1288	13465
13557	"UGC02816"	55.2995	24.0126	1260	13557
2807105	"PGC2807105"	33.114	10.333	1740	2807105
138508	"PGC138508"	33.0968	13.2079	2243	138508
1468320	"PGC1468320"	29.8612	14.8342	2090	1468320
7849	"NGC0803"	30.9365	16.0309	2101	7849
1462017	"PGC1462017"	39.4243	14.5934	968	1462017
2832054	"PGC2832054"	40.8565	16.7333	818	2832054
10177	"UGC02168"	40.2538	17.4313	784	10177
10768	"PGC010768"	42.5821	19.1121	1241	10768
2807172	"PGC2807172"	43.9071	19.634	579	2807172
10127	"NGC1036"	40.1208	19.2971	790	10127
9236	"NGC0918"	36.4618	18.4963	1507	9236
9638	"UGC01999"	37.9676	19.1531	974	9638
7826	"UGC01546"	30.8342	18.6296	2374	7826
7517	"NGC0770"	29.8067	18.9546	2458	7525
7525	"NGC0772"	29.8317	19.0075	2472	7525
7750	"UGC01519"	30.57	19.1798	2346	7525
7663	"UGC01500"	30.3006	19.6751	2434	7525
87143	"PGC087143"	30.3371	19.9808	2336	87143
7613	"UGC01490"	30.1341	21.2875	3062	7613
6294	"UGC01197"	25.6377	18.3057	2796	6294
93843	"PGC093843"	22.839	19.2136	2924	93843
6337	"PGC006337"	25.8108	19.9809	499	6337
90569	"PGC090569"	28.2919	20.6732	2400	90569
6675	"IC0163"	27.3129	20.7111	2749	6675
7825	"UGC01547"	30.8345	22.0409	2647	7825
6793	"NGC0691"	27.6738	21.7599	2665	6848
6719	"NGC0680"	27.447	21.9708	2800	6848
6833	"IC0167"	27.7856	21.9128	2935	6848
6816	"NGC0694"	27.7437	21.9967	2950	6848
138465	"PGC138465"	27.6123	21.8808	2765	6848
6732	"IC1730"	27.4914	22.0122	2959	6848
6690	"NGC0678"	27.3535	21.9973	2835	6848
6716	"UGC01287"	27.4367	22.3745	2959	6848
6848	"NGC0697"	27.8232	22.3579	3090	6848
6750	"UGC01294"	27.5547	23.158	2864	6750
