PlateIFU	MaNGAId	RAJ2000	DEJ2000	NSAz	NSAzdist	NSAsth50	NSAeth50r	NSAsMass	NSAeMass	NSAsn	z	zmin	zmax	MnGtarg1
"8154-3703  "	"1-37494"	44.625467	0.794235	0.042907	0.043224	2.09359	2.27428	9.1343002E9	7.2659999E9	5.26078	0.042907	0.02074	0.027572	2080
"8154-6104  "	"1-37491"	44.623671	0.846092	0.042504	0.042822	3.90656	3.9584	6.2637998E9	4.6365998E9	1.51981	0.042504	0.02067	0.027511	2080
"8154-12705 "	"1-37547"	45.598159	0.979294	0.028331	0.028641	9.16455	10.9318	2.05010002E10	8.0192998E9	6.0	0.028331	0.023454	0.030591	1552
"8154-12703 "	"1-37546"	45.698403	0.964836	0.039659	0.039968	4.87172	6.7458	1.13129997E9	1.66620006E9	1.07075	0.039659	0.017677	0.025356	2336
"8777-6101  "	"7-25327440"	64.715417	17.387931					-9999.0	-9999.0					0
"8777-12701 "	"7-25766973"	65.066132	17.739762					-9999.0	-9999.0					0
"8776-3701  "	"7-25434434"	64.515616	17.767697					-9999.0	-9999.0					0
"8776-9101  "	"7-25522206"	64.471876	17.808262					-9999.0	-9999.0					0
"8777-12705 "	"7-25769889"	65.519874	18.038066					-9999.0	-9999.0					0
"8776-12702 "	"7-25701585"	65.810793	18.059248					-9999.0	-9999.0					0
"8776-6102  "	"7-25648024"	65.445823	18.202701					-9999.0	-9999.0					0
"8777-3701  "	"7-25515366"	64.387655	18.239239					-9999.0	-9999.0					0
"8776-12701 "	"3-46287052"	64.273107	18.456513					-9999.0	-9999.0					0
"8777-1902  "	"7-25518098"	64.467304	18.713644					-9999.0	-9999.0					0
"8776-3702  "	"7-25564544"	66.260124	18.744089					-9999.0	-9999.0					0
"8776-6103  "	"7-25656629"	66.334065	19.00969					-9999.0	-9999.0					0
"8776-9102  "	"7-25685519"	65.410817	18.848655					-9999.0	-9999.0					0
"8777-9101  "	"7-25764536"	66.061844	19.42027					-9999.0	-9999.0					0
"8777-12703 "	"7-25704548"	66.813484	19.149088					-9999.0	-9999.0					0
"8776-6104  "	"7-25724577"	66.962922	19.341639					-9999.0	-9999.0					0
"8777-6102  "	"7-25681153"	65.596796	19.29846					-9999.0	-9999.0					0
"8777-6103  "	"7-25685486"	65.711826	19.647631					-9999.0	-9999.0					0
"8777-1901  "	"3-41019223"	65.965419	19.739722					-9999.0	-9999.0					0
"8776-3703  "	"7-25657597"	65.921837	19.772299					-9999.0	-9999.0					0
"8776-12703 "	"7-25708300"	65.734622	19.808932					-9999.0	-9999.0					0
"8778-9102  "	"3-39287058"	63.926622	22.712198					-9999.0	-9999.0					0
"8779-12702 "	"3-40428287"	62.975538	22.895356					-9999.0	-9999.0					0
"8778-12701 "	"7-25472428"	63.244535	22.726276					-9999.0	-9999.0					0
"8778-9101  "	"7-25250976"	63.405724	22.965983					-9999.0	-9999.0					0
"8779-12701 "	"3-41017058"	62.564011	22.733066					-9999.0	-9999.0					0
"8779-9102  "	"3-40428107"	62.69113	23.082878					-9999.0	-9999.0					0
"8779-12704 "	"3-39286490"	62.982741	23.328834					-9999.0	-9999.0					0
"8779-1901  "	"7-25255037"	62.122404	23.527746					-9999.0	-9999.0					0
"8778-6101  "	"3-39850584"	62.348163	23.603896					-9999.0	-9999.0					0
"8779-9101  "	"3-39850588"	62.379929	23.65408					-9999.0	-9999.0					0
"8778-6103  "	"7-25297080"	62.113249	23.81839					-9999.0	-9999.0					0
"8778-6102  "	"7-25286372"	62.446196	24.010221					-9999.0	-9999.0					0
"8685-12705 "	"3-65709238"	50.818437	18.965773					-9999.0	-9999.0					0
