# str, deg J2000, deg J2000, str, km s^-1, km s^-1, km s^-1, km s^-1, Mpc, Mpc, str, str, mag, mag, mag, mag, mag, bool, bool, bool, bool, bool, bool, bool, str
name,RA,DEC,morphology,redshift_helio,redshift_helio_e,redshift_cmb,redshift_cmb_e,distance,distance_e,distance_method,RC_survey,ext_f,ext_n,ext_g,ext_r,ext_z,has_f-band,has_n-band,has_g-band,has_r-band,has_z-band,has_w1-band,has_w2-band,AutoProf_flags
2MASSJ00385299-5529210,9.7195,-55.4888,Sc,8344,8,8672.0652,8,102.5189,0.4079,CosmicFlows-3,SCII,0.1690,0.1370,0.0570,0.0380,0.0220,True,True,True,True,True,True,True,-
2MASSJ10574998+0138550,164.4582,1.6486,Sc,11655,2,11830.1509,2,157.9709,0.2732,CosmicFlows-3,SCII,0.7360,0.6180,0.1070,0.0720,0.0400,True,True,True,True,True,True,True,Light_symmetry
2MASSJ11000107+0137314,165.0045,1.6257,Scd,12781,3,13015.3340,3,170.5875,0.2558,CosmicFlows-3,SCII,0.8600,0.7270,0.0990,0.0670,0.0370,True,True,True,True,True,True,True,-
2MASSJ12541443-2903030,193.5605,-29.0509,-,17893,9,18229.4114,9,249.7180,0.1233,Hubble Flow (H0=73),SCII,1.5800,1.4790,0.2470,0.1660,0.0930,False,False,False,False,False,False,False,-
2MASSJ15172990+0810389,229.3747,8.1776,Sc,9982,3,10304.1871,3,119.6049,0.4085,CosmicFlows-3,SCII,0.5240,0.4340,0.1040,0.0700,0.0390,True,True,True,True,True,True,True,-
2MASSJ23250895+1509457,351.2872,15.1624,Scd,12834,3,13102.8338,3,156.6457,0.2616,CosmicFlows-3,SCII,0.9410,0.7990,0.2030,0.1360,0.0760,True,True,True,True,True,True,True,Light_symmetry
2MASSJ23253174+1522128,351.3822,15.3699,Sc,12061,3,12323.1735,3,146.9810,0.2505,CosmicFlows-3,SCII,0.7780,0.6540,0.2160,0.1450,0.0810,True,True,True,True,True,True,True,-
2MASSJ23542737-1023588,358.6141,-10.3998,Sa,27972,5,28139.6589,5,385.4748,0.0685,Hubble Flow (H0=73),SCII,0.9520,0.8080,0.1350,0.0910,0.0510,True,True,True,True,True,True,True,-
2MASXJ00585745-0039197,14.7393,-0.6555,Sc,22798,5,22435.0336,5,307.3292,0.0685,Hubble Flow (H0=73),SCII,0.9620,0.8170,0.1090,0.0730,0.0410,True,True,True,True,True,True,True,-
2MASXJ01131189+1505583,18.2997,15.0996,Sc(f),13650,3,13524.3795,3,173.6672,0.2574,CosmicFlows-3,SCII,1.0210,0.8700,0.1620,0.1090,0.0610,True,True,True,True,True,True,True,-
2MASXJ01133756+0025256,18.4066,0.4237,Scd(f),13966,5,14151.7907,5,174.1564,0.4020,CosmicFlows-3,SCII,0.3950,0.3250,0.1030,0.0690,0.0390,True,True,True,True,True,True,True,-
2MASXJ01154476+0019595,18.9363,0.3324,Se,13409,4,13750.3383,4,162.2811,0.2800,CosmicFlows-3,SCII,0.7780,0.6540,0.1010,0.0680,0.0380,True,True,True,True,True,True,True,-
2MASXJ01154483+0014005,18.9369,0.2333,Se,13336,3,13678.7091,3,160.8924,0.3100,CosmicFlows-3,SCII,0.9310,0.7900,0.1070,0.0720,0.0400,True,True,True,True,True,True,True,-
2MASXJ01155159+1511482,18.9650,15.1967,Sb(f),16395,5,16381.2605,5,224.4008,0.0685,Hubble Flow (H0=73),SCII,0.8600,0.7270,0.3090,0.2080,0.1160,True,True,True,True,True,True,True,-
2MASXJ01180192+0018525,19.5082,0.3145,Sc,12488,4,12833.1939,4,149.6998,0.2572,CosmicFlows-3,SCII,0.4810,0.3980,0.1080,0.0720,0.0410,True,True,True,True,True,True,True,-
2MASXJ01190434-0017330,19.7682,-0.2925,Sb(f) NLAGN,23411,6,23575.2426,6,322.9485,0.0822,Hubble Flow (H0=73),SCII,1.1170,0.9570,0.1060,0.0710,0.0400,True,True,True,True,True,True,True,-
2MASXJ01280350-0143135,22.0146,-1.7203,-,5745,78,5850.1812,78,65.4813,2.1940,CosmicFlows-3,SCII,1.4310,1.2460,0.1230,0.0830,0.0460,True,True,True,True,True,True,True,-
2MASXJ01292655-0111595,22.3607,-1.1998,Sbc,4908,2,5112.1464,2,54.5604,0.2557,CosmicFlows-3,SCII,1.1360,0.9740,0.0940,0.0630,0.0350,True,True,True,True,True,True,True,-
2MASXJ01504897+3230361,27.7039,32.5099,-,11232,8,11169.3934,8,144.6659,0.2849,CosmicFlows-3,SCII,1.4150,1.2310,0.1640,0.1100,0.0620,True,True,True,True,True,True,True,-
2MASXJ01514608+3311127,27.9421,33.1869,Sc,11414,9,11151.7419,9,147.3868,0.2867,CosmicFlows-3,SCII,1.5060,1.3170,0.1640,0.1100,0.0620,True,True,True,True,True,True,True,-
2MASXJ02552895+1613347,43.8707,16.2262,Sbc,20311,7,20643.5834,7,282.7888,0.0959,Hubble Flow (H0=73),SCII,1.1810,1.1400,0.4540,0.3050,0.1710,False,False,False,False,False,False,False,-
2MASXJ04295136-1257212,67.4641,-12.9559,Sc,9431,8,9346.7506,8,124.3991,0.6411,CosmicFlows-3,SCII,0.6520,0.5440,0.1490,0.1000,0.0560,False,False,True,True,True,True,True,-
2MASXJ04332373-1330550,68.3495,-13.5175,S,10228,8,10406.7364,8,136.7788,0.3998,CosmicFlows-3,SCII,0.9810,0.8350,0.5110,0.3430,0.1920,False,False,False,False,False,False,False,-
2MASXJ07084401+4818132,107.1834,48.3038,Scd,6215,7,5925.3039,7,86.6117,0.3163,CosmicFlows-3,SCII,1.3820,1.3120,0.2440,0.1640,0.0920,True,True,True,True,True,True,True,-
2MASXJ07085858+4832432,107.2441,48.5453,Sc,5932,7,5600.4793,7,82.9464,0.4086,CosmicFlows-3,SCII,1.3820,1.3120,0.2430,0.1630,0.0910,True,True,True,True,True,True,True,-
2MASXJ07094626+4855469,107.4428,48.9297,Sc,5841,7,5480.4637,7,80.3567,0.3859,CosmicFlows-3,SCII,1.7450,1.5880,0.2200,0.1480,0.0830,True,True,True,True,True,True,True,Light_symmetry
2MASXJ08295740+3035298,127.4892,30.5915,Sb:,14871,5,15017.2390,5,193.9056,0.2770,CosmicFlows-3,SCII,1.2100,1.0410,0.1590,0.1070,0.0600,True,True,True,True,True,True,True,-
2MASXJ08302827+3050296,127.6178,30.8414,Sbc,22151,4,22262.6883,4,304.9683,0.0548,Hubble Flow (H0=73),SCII,1.5890,1.3970,0.1600,0.1080,0.0600,True,True,True,True,True,True,True,-
2MASXJ08302832+3032006,127.6180,30.5335,Sc,27918,6,28028.1719,6,383.9476,0.0822,Hubble Flow (H0=73),SCII,1.2100,1.0410,0.1550,0.1040,0.0580,True,True,True,True,True,True,True,-
