sparc_name,pgc,method,T,D,eD,fD,Inc,eInc,L36,Reff,Rdisk,MHI,RHI,Vflat,eVflat,Q
CamB,17223,known,10,3.36,0.26,2,65.0,5.0,0.075,1.21,0.47,0.012,1.21,0.0,0.0,2
D512-2,42836,known,10,15.2,4.56,1,56.0,10.0,0.325,2.37,1.24,0.081,0.0,0.0,0.0,2
D564-8,43021,known,10,8.79,0.28,2,63.0,7.0,0.033,0.72,0.61,0.029,0.0,0.0,0.0,2
D631-7,47885,known,10,7.72,0.18,2,59.0,3.0,0.196,1.22,0.7,0.29,0.0,57.7,2.7,1
DDO064,27399,known,10,6.8,2.04,1,60.0,5.0,0.157,1.2,0.69,0.211,3.49,46.1,3.9,1
DDO154,43869,known,10,4.04,0.2,2,64.0,3.0,0.053,0.65,0.37,0.275,4.96,47.0,1.0,2
DDO161,45939,known,10,7.5,2.25,1,70.0,10.0,0.548,2.04,1.22,1.378,10.69,66.3,1.9,1
DDO168,46039,known,10,4.25,0.21,2,63.0,6.0,0.191,1.29,1.02,0.413,4.3,53.4,1.9,2
DDO170,46102,known,10,15.4,4.62,1,66.0,7.0,0.543,3.03,1.95,0.735,9.14,60.0,1.6,2
ESO079-G014,13332,known,4,28.7,7.17,1,79.0,5.0,51.733,7.23,5.08,3.14,17.67,175.0,3.5,1
ESO116-G012,10674,known,7,13.0,3.9,1,74.0,3.0,4.292,2.75,1.51,1.083,9.58,109.1,3.1,1
ESO444-G084,48139,known,10,4.83,0.48,2,32.0,6.0,0.071,0.75,0.46,0.135,2.95,0.0,0.0,2
ESO563-G021,24963,known,4,60.8,9.1,1,83.0,3.0,311.177,10.59,5.45,24.298,55.71,314.6,11.7,1
F561-1,-1,unresolved,9,66.4,10.0,1,24.0,10.0,4.077,5.39,2.79,1.622,10.69,50.0,2.9,3
F563-1,35541,known,9,48.9,9.8,1,25.0,5.0,1.903,4.61,3.52,3.2,23.47,109.9,12.5,1
F563-V1,-1,unresolved,10,54.0,10.8,1,60.0,10.0,1.54,5.01,3.79,0.61,6.83,0.0,0.0,3
F563-V2,-1,unresolved,10,59.7,11.9,1,29.0,10.0,2.986,4.49,2.43,2.169,11.37,116.6,9.4,1
F565-V2,-1,unresolved,10,51.8,10.4,1,60.0,10.0,0.559,3.57,2.17,0.699,7.31,0.0,0.0,2
F567-2,-1,unresolved,9,79.0,11.8,1,20.0,10.0,2.134,5.43,3.08,2.449,14.94,0.0,0.0,3
F568-1,36139,known,5,90.7,9.7,1,26.0,5.0,6.252,7.0,5.18,4.498,16.31,0.0,0.0,1
F568-3,36204,known,7,82.4,8.24,1,40.0,10.0,8.346,7.47,4.99,3.195,16.14,0.0,0.0,1
F568-V1,-1,unresolved,7,80.6,8.06,1,40.0,10.0,3.825,4.4,2.85,2.491,14.38,112.3,15.8,1
F571-8,38025,known,5,53.3,10.7,1,85.0,5.0,10.164,1.4,3.56,1.782,24.55,139.7,4.3,1
F571-V1,-1,unresolved,7,80.1,8.0,1,30.0,10.0,1.849,4.38,2.47,1.217,10.1,83.6,3.5,2
F574-1,39600,known,7,96.8,9.68,1,65.0,10.0,6.537,5.87,4.46,3.524,16.19,97.8,4.1,1
F574-2,-1,unresolved,9,89.1,8.91,1,30.0,10.0,2.877,6.48,3.76,1.701,12.61,0.0,0.0,3
