Name	log_MBH	err_plus	err_minus	RA	Dec	z
Mrk335	7.230	0.042	0.044	00:06:19.5	+20:12:10	0.02579
Mrk1501	8.067	0.119	0.165	00:10:31.0	+10:58:30	0.08934
PG0026+129	8.487	0.096	0.119	00:29:13.6	+13:16:03	0.14200
PG0052+251	8.462	0.083	0.094	00:54:52.1	+25:25:38	0.15445
Fairall9	8.299	0.078	0.116	01:23:45.8	-58:48:21	0.04702
Mrk590	7.570	0.062	0.074	02:14:33.5	-00:46:00	0.02639
Mrk1044				02:30:05.5	-08:59:53	0.01645
1H0323+342				03:24:41.1	+34:10:46	0.06100
3C120	7.745	0.038	0.040	04:33:11.1	+05:21:16	0.03301
IRAS 04416+1215				04:44:28.8	+12:21:12	0.08890
H0507+164	6.876	0.074	0.424	05:10:45.5	+16:29:56	0.01788
Ark120	8.068	0.048	0.063	05:16:11.4	-00:08:59	0.03271
MCG+08-11-011	7.288	0.046	0.054	05:54:53.6	+46:26:22	0.02048
Mrk6	8.102	0.037	0.041	06:52:12.2	+74:25:37	0.01881
Mrk374	7.248	0.192	0.322	06:59:38.1	+54:11:48	0.04263
Mrk79	7.612	0.107	0.136	07:42:32.8	+49:48:35	0.02219
SDSS J074352+271240	7.912	0.052	0.048	07:43:52.0	+27:12:40	0.25200
SDSS J075051+245409	7.223	0.123	0.110	07:50:51.1	+24:54:09	0.40040
SDSS J075101+291419	7.369	0.096	0.143	07:51:01.4	+29:14:19	0.12090
Mrk382				07:55:25.3	+39:11:10	0.03369
SDSS J075949+320024	7.199	0.161	0.202	07:59:49.5	+32:00:24	0.18790
PG0804+761	8.735	0.048	0.053	08:10:58.6	+76:02:43	0.10000
SDSS J081441+212919	7.507	0.228	0.483	08:14:41.9	+21:29:19	0.16260
APM08279+5255	9.869	0.130	0.123	08:31:41.7	+52:45:18	3.91220
NGC2617	6.934	0.113	0.176	08:35:38.8	-04:05:18	0.01421
SDSS J083553+055317	7.200	0.157	0.249	08:35:53.4	+05:53:17	0.20512
S5 0836+71				08:41:24.3	+70:53:42	2.17200
SDSS J084533+474935	7.326	0.136	0.095	08:45:33.3	+47:49:35	0.30237
PG0844+349	7.858	0.154	0.230	08:47:42.4	+34:45:04	0.06400
Mrk704	7.565	0.070	0.104	09:18:26.0	+16:18:19	0.02863
Mrk110	7.292	0.101	0.097	09:25:12.9	+52:17:11	0.03529
SDSS J093302+385228	7.049	0.232	0.541	09:33:02.7	+38:52:28	0.17721
PG0934+013	6.407	0.113	0.159	09:37:01.0	+01:05:43	0.05034
PG0953+414	8.333	0.082	0.108	09:56:52.4	+41:15:22	0.23410
SDSS J100402+285535	7.570	0.375	0.131	10:04:02.6	+28:55:35	0.32720
SDSS J101000+300322	7.650	0.273	0.187	10:10:00.7	+30:03:22	0.25643
NGC3227	6.684	0.081	0.102	10:23:30.6	+19:51:54	0.00386
Mrk142	6.294	0.090	0.104	10:25:31.3	+51:40:35	0.04494
NGC3516	7.399	0.036	0.058	11:06:47.5	+72:34:07	0.00884
SBS1116+583A	6.558	0.081	0.088	11:18:57.7	+58:03:24	0.02787
SBS1116+603				11:19:14.3	+60:04:57	2.64146
Arp151	6.672	0.041	0.046	11:25:36.2	+54:22:57	0.02109
NGC3783	7.079	0.054	0.062	11:39:01.7	-37:44:19	0.00973
SDSS J1139+3355				11:39:13.9	+33:55:51	0.03275
MCG+06-26-012				11:39:13.9	+33:55:51	0.03275
UGC06728	5.858	0.191	0.418	11:45:16.0	+79:40:53	0.00652
Mrk1310	6.212	0.071	0.089	12:01:14.3	-03:40:41	0.01956
NGC4051	5.891	0.084	0.145	12:03:09.6	+44:31:53	0.00234
NGC4151	7.374	0.027	0.032	12:10:32.6	+39:24:21	0.00332
PG1211+143				12:14:17.7	+14:03:13	0.08090
Mrk202	6.133	0.166	0.173	12:17:55.0	+58:39:35	0.02102
NGC4253	6.822	0.050	0.057	12:18:26.5	+29:48:46	0.01293
Mrk50	7.551	0.052	0.063	12:23:24.1	+02:40:45	0.02343
NGC4395	5.449	0.130	0.145	12:25:48.8	+33:32:49	0.00106
PG1226+023	8.839	0.077	0.113	12:29:06.7	+02:03:09	0.15834
PG1229+204	7.758	0.175	0.219	12:32:03.6	+20:09:29	0.06301
NGC4593	6.912	0.069	0.068	12:39:39.4	-05:20:39	0.00900
WAS61				12:42:10.6	+33:17:03	0.04351
PG1247+267				12:50:05.7	+26:31:08	2.03800
NGC4748	6.407	0.110	0.183	12:52:12.4	-13:24:53	0.01463
PG1307+085	8.537	0.094	0.161	13:09:47.0	+08:19:48	0.15500
MCG-06-30-15	6.295	0.157	0.237	13:35:53.7	-34:17:44	0.00749
NGC5273	6.660	0.125	0.190	13:42:08.3	+35:39:15	0.00362
IC4329A				13:49:19.2	-30:18:34	0.01605
Mrk279	7.435	0.099	0.133	13:53:03.4	+69:18:30	0.03045
PG1411+442	8.539	0.125	0.169	14:13:48.3	+44:00:14	0.08960
NGC5548	7.692	0.016	0.016	14:17:59.5	+25:08:12	0.01718
SBS1425+606				14:26:56.2	+60:25:51	3.19716
PG1426+015	9.007	0.106	0.164	14:29:06.6	+01:17:06	0.08657
Mrk817	7.586	0.064	0.072	14:36:22.1	+58:47:39	0.03146
NGC5940	7.035	0.067	0.073	15:31:18.1	+07:27:28	0.03393
Mrk290	7.277	0.061	0.061	15:35:52.3	+57:54:09	0.02958
Mrk486				15:36:38.3	+54:33:33	0.03893
Mrk493				15:59:09.6	+35:01:47	0.03133
PG1613+658	8.339	0.164	0.271	16:13:57.2	+65:43:10	0.12900
PG1617+175	8.667	0.084	0.128	16:20:11.3	+17:24:28	0.11244
PG1700+518	8.786	0.091	0.103	17:01:24.8	+51:49:20	0.29200
Arp102B				17:19:14.5	+48:58:49	0.02417
3C382	8.847	0.084	0.058	18:35:03.4	+32:41:47	0.05787
3C390.3	8.711	0.033	0.036	18:42:09.0	+79:46:17	0.05610
1RXS J1858+4850	6.705	0.067	0.081	18:58:01.1	+48:50:23	0.07900
Zw229-015	6.913	0.075	0.119	19:05:25.9	+42:27:40	0.02788
NGC6814	7.038	0.056	0.058	19:42:40.6	-10:19:25	0.00521
Mrk509	8.049	0.035	0.035	20:44:09.7	-10:43:25	0.03440
PG2130+099	7.433	0.055	0.063	21:32:27.8	+10:08:19	0.06298
NGC7469	6.956	0.048	0.050	23:03:15.6	+08:52:26	0.01632
