Table 3 
Bulge Masses and Densities of Kormendy & Ho (2013)


Galaxy	$\mathrm{log}{M}_{\mathrm{Bu},C}({M}_{\odot })$	$\delta \mathrm{log}{M}_{\mathrm{Bu},C}({M}_{\odot })$	$\mathrm{log}{\rho }_{{\rm{h}},C}({M}_{\odot }\;{\mathrm{kpc}}^{-3})$	$\mathrm{log}{\rho }_{{\rm{h}},C}({M}_{\odot }\;{\mathrm{kpc}}^{-3})$	
IC 1459	11.6	0.1459	8.999	0.142	
NGC 0221	9.05	0.1053	10.97	0.1041	
NGC 0224	10.35	0.09694	9.462	0.09182	
NGC 0524	11.26	0.1247	7.737	0.1585	
NGC 0821	10.98	0.144	7.864	0.3854	
NGC 1023	10.53	0.1105	10.45	0.09558	
NGC 1194	10.64	0.1305	8.044	0.1046	
NGC 1399	11.5	0.09493	7.064	0.1045	
NGC 2549	9.71	0.1518	9.207	0.2301	
NGC 3115	10.92	0.1394	8.713	0.3955	
NGC 3245	10.69	0.1209	10.75	0.1012	
NGC 3377	10.5	0.1177	8.212	0.3394	
NGC 3379	10.91	0.1032	8.492	0.1362	
NGC 3585	11.26	0.2011	8.619	0.4923	
NGC 3608	11.01	0.1313	7.69	0.4016	
NGC 3998	10.67	0.1187	10.68	0.1064	
NGC 4026	10.33	0.1453	9.812	0.127	
NGC 4258	9.86	0.1082	9.54	0.09493	
NGC 4291	10.85	0.1627	8.893	0.2214	
NGC 4374	11.62	0.1033	7.63	0.2246	
NGC 4473	10.85	0.1078	8.256	0.2925	
NGC 4486	11.72	0.104	7.072	0.2571	
NGC 4526	11.02	0.1303	10.56	0.1017	
NGC 4564	10.38	0.1059	8.835	0.1915	
NGC 4594	11.47	0.1156	7.74	0.1031	
NGC 4649	11.64	0.1235	7.618	0.3796	
NGC 4697	10.97	0.1018	7.838	0.1947	
NGC 5077	11.28	0.2094	8.677	0.1506	
NGC 5576	11	0.1096	8.119	0.1767	
NGC 5845	10.57	0.1733	10.32	0.1849	
NGC 6086	11.69	0.1155	8.86	0.1013	
NGC 7457	9.56	0.1232	9.08	0.1009	
NGC 7768	11.75	0.2579	6.737	0.5879	
NGC 1332	11.26	0.1152	10.26	0.09697	
NGC 1374	10.63	0.1078	8.313	0.2112	
NGC 1407	11.71	0.194	7.386	0.4655	
NGC 1550	11.31	0.1476	7.528	0.3321	
NGC 3031	10.42	0.1065	9.531	0.1725	
NGC 3091	11.58	0.1789	7.99	0.2851	
NGC 4486a	9.92	0.1207	9.39	0.2922	
NGC 4472	11.86	0.1107	7.092	0.2741	
NGC 4751	10.99	0.1439	8.486	0.256	
NGC 5516	11.65	0.1387	7.404	0.2169	
NGC 6861	11.21	0.1925	8.587	0.5468	
NGC 7619	11.61	0.1879	7.211	0.487	
Note. Column 1: galaxy name; columns 2 and 3: bulge masses from Kormendy & Ho (2013) derived from colors with our error estimates; columns 4 and 5: bulge densities derived from colors using the r_h of Table 1 and errors.
