#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-02T15:48:49 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T15:48:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/831/134/table2&-out.max=300&-out=*	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18310134
#Name: J/ApJ/831/134
#Title: BH masses & host galaxy dispersion vel. (van den Bosch, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	creator=van den Bosch R.C.E.	    First author or institution
#INFO	cites=bibcode:2016ApJ...831..134V	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/831/134	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18310134	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_831_134_table2:
#Name: J/ApJ/831/134/table2
#Title: Sample of the black hole mass measurements and the growth curve photometry
#Column	Name	(a14)	Name	[ucd=meta.id;meta.main]
#Column	f_Name	(I1)	? Omission Flag (1)	[ucd=meta.code]
#Column	Dist	(F6.1)	[0.008/1251] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	logBHMass	(F5.2)	[0/10.4] Black Hole Mass, log solar units	[ucd=phys.mass]
#Column	E_logBHMass	(F5.2)	[0.02/7] Upper uncertainty on BHMass	[ucd=stat.error;stat.max]
#Column	logsigma	(F5.2)	[1.1/2.6]? Stellar velocity dispersion inside Re, log km/s	[ucd=phys.veloc.dispersion]
#Column	logLk	(F5.2)	[8.2/12.3]? Total luminosity, log solar units	[ucd=phys.luminosity]
#Column	logRe	(F5.2)	[-1.7/1.5]? Half-light radius (=R50), log kpc	[ucd=phys.size.radius]
#Column	cov	(F5.2)	[0.02/0.2]? Covariance between Lk and Re	[ucd=stat.covariance]
#Column	C28	(F4.1)	[2.5/11]? Concentration, 5log(R20/R80)	[ucd=meta.note]
#Column	logAGN	(F5.2)	[6.5/12]? Non-stellar AGN flux, log solar units	[ucd=phys.luminosity]
#Column	Meth	(a6)	Method used for BH mass measurement (2)	[ucd=meta.note]
#Column	Refs	(a8)	Literature Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	f_Name	Dist	logBHMass	E_logBHMass	logsigma	logLk	logRe	cov	C28	logAGN	Meth	Refs	SimbadName	NED	_RA	_DE
 	 	Mpc	[Msun]	[Msun]	[km/s]	[Lsun]	[kpc]	 	 	[Lsun]	 	 	 	 	deg	deg
--------------	-	------	-----	-----	-----	-----	-----	-----	----	-----	------	--------	-----------------------	---	---------	---------
3C120         	 	 141.4	 7.73	 0.15	 2.21	11.20	 1.00	 0.05	 3.8	11.39	reverb	45      	3C120                  	NED	068.29623	+05.35434
3C390.3       	 	 240.3	 8.62	 0.16	 2.44	11.25	 0.64	 0.14	 3.9	11.26	reverb	26      	3C390.3                	NED	280.53746	+79.77142
A1836BCG      	 	 152.4	 9.57	 0.06	 2.46	11.75	 0.89	 0.04	 4.9	     	gas   	19      	MCG-02-36-002          	NED	210.42444	-11.60699
A3565BCG      	 	  49.2	 9.11	 0.07	 2.51	11.83	 0.98	 0.04	 5.3	     	gas   	19      	IC 4296                	NED	204.16272	-33.96592
Ark120        	 	 140.1	 8.05	 0.17	 2.28	11.20	 0.74	 0.05	 3.9	11.53	reverb	27      	Ark120                 	NED	079.04748	-00.14990
Arp151        	 	  90.3	 6.65	 0.16	 2.07	10.62	 0.45	 0.10	10.9	     	reverb	8       	Arp151                 	NED	171.40063	+54.38259
Circinus      	 	   2.8	 6.06	 0.10	 2.20	10.22	 0.18	 0.09	 6.7	     	maser 	36      	NAME Circinus Galaxy   	NED	213.29127	-65.33902
CygnusA       	 	 257.1	 9.41	 0.13	 2.43	12.24	 1.46	 0.05	 4.4	     	gas   	81      	NAME Cygnus A          	NED	299.86815	+40.73392
ESO558-009    	 	 102.5	 7.22	 0.03	 2.23	11.13	 0.68	 0.09	 5.6	10.10	maser 	34      	ESO558-009             	NED	106.08751	-21.58871
Fairall9      	 	 201.4	 8.27	 0.21	 2.35	11.57	 0.88	 0.07	 4.1	11.42	reverb	71,88   	Fairall9               	NED	020.94062	-58.80574
Henize2-10    	 	   9.0	 0.00	 7.00	 1.54	 9.68	-0.33	 0.06	 5.1	     	star  	62      	Hen 2-10               	NED	129.06329	-26.40935
IC0342        	 	   3.7	 6.41	 0.29	 1.78	10.65	 0.83	 0.13	 3.4	     	gas   	7       	IC0342                 	NED	056.70214	+68.09611
IC1459        	 	  28.9	 9.39	 0.08	 2.53	11.64	 0.80	 0.05	 5.9	     	star  	14      	IC1459                 	NED	344.29420	-36.46222
IC1481        	 	  89.9	 7.15	 0.13	 1.98	10.99	 0.50	 0.06	 4.4	 9.73	maser 	43,88   	IC1481                 	NED	349.85458	+05.90621
IC2560        	 	  41.8	 7.64	 0.05	 2.15	11.26	 1.09	 0.05	 4.5	 9.60	maser 	34      	IC2560                 	NED	154.07777	-33.56385
IC3639        	 	  44.8	 7.01	 0.35	 1.96	10.76	 0.33	 0.07	 3.8	 9.71	gas   	7       	IC3639                 	NED	190.22032	-36.75585
J0437+2456    	 	  66.0	 6.45	 0.03	 2.04	10.61	 0.70	 0.04	 3.0	 9.57	maser 	34      	2MASX J04370366+2456067	NED	069.26533	+24.93525
Mrk0050       	 	 100.3	 7.40	 0.18	 2.03	10.44	 0.30	 0.07	 3.2	 9.93	reverb	4       	Mrk0050                	NED	185.85059	+02.67900
Mrk0079       	 	  95.0	 7.58	 0.23	 2.11	11.17	 0.93	 0.04	 3.2	10.99	reverb	71      	Mrk0079                	NED	115.63699	+49.80973
Mrk0202       	 	  90.0	 6.11	 0.28	 1.89	10.48	 0.35	 0.10	 5.8	 9.48	reverb	8       	Mrk0202                	NED	184.47901	+58.65990
Mrk0509       	 	 147.3	 8.03	 0.15	 2.26	11.19	 0.58	 0.09	 4.1	11.54	reverb	71      	Mrk0509                	NED	311.04070	-10.72346
Mrk0590       	 	 113.0	 7.55	 0.18	 2.28	11.58	 0.96	 0.05	 5.1	11.14	reverb	71      	Mrk0590                	NED	033.63991	-00.76674
Mrk0817       	 	 134.7	 7.57	 0.18	 2.08	11.17	 0.76	 0.05	 3.6	11.23	reverb	24      	Mrk0817                	NED	219.09222	+58.79415
Mrk1216       	 	  94.0	 9.30	 0.70	 2.49	11.29	 0.47	 0.06	 6.6	     	star  	96      	Mrk1216                	NED	127.19634	-06.94018
Mrk1310       	 	  83.8	 6.19	 0.19	 1.92	10.35	 0.28	 0.06	 2.8	10.02	reverb	8       	Mrk1310                	NED	180.30980	-03.67805
NGC0193       	 	  49.7	 8.40	 0.32	 2.27	11.24	 0.83	 0.05	 5.9	     	gas   	7       	NGC0193                	NED	009.82741	+03.33135
NGC0205       	 	   0.7	 0.00	 4.34	 1.59	 8.66	-0.25	 0.05	 3.4	     	star  	85      	NGC0205                	NED	010.09198	+41.68530
NGC0221       	 	   0.8	 6.39	 0.19	 1.87	 9.11	-0.90	 0.02	 5.0	     	star  	87      	NGC0221                	NED	010.67427	+40.86517
NGC0289       	 	  17.1	 7.38	 0.30	 2.03	10.60	 0.35	 0.04	 3.0	     	gas   	7       	NGC0289                	NED	013.17652	-31.20583
NGC0307       	 	  52.8	 8.60	 0.06	 2.31	10.95	 0.44	 0.06	 6.5	     	stars 	75      	NGC0307                	NED	014.13581	-01.77194
NGC0315       	 	  57.7	 8.92	 0.31	 2.49	11.79	 1.01	 0.05	 4.9	     	gas   	7       	NGC0315                	NED	014.45368	+30.35245
NGC0383       	 	  59.2	 8.76	 0.32	 2.38	11.69	 1.09	 0.07	 6.1	     	gas   	7       	NGC0383                	NED	016.85399	+32.41256
NGC0404       	 	   3.1	 5.65	 0.25	 1.39	 9.39	-0.23	 0.05	 4.7	     	gas   	79      	NGC0404                	NED	017.36292	+35.71806
NGC0428       	 	  16.1	 4.48	 0.37	 1.50	10.01	 0.51	 0.04	 3.4	     	star  	61      	NGC0428                	NED	018.23212	+00.98158
NGC0524       	 	  24.2	 8.94	 0.05	 2.37	11.29	 0.56	 0.04	 4.7	     	star  	51      	NGC0524                	NED	021.19878	+09.53879
NGC0541       	 	  63.7	 8.59	 0.34	 2.28	11.36	 0.92	 0.06	 6.1	     	gas   	7       	NGC0541                	NED	021.43460	-01.37950
NGC0598       	 	   0.8	 0.00	 3.15	 1.26	 9.39	 0.32	 0.11	 2.8	 6.59	star  	32,60   	NGC0598                	NED	023.46210	+30.65994
NGC0613       	 	  15.4	 7.60	 0.35	 2.09	10.97	 0.82	 0.06	 4.7	     	gas   	7       	NGC0613                	NED	023.57598	-29.41849
NGC0741       	 	  65.7	 8.67	 0.37	 2.37	11.82	 1.18	 0.05	 5.5	     	gas   	7       	NGC0741                	NED	029.08733	+05.62882
NGC0788       	 	  47.9	 7.92	 0.28	 2.10	11.14	 0.59	 0.05	 4.6	     	gas   	7       	NGC0788                	NED	030.27687	-06.81583
NGC0821       	 	  23.4	 8.22	 0.21	 2.32	11.14	 0.82	 0.05	 5.9	     	star  	78      	NGC0821                	NED	032.08812	+10.99487
NGC1023       	 	  10.8	 7.62	 0.05	 2.22	10.94	 0.49	 0.06	 5.9	     	star  	11      	NGC1023                	NED	040.10005	+39.06325
