#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-02T15:48:55 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T15:48:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/831/134/table3&-out.max=100&-out=*	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18310134
#Name: J/ApJ/831/134
#Title: BH masses & host galaxy dispersion vel. (van den Bosch, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/831/134	    IVOID of underlying data collection
#INFO	creator=van den Bosch R.C.E.	    First author or institution
#INFO	cites=bibcode:2016ApJ...831..134V	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/831/134	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18310134	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_831_134_table3:
#Name: J/ApJ/831/134/table3
#Title: Sample of the black hole mass measurements that have incomplete data and are hence excluded from the fits
#Column	Name	(a14)	Name	[ucd=meta.id;meta.main]
#Column	f_Name	(I1)	? Omission Flag (1)	[ucd=meta.code]
#Column	Dist	(F6.1)	[0.008/1251] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	logBHMass	(F5.2)	[0/10.4] Black Hole Mass, log solar units	[ucd=phys.mass]
#Column	E_logBHMass	(F5.2)	[0.02/7] Upper uncertainty on BHMass	[ucd=stat.error;stat.max]
#Column	logsigma	(F5.2)	[1.1/2.6]? Stellar velocity dispersion inside Re, log km/s	[ucd=phys.veloc.dispersion]
#Column	logLk	(F5.2)	[8.2/12.3]? Total luminosity, log solar units	[ucd=phys.luminosity]
#Column	logRe	(F5.2)	[-1.7/1.5]? Half-light radius (=R50), log kpc	[ucd=phys.size.radius]
#Column	cov	(F5.2)	[0.02/0.2]? Covariance between Lk and Re	[ucd=stat.covariance]
#Column	C28	(F4.1)	[2.5/11]? Concentration, 5log(R20/R80)	[ucd=meta.note]
#Column	logAGN	(F5.2)	[6.5/12]? Non-stellar AGN flux, log solar units	[ucd=phys.luminosity]
#Column	Meth	(A6)	Method used for BH mass measurement (2)	[ucd=meta.note]
#Column	Refs	(a8)	Literature Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a21)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	f_Name	Dist	logBHMass	E_logBHMass	logsigma	logLk	logRe	cov	C28	logAGN	Meth	Refs	SimbadName	NED	_RA	_DE
 	 	Mpc	[Msun]	[Msun]	[km/s]	[Lsun]	[kpc]	 	 	[Lsun]	 	 	 	 	deg	deg
--------------	-	------	-----	-----	-----	-----	-----	-----	----	-----	------	--------	---------------------	---	---------	---------
1RXSJ1858+4850	2	 338.3	 6.68	 0.19	     	     	     	     	    	     	reverb	107     	1RXS J185800.9+485020	NED	284.50463	+48.83983
H0507+164     	2	  76.6	 6.69	 0.36	     	     	     	     	    	     	reverb	110     	H0507+164            	NED	077.68975	+16.49949
M60UCD1       	2	  16.5	 7.30	 0.15	 1.82	 8.29	-1.62	     	    	     	star  	109     	NAME M60-UCD1        	NED	190.89985	+11.53464
MW            	2	   0.0	 6.63	 0.05	 2.00	     	     	     	    	     	star  	104,105 	                     	NED	         	
Mrk0006       	2	  80.6	 8.09	 0.15	     	11.11	 0.66	 0.06	 6.0	10.99	reverb	102     	Mrk0006              	NED	103.05135	+74.42701
Mrk0142       	2	 192.5	 6.27	 0.21	     	     	     	     	    	     	reverb	103     	Mrk0142              	NED	156.38038	+51.67636
Mrk0290       	2	 126.7	 7.26	 0.17	     	     	     	     	    	     	reverb	24      	Mrk0290              	NED	233.96842	+57.90264
Mrk0335       	2	 110.5	 7.21	 0.16	     	     	     	     	    	     	reverb	103     	Mrk0335              	NED	001.58159	+20.20294
Mrk1029       	2	 124.0	 6.28	 0.13	 2.12	     	     	     	    	     	maser 	34      	Mrk1029              	NED	034.26489	+05.29195
Mrk1501       	2	 382.6	 8.03	 0.26	     	     	     	     	    	     	reverb	106     	Mrk1501              	NED	002.62919	+10.97486
NGC0224       	2	   0.8	 8.15	 0.16	 2.20	10.69	 0.22	     	    	     	star  	98      	NGC0224              	NED	010.68471	+41.26875
NGC0300       	2	   2.2	 2.00	 3.00	 1.11	 9.45	 0.30	     	    	     	star  	61      	NGC0300              	NED	013.72283	-37.68438
NGC4244       	2	   4.4	 0.00	 5.66	 1.45	 9.50	 0.37	     	    	     	star  	100     	NGC4244              	NED	184.37358	+37.80711
NGC4395       	2	   4.4	 5.54	 0.54	 1.47	 8.61	 0.01	     	    	     	gas   	101     	NGC4395              	NED	186.45384	+33.54675
NGC6264       	2	 147.6	 7.49	 0.05	 2.20	11.17	 0.96	     	    	     	maser 	52      	NGC6264              	NED	254.31712	+27.84964
NGC7793       	2	   3.3	 3.70	 2.20	 1.39	 9.61	 0.22	     	    	     	star  	61      	NGC7793              	NED	359.45761	-32.59103
PG0026+129    	2	 608.2	 8.46	 0.22	     	     	     	     	    	     	reverb	71      	PG0026+129           	NED	007.30709	+13.26775
PG0052+251    	2	 661.5	 8.44	 0.20	     	     	     	     	    	     	reverb	71      	PG0052+251           	NED	013.71721	+25.42748
PG0804+761    	2	 428.3	 8.72	 0.16	     	     	     	     	    	     	reverb	71      	PG0804+761           	NED	122.74445	+76.04513
PG0953+414    	2	1003.0	 8.31	 0.21	     	     	     	     	    	     	reverb	71      	PG0953+414           	NED	149.21830	+41.25616
PG1226+023    	2	 678.1	 8.81	 0.21	     	     	     	     	    	     	reverb	71      	PG1226+023           	NED	187.27790	+02.05241
PG1229+204    	2	 269.9	 7.72	 0.31	 2.20	     	     	     	    	     	reverb	71      	PG1229+204           	NED	188.01510	+20.15831
PG1307+085    	2	 663.8	 8.49	 0.24	     	     	     	     	    	     	reverb	71      	PG1307+085           	NED	197.44583	+08.33007
PG1411+442    	2	 383.7	 8.50	 0.26	 2.32	     	     	     	    	     	reverb	71      	PG1411+442           	NED	213.45137	+44.00391
PG1426+015    	2	 370.8	 8.96	 0.25	 2.34	     	     	     	    	     	reverb	71      	PG1426+015           	NED	217.27731	+01.28513
PG1613+658    	2	 552.5	 8.27	 0.33	     	     	     	     	    	     	reverb	71      	PG1613+658           	NED	243.48836	+65.71963
PG1617+175    	2	 481.6	 8.63	 0.22	 2.30	     	     	     	    	     	reverb	71      	PG1617+175           	NED	245.04700	+17.40767
PG1700+518    	2	1251.0	 8.76	 0.21	     	     	     	     	    	     	reverb	71      	PG1700+518           	NED	255.35342	+51.82233
PG2130+099    	2	 269.7	 7.41	 0.17	 2.21	     	     	     	    	     	reverb	106     	PG2130+099           	NED	323.11590	+10.13869
Zw229-015     	2	 119.4	 6.88	 0.21	     	     	     	     	    	     	reverb	97      	Z 229-015            	NED	286.35803	+42.46107
NGC3227       	3	  23.8	 6.75	 0.21	 1.96	11.21	 1.03	 0.06	 4.9	 9.51	reverb	24      	NGC3227              	NED	155.87737	+19.86508
NGC4151       	3	  20.0	 7.54	 0.16	 1.99	11.00	 0.62	 0.08	 7.1	10.23	reverb	99      	NGC4151              	NED	182.63572	+39.40580
NGC4395       	3	   4.4	 5.43	 0.25	 1.47	 8.61	 0.01	     	    	     	reverb	108     	NGC4395              	NED	186.45384	+33.54675

