# No_min[m]    No_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
-9.990000000000000000e+02 -9.990000000000000000e+02 3.246401358265289947e-15 3.246401358265289947e-15 7.030293840151413676e-02 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 3.246401358265289947e-15 1.783184219962814779e-14 1.181810061695192293e-03 7.504980811727506029e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 3.246401358265289947e-15 9.794679127486211615e-14 3.777875098216474298e-05 1.048790276356544222e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 3.246401358265289947e-15 5.380024011900163420e-13 -9.378620465976739838e-07 -1.129430011297406247e-06 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 3.246401358265289947e-15 2.955141050756516919e-12 7.964679916626677021e-04 4.063079736520265823e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.783184219962814779e-14 3.246401358265289947e-15 1.181810061695192293e-03 7.504980811727506029e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.783184219962814779e-14 1.783184219962814779e-14 3.527140150178608713e-01 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.783184219962814779e-14 9.794679127486211615e-14 2.712385362024435920e-03 3.361768697930050346e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.783184219962814779e-14 5.380024011900163420e-13 7.890697433100872992e-04 4.242395306131309363e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.783184219962814779e-14 2.955141050756516919e-12 5.118833074847626728e-04 1.165825004909041082e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 9.794679127486211615e-14 3.246401358265289947e-15 3.777875098216474298e-05 1.048790276356544222e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 9.794679127486211615e-14 1.783184219962814779e-14 2.712385362024435920e-03 3.361768697930050346e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 9.794679127486211615e-14 9.794679127486211615e-14 1.845629015262092887e+00 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 9.794679127486211615e-14 5.380024011900163420e-13 7.380373472863049900e-03 1.734655493232138386e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 9.794679127486211615e-14 2.955141050756516919e-12 2.928776946106011799e-03 2.916002215240838936e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 5.380024011900163420e-13 3.246401358265289947e-15 -9.378620465976739838e-07 -1.129430011297406247e-06 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 5.380024011900163420e-13 1.783184219962814779e-14 7.890697433100872992e-04 4.242395306131309363e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 5.380024011900163420e-13 9.794679127486211615e-14 7.380373472863049900e-03 1.734655493232138386e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 5.380024011900163420e-13 5.380024011900163420e-13 9.808120611184106608e+00 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 5.380024011900163420e-13 2.955141050756516919e-12 1.253353461044338577e-02 5.413204355305713256e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.955141050756516919e-12 3.246401358265289947e-15 7.964679916626677021e-04 4.063079736520265823e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.955141050756516919e-12 1.783184219962814779e-14 5.118833074847626728e-04 1.165825004909041082e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.955141050756516919e-12 9.794679127486211615e-14 2.928776946106011799e-03 2.916002215240838936e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.955141050756516919e-12 5.380024011900163420e-13 1.253353461044338577e-02 5.413204355305713256e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.955141050756516919e-12 2.955141050756516919e-12 5.465784269150088193e+01 1.000000000000000000e+00 9.708287439144076547e-01
