# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    7.4905e-01    -1.5482e-01    9.4013e-02    9.8531e-01    7.8021e-02    1.2123e+02    1.2990e+02
2.4388e-15    1.2616e+00    -3.1588e-01    1.2107e-01    9.8531e-01    7.8021e-02    7.1506e+01    7.4954e+01
4.3030e-15    1.7514e+00    -1.3917e-02    1.5667e-01    9.8531e-01    7.8021e-02    4.1801e+01    4.2890e+01
7.5922e-15    2.5833e+00    1.4423e-01    2.0259e-01    9.8531e-01    7.8021e-02    2.4380e+01    2.4394e+01
1.3396e-14    2.9842e+00    -4.5765e-02    2.6342e-01    9.8531e-01    7.8021e-02    1.4174e+01    1.3941e+01
2.3635e-14    3.8675e+00    9.4982e-02    3.4415e-01    9.8531e-01    7.8021e-02    8.2207e+00    8.0041e+00
4.1702e-14    6.1754e+00    -3.3518e-01    4.5099e-01    9.8531e-01    7.8021e-02    4.7524e+00    4.5937e+00
7.3580e-14    7.1528e+00    4.6300e-01    5.9215e-01    9.8531e-01    7.8021e-02    2.7420e+00    2.6363e+00
1.2982e-13    1.0577e+01    4.0120e-01    7.7839e-01    9.8531e-01    7.8021e-02    1.5813e+00    1.5150e+00
2.2906e-13    1.2020e+01    -1.3001e+00    1.0248e+00    9.8531e-01    7.8021e-02    9.0983e-01    8.6929e-01
4.0416e-13    1.6934e+01    -3.6049e-01    1.3483e+00    9.8531e-01    7.8021e-02    5.2455e-01    5.0020e-01
7.1310e-13    1.9169e+01    9.2619e-01    1.7802e+00    9.8531e-01    7.8021e-02    3.0075e-01    2.8663e-01
1.2582e-12    2.5497e+01    1.1767e+00    2.3448e+00    9.8531e-01    7.8021e-02    1.7308e-01    1.6470e-01
2.2200e-12    3.2921e+01    4.1086e+00    3.1010e+00    9.8531e-01    7.8021e-02    9.8967e-02    9.4185e-02
3.9169e-12    3.3757e+01    1.1884e+00    4.1116e+00    9.8531e-01    7.8021e-02    5.6334e-02    5.3650e-02
