# No_min[m]    No_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.382201932178117638e-15 8.838537921688698062e-03 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.438762430455725505e-15 9.873286638439333733e-04 8.673957237735827053e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.302961856542886968e-15 7.125567764169731802e-04 4.837662212640949505e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.592162527861749358e-15 4.664573651865272681e-04 2.449116366089737137e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.339564090297987229e-14 2.683373062216857607e-04 1.083549331066799293e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.363532057474613662e-14 1.545359660631234560e-04 4.776321144757741423e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.170225095738051496e-14 1.011934096464258217e-04 2.386707109647969588e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.357961274155570078e-14 5.043787441253244435e-05 9.060095459595615686e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.298241530590361534e-13 1.984033380888785680e-06 2.711197875119422242e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.290622373441387703e-13 -1.737280197979286647e-05 -1.803254588326745785e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.041582967480835065e-13 -4.700572195057127480e-07 -3.708276040831789363e-06 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.130984605939525963e-13 2.861398383471257619e-05 1.709721878344989607e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.258193679538452461e-12 -4.763896244011192783e-05 -2.161040240589135288e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.219961790286235902e-12 -1.071110776443777419e-04 -3.674028275886339246e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 3.916909161504292686e-12 6.505345107512445232e-05 1.682934600496337196e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.382201932178117638e-15 9.873286638439333733e-04 8.673957237735827053e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.438762430455725505e-15 1.465914051868344448e-02 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.302961856542886968e-15 1.362552709148042752e-03 7.182991268833079090e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.592162527861749358e-15 1.013110673667687615e-03 4.130382932050795375e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.339564090297987229e-14 7.090578645372964863e-04 2.223234493532697670e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.363532057474613662e-14 4.605409613774206568e-04 1.105269465731619112e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.170225095738051496e-14 2.903335688315627854e-04 5.317164674701626258e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.357961274155570078e-14 1.505260526218893239e-04 2.099537477406767608e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.298241530590361534e-13 1.389805503087829458e-04 1.474695070449168893e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.290622373441387703e-13 3.208458724747083877e-05 2.585946847418487370e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.041582967480835065e-13 1.139964729838090344e-05 6.983107107388762278e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.130984605939525963e-13 1.115366350834123973e-04 5.174884258272603645e-04 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.258193679538452461e-12 2.487740375634335719e-05 8.762773282013601450e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.219961790286235902e-12 -2.712737334817276759e-05 -7.225232237545415681e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 3.916909161504292686e-12 -9.726400177541109915e-06 -1.953821991293351734e-05 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 1.382201932178117638e-15 7.125567764169731802e-04 4.837662212640949505e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 2.438762430455725505e-15 1.362552709148042752e-03 7.182991268833079090e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 4.302961856542886968e-15 2.454637915098902001e-02 1.000000000000000000e+00 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 7.592162527861749358e-15 1.744552552351415165e-03 5.496396038077600715e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 1.339564090297987229e-14 1.215187432043017416e-03 2.944471788477238949e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 2.363532057474613662e-14 7.423786022746656048e-04 1.376847656170361762e-02 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 4.170225095738051496e-14 3.936593088363221095e-04 5.571394597513657822e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 7.357961274155570078e-14 2.653439783949468984e-04 2.860103369845779561e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 1.298241530590361534e-13 1.381374496096297009e-04 1.132713743321172879e-03 9.708287439144076547e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 4.302961856542886968e-15 2.290622373441387703e-13 6.392528429195854065e-05 3.981588196606920403e-04 9.708287439144076547e-01
