# No_min[m]    No_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.382201932178117638e-15 1.287495482620460985e-01 1.000000000000000000e+00 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.438762430455725505e-15 3.481936448477081138e-03 2.071164011500730914e-02 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.302961856542886968e-15 2.809627196283689694e-03 1.271794134881718170e-02 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.592162527861749358e-15 9.006063902907484806e-04 3.095666387861996816e-03 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.339564090297987229e-14 1.090667360496524503e-04 2.837852733185180945e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.363532057474613662e-14 7.328390544859226044e-04 1.439182225701254132e-03 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.170225095738051496e-14 1.887325629856590901e-04 2.797188231846454293e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.357961274155570078e-14 9.744877773341699423e-05 1.088864203231146120e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.298241530590361534e-13 7.972679595799408384e-04 6.708388047100891354e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.290622373441387703e-13 4.143764125250320291e-04 2.623877673518475845e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 4.041582967480835065e-13 1.700621854203872817e-03 8.112679782934312462e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 7.130984605939525963e-13 1.366506033873429856e-03 4.922027700230347707e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 1.258193679538452461e-12 -4.373978582966110435e-04 -1.181355312126038050e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 2.219961790286235902e-12 2.395435255669596183e-03 4.868998674037320674e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 1.382201932178117638e-15 3.916909161504292686e-12 -2.512190644571852139e-03 -3.825048909866391594e-04 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.382201932178117638e-15 3.481936448477081138e-03 2.071164011500730914e-02 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.438762430455725505e-15 2.195164062152025475e-01 1.000000000000000000e+00 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 4.302961856542886968e-15 3.226471492605679624e-03 1.118498270578865798e-02 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 7.592162527861749358e-15 3.285128970670735202e-03 8.647905129489191073e-03 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 1.339564090297987229e-14 2.225073877291578080e-03 4.433853485586213353e-03 9.712109791184360130e-01
-9.990000000000000000e+02 -9.990000000000000000e+02 2.438762430455725505e-15 2.363532057474613662e-14 1.325249891684571581e-03 1.993169915154508094e-03 9.712109791184360130e-01
