# n_2dphot_min[m]    n_2dphot_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.382201932178117638e-15 2.547318577762568148e-02 1.000000000000000000e+00 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.438762430455725505e-15 1.188227210219203840e-03 3.599574741228062785e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 4.302961856542886968e-15 8.490480909570569156e-04 1.979429481480379088e-02 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 7.592162527861749358e-15 5.560768923028294643e-04 9.978457567876174508e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.339564090297987229e-14 2.746224235318932326e-04 3.783244298820643853e-03 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.363532057474613662e-14 7.150737607003958924e-05 7.529967577265342122e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 4.170225095738051496e-14 4.058389757493268768e-05 3.256831945564569422e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 7.357961274155570078e-14 -2.276671094851468472e-05 -1.391227051046202944e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.298241530590361534e-13 -7.667516107361991673e-05 -3.565674424251968639e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.290622373441387703e-13 -1.216430236673133220e-04 -4.295833476197411893e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 4.041582967480835065e-13 -1.799410542660107089e-05 -4.820641648450547863e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 7.130984605939525963e-13 -7.244743985700468147e-07 -1.473263995772360731e-06 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 1.258193679538452461e-12 -1.549632286808041515e-04 -2.395696310811339070e-04 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 2.219961790286235902e-12 -1.740674064087230393e-05 -2.033139529533234803e-05 9.708287439144076547e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.382201932178117638e-15 3.916909161504292686e-12 -2.576317207346199081e-04 -2.279935442232151150e-04 9.708287439144076547e-01
